翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,今のうちに依頼された案件を完了させて、,Сейчас мой шанс провернуть пару,趁现在完成委托，,그동안 받은 의뢰를 완료해,
,,,医療費を振り込んでおかないと。,"делишек, чтобы оплатить мамины счета.",用酬劳付医药费吧。,병원비를 보내야지.,
,,,いつもの場所へアクセスしよう。,Мне просто нужно зайти в одно место.,首先要连接到那个“老地方”。,늘 가는 곳으로 접속하자.,
pc10,学生証,,男　高等１年,Мужчина - Первокурсник,男 高等1年级,남자 고등 1년,
,,,プリマ・ゼウス銀河学園船,Галактическая Академия Прима Зевс,至上星主银河学园舰,프리마 제우스 은하학교선,
,,,第５３区　Ｃ寮,Район 53 - Общежитие C,53区 C宿舍,제53구 C 기숙사,
pc11,「入学許可証」.txt,,プリマ・ゼウス銀河学園 入学許可証,Галактическая Академия Прима Зевс: Письмо о зачислении,至上星主银河学园 入学许可证,프리마 제우스 은하학교 입학 허가증,
,,, , , , ,
,,,氏名: ジョバンニ・スタイラス,Имя: Джованни Стайлус,姓名：乔班尼·斯泰拉斯,이름: 조반니 스타일러스,
,,,許可クラス: 高等１年,Зачислен в класс: Старшая Школа (1-й год),许可学级: 高一,허가 클래스: 고등 1년,
,,,住所: 惑星ストス　1984居住区（現在、消滅）,"Адрес: Граккис Прайм, Район 1984",住址: 沙拓斯星 1984居住区,"주소: 스토스 행성, 1984 거주구",
,,, , , , ,
,,,この度、カレルレニア共生体の運営するプリマ・ゼウス,Поздравляем. Вы приняты на обучение,很荣幸地通知你，,카렐레니아 공생체에서 운영하는,
,,,銀河学園　高等１年学科への入学許可を正式にお知らせ,в качестве студента первого курса Симбиота Кареллена,你已正式获准入读由卡列伦尼亚共生体运营的,프리마 제우스 은하학교 고등 1학년 학과,
,,,いたします。,по программе старшей школы Галактической Академии Прима Зевс.,至上星主银河学园高等学部一年级。,입학을 정식으로 허가합니다.,
,,, , , , ,
,,,君の特別な状況と潜在能力を考慮し、私、生徒会長エー,"Я, Президент Студенческого Совета Эмиль Герман, лично",考虑到你所处的特殊状况及你的潜能，,"귀하의 특별한 상황과 잠재능력을 고려해,",
,,,ミール・ヘルマンの特別許可の下、学園への転入を認め,одобрил ваше зачисление. Мы учитываем ваши особые,本人埃米尔·赫尔曼以学生会长权限，,학생회장 에밀 베르만의 특별 허가 아래,
,,,ます。,обстоятельства и потенциал и тепло приветствуем вас.,特批你转入我校就读。,학교 전입을 인정합니다.,
,,, , , , ,
,,,入学日、寮室、制服などの詳細情報は別途通知いたしま,"Информация о первом дне семестра, вашем распределении",有关入学日、宿舍、校服等具体信息将另行通知。,"입학 날짜와, 기숙사, 교복 등 세부 정보는",
,,,す。,в общежитие и униформе будет отправлена позднее., ,별도로 통보해 드리겠습니다.,
,,, , ,, ,
,,,敬具,"Искренне Ваш,",谨致,보낸 이,
,,, , , , ,
,,,カレルレニア共生体立,Симбиот Кареллена,卡列伦尼亚共生体立,카렐레니아 공생체 설립,
,,,プリマ・ゼウス銀河学園,«Гимназия» Галактическая Академия Прима Зевс,至上星主银河学园,프리마 제우스 은하학교,
,,,生徒会長,"Президент Студенческого Совета,",学生会长,학생회장,
,,,エーミール・ヘルマン,Эмиль Герман,埃米尔·赫尔曼,에밀 베르만,
pc12,ザネリ,**:**,わかってると思うけど,"ты б ебало лучше завалил про то, что",你应该明白吧,너도 알고 있겠지만,
,,,今日のこと誰かに言うなよ,сегодня было,今天的事不许告诉任何人,누구에게도 말하지 마,
pc13,ジョバンニ,**:**,君って本当に僕のこと好き,Я ценю такое проявление,你真的也太喜欢我了吧。,내가 정말 마음에,
,,,だね。気持ちは嬉しいけど,"симпатии, но жестокие",心意我姑且领一下，,들었나 보네. 마음은,
,,,暴力は嬉しくないかな,парни не в моём вкусе.,拳头就不必了,기쁘지만 폭력은 별로야,
pc14,ザネリ,**:**,ああ、そう,пох,哦，是吗,"아, 그러셔?",
pc15,ザネリ,**:**,今から帰るから,я возвращаюсь,我现在就回去,지금 돌아갈 테니,
,,,楽しみにしてて,"ты лучше берегись, сука",你等着瞧,기대하고 있으라고,
pc16,ジョバンニ,,……ザネリ。あの頃と変わったな。,…Занелли так изменился.,……札内利。相比那时他变了不少。,"……자넬리, 많이 변했구나.",
pc17,エーミール,**:**,やあジョバンニ！！！！！,"ЙОООООУ, ДЖОВАННИ!!!!!!!!",哈喽乔班尼！！！！！！！,"여어, 조반니!!!!!",
,,,！,ЧЁ КАК,！,!,
pc18,エーミール,**:**,朗報だ！！！,"КОРОЧЕ, ОТЛИЧНЫЕ НОВОСТИ!!!!!!!",好消息！！！,좋은 소식이다!!!,
,,,君に届けられそうなシャツを,Раздобыл тебе новых рубашек,我弄到了几件新衬衫，,네가 입을 만한 셔츠를,
,,,新たに入手したぞ！,с нашей партией припасов,这回的尺码你铁定能穿！！,새로 손에 넣었지!!!!!,
,,,早速、君の部屋まで送って,Я закину несколько в твою,这就给你送到宿舍去。,당장 네 방으로,
,,,やるからな。,комнату КАК МОЖНО СКОРЕЕ!!,,가져다 주마.,
,,,楽しみに待っているがいい,СМОТРИ В ОБА,你就等着收礼物吧！！！！,즐겁게 기다리고,
,,,！！！！,"НАДЕЮСЬ, ТЕБЕ ПОНРАВЯТСЯ!!!!!!",！！！！,있거라!!!!!,
pc19,ジョバンニ,**:**,ありがとうございます。,"Спасибо, Эмиль.",太谢谢了。,감사합니다.,
,,,先ほど届きました。,Их как раз доставили.,东西刚才收到了。,방금 받았어요.,
pc20,エーミール,**:**,うむ。君は小柄だから、,"Круто. Сорян, что мы всё",嗯。真不好意思啊，,그래. 넌 몸집이 작아,
,,,いつもぶかぶかなものばか,шлём мешковатые шмотки,你个头比较小，给你送的衬,헐렁한 것만 보내서,
,,,り送ることになってしまっ,"но, если честно, ты реально",衣老是松垮垮，我一直挺过,늘 미안한 마음,
,,,て申し訳なかったが……,мелкий………,意不去……,뿐이었다만……,
,,,, , , ,
,,,今回こそはちょうどいいサ,"Но я уж точно проследил,",但是这次总算给我找到,이번에 마침 적당한,
,,,イズのものを手に入れたぞ,чтобы в этот раз всё идеально,正好合身的了！！！！！！,사이즈의 셔츠를,
,,,！！！！,подошло!!!!!,！！！！,손에 넣었지!!!!!,
,,,頑張った生徒会長を褒めて,"Скажи что-нибудь приятное, ведь",学生会长这么努力你还不多,이 학생회장의 노력을,
,,,くれたまえ！！！！,я так старался!!!!,夸夸！！！！,마음껏 찬양하거라!!!,
pc21,ジョバンニ,**:**,いつも助かってます。,Ты всегда так много делаешь,真不好意思，让你费心了。,늘 감사합니다.,
,,,僕なんかのために、,для меня. Спасибо за всю,谢谢会长，,일부러 저 같은 사람을,
,,,わざわざすみません。,помощь.,各方面总是受你照顾。,도와주셔서요.,
pc22,エーミール,**:**,もう一声！！！！！！！！,Ещё!!!!!!!!!!,再来一句！！！！！！！！,한 마디 더!!!!!!,
,,,！,ЕЩЁЁЁЁЁЁ,！,!,
pc23,ジョバンニ,**:**,え……,Эм…,呃……,어……,
,,,エーミールさんは頼りにな,У тебя отлично получается,埃米尔会长真的是个很可靠,에밀 씨에게는,
,,,ります。,помогать людям.,的人。,늘 신세를 지네요.,
pc24,エーミール,**:**,\I[6]上出来だ！！！！,"Я такой, да???!!!",\I[6]说得好！！！！,\I[6]훌륭해!!!!,
,,,そうだろう、そうだろう！,Хахахахахах!!!!!!,对嘛！！就是嘛！！！！！,"그럼, 당연하지!",
,,,！！！！！！！,Дааааааа!!!!!!!!,！！！,!!!!!!!!,
pc25,エーミール,**:**,しかし、これが僕の役目と,Для этого я и здесь!,但毕竟我是学生会长，,하지만 이게 내,
,,,いうものだ！！！！！！,Это моя работа!!!! Просто,这些事是我应该做的！！！！,역할이니 말이다!!!!,
,,,遠慮は全く必要ないさ。,"свистни, если нужна помощь!",完全不用跟我客气。,그러니 사양 말거라.,
pc26,エーミール,**:**,いつも大変だとは思うが……,"Я знаю, сейчас нелегко.",你一直都过得很辛苦……,늘 힘들겠지만……,
,,,他の友達と上手くやれるよ,"Я сделаю всё, что смогу,",但我会尽可能帮助你跟其他,다른 친구와,
,,,う、僕ができる限りサポー,чтобы помочь тебе завести,朋友好好相处的！！所以,잘 지낼 수 있도록,
,,,トするからな！！安心して,"друзей, так что не парься!",尽管放一百个心好了！！,최대한 도와주마!!,
,,,くれ！！,Я всё устрою!!!!,,마음 푹 놓거라!!,
pc27,エーミール,**:**,ところで、君は学園の食事,"Кстати, как тебе",对了，学校里的饭菜你吃得,"그건 그렇고, 급식은",
,,,に満足しているかな？,еда в столовой?,还满意吗？,마음에 드니? 학교선의,
,,,学園船の「お好み調理機能」は,Наши Куке-R'ы довольно,咱们学舰的“定制私厨烹调,"뛰어난 ""원하는 요리",
,,,優秀だから、設定次第で様々な,крутые. С их новым,功能”特好用，,"조리기능"" 설정에 따라",
,,,料理を食べることができるぞ！,обновлением они могут готовить,只要做相应的设置，就能吃,다양한 요리를 먹을 수,
,,,！！,практически всё что угодно,到任何你想吃的东西！！！,있지!!!,
,,,,лишь с парой мелких правок!, , ,
,,,ごらん！！！！！！, ,看！！！！！！,이걸 봐라!!!!!!,
,,,僕は最近、自分の姿のチョ,Я тут испёк шоко-булочки,我最近还照着自己的样子,최근에 날 닮은,
,,,コパンを焼いてみたんだ！,"пару дней назад, и они",烤了巧克力面包哦！,초코빵을 구워 봤지!,
,,,なかなか美味かったぞ！！,были так похожи на меня!,可美味了！！！！！！！！,맛도 제법 있었다!!!,
,,,！！！,Получились очень вкусные!!,！！！,!!!,
,,,振る舞った皆も満足してく,"Всем, кажется,",请大家品尝之后也都赞不绝,함께 참여한 모두가,
,,,れたようだ！！！！！！,тоже очень понравились!!!,口呢！！！！！！！！！,만족하더군!!!!!!,
pc28,エーミール,**:**,どうだ、可愛らしいだろう,Ну как? Разве,怎么样，是不是很可爱？？,"어떠냐, 귀엽지?",
,,,？,я не милашка в виде хлебушка?,？,나중에 너도 한 번,
,,,君も試してみるといい！！,"Тебе стоит зайти попробовать,",你也可以试试看！！！！！,해 보거라!!!!!!,
,,,！！！！！！！,Джованни!!!!!!!!!!,！！！,!,
pc29,ジョバンニ,**:**,何の写真かと一瞬びっくり,"Я вот думал, что это",乍一看还以为是鬼图呢，,순간 무슨 사진인지,
,,,しました……,такое…,吓我一跳……,몰라 깜짝 놀랐어요…,
pc30,ジョバンニ,**:**,そうなんですね……,Спасибо за приглашение.,这样啊……,그렇군요……,
,,,うーん。,"Но, прости, я, пожалуй,",嗯……,음……,
,,,僕は遠慮しておきます。,откажусь.,我还是免了吧。,저는 사양할게요.,
pc31,エーミール,**:**,\I[8]　相変わらず君はシャイだな,"Блин, Джованни!!!!!!!!!",\I[8]乔班尼！！！！！！！！,\I[8] 넌 여전히,
,,,！！！,Ты всегда такой стеснительный!!!!,你还是这么拘谨啊！！！！,부끄럼이 많구나!!!,
,,,ジョバンニ！！,Хахаха!!!!!!!!,！！！,조반니!!,
pc32,エーミール,**:**,謙虚なのは君の美徳だが、,"Я знаю, ты любишь оставаться",谦逊客气固然是你的优点，,"겸손은 네 미덕이지만,",
,,,たまには僕のように正々堂,"скромным, но тебе стоит",但偶尔也可以试试像我一样,그래도 가끔은 나처럼,
,,,々と己を晒してみるのも良,действительно проявить себя!,堂堂正正地展现自我哦！！,정정당당히 자신을,
,,,いぞ！！！,Как яяя!!!!!!!!,！,드러내는 것도 좋다!!,
pc33,エーミール,**:**,自信を持てジョバンニ！！,"Верь в себя,",拿出自信来！！！！！！！,"조반니, 자신감을",
,,,！！！！！！！,Джованни!!!!!!!!!!,！！！,잃지 말거라!!!!!!,
pc34,エーミール,**:**,君ならできる！！！！！！,Я в тебя верю!!!!!!!!,你一定能做到！！！！！！,너라면 할 수 있다!!,
pc35,ジョバンニ,**:**,えっ……。,Эм…,呃…………,어……,
,,,は、はい。がんばります。,"Хорошо, я… попробую.",好的。我会努力。,"아, 네. 힘낼게요.",
pc35_sa,ジョバンニ,**:**,えっ……。,А...?,哎……？,뭐……?,
,,,はい。がんばります。,Хорошо. Я попробую.,好的。我会努力。,네. 힘낼게요.,
pc36,エーミール,**:**,よし、その意気だ！！！！,ВОТ ЭТО НАСТРОЙ!!!!!!!,很好，就是这样！！！！,"그래, 그 기백이다!!",
,,,！！！！！！！！！！！,!!!!!!!!!!!!!!!!!!!,！！！！！！！,!!!!!!!!!!!!,
,,,ではまたな！！！！！！！,УВИДИМСЯ!!!!!!!!!!!!!!!!!!,那么再聊！！！！！！！,"그럼, 또 보자!!!!",
,,,！！！！！！！,!!!!!!!!!!!!,！！！,!!!!!!!!,
pc37,エーミール,**:**,ジョバンニ！！！,ДЖОВАННИ!!!!!!!!!!!,乔班尼！！！,조반니!!!,
,,,風の噂で聞いたのだが、,"Мне тут птичка нашептала,",我近来听到一些传闻，,"풍문으로 들었다만,",
,,,君はルームメイトのザネリ,что твой сосед по комнате,说你的同居室友札内利一直,"너, 룸메이트인",
,,,くんからハラスメントを受,издевается над тобой! Это,对你百般骚扰，这是真的吗,자넬리에게,
,,,けているのか？,правда?!?!,？我很担心你！！！,학대당하고 있나?,
,,,心配だ！！！,Я так волнуюсь!!!!,,걱정되는군!!!,
pc38,ジョバンニ,**:**,どこからそんな噂、,Откуда ты это услышал,都是谁在传这些无聊的闲话,"그 소문, 어디서",
,,,届いたんですか。,?,啊？,들으셨나요?,
,,,別に大したことありません。,"Да ничего особенного, правда.",一点摩擦，没什么大不了的。,별 일 아니예요.,
,,,ザネリとは昔からの,Не волнуйся. Мы с Занелли,何况我跟札内利也认识很多,자넬리와는 전부터,
,,,付き合いですし。,давно знакомы.,年了。,아는 사이니까요.,
pc39,エーミール,**:**,本当か！？,ПРАВДА?????,真的吗？！,정말인가?!,
,,,もし必要なら、僕が介入す,"Если хочешь, я могу поговорить",假如你有需要，我可以出面,필요하다면 내가,
,,,ることもできるが……,с ним за тебя…,……,개입할 수 있다만…,
