翻訳ID,日本語,英語,中国語（簡体字）,韓国語
デイヴ壁紙.png,デイヴ壁紙.png,DaveWallpaper.png,戴维壁纸.png,Dave_Wallpaper.png
ハイスコア記録.png,ハイスコア記録.png,highscore.png,最高纪录.png,HiScore_Record.png
DA_OVA_0324_AE1084ver.mov,DA_OVA_0324_AE1084ver.mov,DA_OVA_0324_AE1084ver.mov,DA_OVA_0324_AE1084ver.mov,DA_OVA_0324_AE1084ver.mov
Dave_Anime_Ep10246.mov,Dave_Anime_Ep10246.mov,Dave_Anime_Ep10246.mov,Dave_Anime_Ep10246.mov,Dave_Anime_Ep10246.mov
Fragment_Fantasia_talk.mp3,Fragment_Fantasia_talk.mp3,Fragment_Fantasia_talk.mp3,Fragment_Fantasia_talk.mp3,Fragment_Fantasia_talk.mp3
ゼロデイカード,ゼロデイカード,Zero Day Trading Cards,零日群星卡,Zero Day 카드
card_wi_1,★Wi,★ Wi,★Wi,★1 Wi
card_kate_1,★ケイト,★ Kate,★凯特,★1 케이트
card_yumi_1,★ユミ,★ Yumi,★由美,★1 유미
card_rabi_1,★ラビ,★ Rabi,★拉比,★1 라비
card_doc_1,★ドク,★ Doc,★大夫,★1 독
card_sniffer_1,★スニファー,★ Sniffer,★小闻,★1 스니퍼
card_wi_2,★★Wi,★★ Wi,★★Wi,★2 Wi
card_kate_2,★★ケイト,★★ Kate,★★凯特,★2 케이트
card_yumi_2,★★ユミ,★★ Yumi,★★由美,★2 유미
card_rabi_2,★★ラビ,★★ Rabi,★★拉比,★2 라비
card_doc_2,★★ドク,★★ Doc,★★大夫,★2 독
card_sniffer_2,★★スニファー,★★ Sniffer,★★小闻,★2 스니퍼
？？？,？？？,???,？？？,???
pictures,pictures,Pics,pictures,pictures
ジョバンニへ,ジョバンニへ,"OPEN THIS, BOY-O!",给乔班尼,조반니에게
読め.txt,読め.txt,READ ME!.txt,一定要看.txt,읽어.txt
ドリーマー,ドリーマー,Dreamer,梦想家,드리머
ドリーマー.exe,ドリーマー.exe,Dreamer.exe,梦想家.exe,드리머.exe
モーリィ本拠地.gml,モーリィ本拠地.gml,Mollie's Base.gml,莫莉大本营.gml,몰리의 본거지.gml
技術メモ,技術メモ,Tech Notes,技术笔记,기술 메모
創始者より.txt,創始者より.txt,To My Protege.txt,创始人的信.txt,창시자가.txt
ジェム実装計画.txt,ジェム実装計画.txt,NeuraGem_Implant_Instructions.txt,神经宝石实装计划.txt,젬 구현 계획.txt
1224_08_08_ゼロデイ集合写真.png,1224_08_08_ゼロデイ集合写真.png,1224_08_08_ZeroDayGroupPic.png,1224_08_08_零日合照.png,1224_08_08_Zero Day단체사진.png
1228_12_16_ゼロデイ集合写真.png,1228_12_16_ゼロデイ集合写真.png,1228_12_16_ZeroDayGroupPic.png,1228_12_16_零日合照.png,1224_12_16_Zero Day단체사진.png
1231_12_21_スクール首席卒業生.png,1231_12_21_スクール首席卒業生.png,1231_12_21_HonorsGraduates.png,1231_12_21_学校首席毕业生.png,1231_12_21_스쿨수석졸업생.png
1233_06_04_ゼロデイポスター_ケイト編集_最終稿_2.png,1233_06_04_ゼロデイポスター_ケイト編集_最終稿_2.png,1233_06_04_ZeroDayPoster_KateEdit_Final_FINAL(2).png,1233_06_04_零日海报_凯特修改_最终稿_2.png,1233_06_04_Zero Day포스터-_편집자_케이트_최종_2.png
集合写真.png,集合写真.png,GroupPic.png,合照.png,단체사진.png
thegrave.gml,thegrave.gml,thegrave.gml,thegrave.gml,thegrave.gml
90th誕生日.txt,90th誕生日.txt,90th birthday.txt,90th诞辰.txt,90번째_생일.txt
90th誕生日スピーチ.txt,90th誕生日スピーチ.txt,90th Birthday Speech.txt,90th诞辰演讲.txt,90번째_생일_연설.txt
返信用.txt,返信用.txt,Reply.txt,回信用.txt,회신용.txt
返信用（下書き）.txt,返信用（下書き）.txt,Reply (Rough Draft).txt,回信用（草稿）.txt,회신용(초안).txt
企画書,企画書,Proposal,企划书,기획서
企画書：モーリィ・ハウス.txt,企画書：モーリィ・ハウス.txt,Proposal: Bright House.txt,莫莉公馆企划书.txt,기획서_몰리_하우스.txt
電子書籍,電子書籍,E-Books,电子书,전자 서적
電子書籍アプリ,電子書籍アプリ,Dictionary App,电子书应用,전자 서적 앱
読書リスト,読書リスト,Reading List,书单,독서 목록
読書リスト.txt,読書リスト.txt,Reading_List.txt,书单.txt,독서_목록.txt
秘密,秘密,Classified,秘密,비밀
secret.jpg,secret.jpg,secret.jpg,secret.jpg,secret.jpg
,,,,
PC画面_SNSチャンネルリスト,,,,
ch_0,#全体連絡,#general-notice,#全体通知,#전체연락
ch_1,#NEWS,#news,#NEWS,#NEWS
ch_2,#学校案内,#gymnasium-info,#校园导览,#학교안내
ch_3,#カムパネルラ様♥上級生限定!!,#CampanellaStans♥SeniorStudentsONLY!!!,#康帕聂拉殿♥高年级专频!!,#캄파넬라님♥상급생한정!!
ch_4,#\I[0]\I[1]\I[5],#\I[0]\I[1]\I[5],#\I[0]\I[1]\I[5],#\I[0]\I[1] \I[5]
ch_5,#エーミール生徒会長\I[5],#emile-stuco-prezEmile\I[5],#埃米尔会长\I[5],#에밀학생회장 \I[5]
ch_6,#雑談,#general-chat,#聊天,#잡담
ch_7,#授業\I[5],#classes\I[5],#课业\I[5],#수업 \I[5]
ch_8,#クラスチャンネル,#class-channel,#班级频道,#학급채널
ch_9,#臭いアイツ以外\I[5],#loser-free-zone\I[5],#某臭虫不得入内\I[5],#냄새나는그놈이외 \I[5]
ch_10,#ダークウェブ,#dark-web,#暗网,#다크웹
ch_11,#メカニカルフォレスト3鑑賞会,#MechanicalForestIIIScreening,#机械森林3观影会,#메카니컬포레스트3감상회
ch_12,#メカニカルフォレスト2鑑賞会,#MechanicalForestIIScreening,#机械森林2观影会,#메카니컬포레스트2감상회
ch_13,#メカニカルフォレスト鑑賞会,#MechanicalForestScreening,#机械森林观影会,#메카니컬포레스트감상회
ch_14,#好きなキャラ,#FavoriteCharacters,#角色真爱频道,#최애캐
,,,,
システムUI,,,,
R-codeが不明です,R-codeが不明です,R-code Unknown,未获取R-code,R-codes를 확인할 수 없습니다
スプロール・ハイヴ一時チャット,スプロール・ハイヴ一時チャット,Hive's Sprawl Chat,蔓生之巢临时聊天软件,스프롤 하이브 임시 채팅
system_1,「操作説明.txt」が「思い出」フォルダ,Saved Operation_Manual.txt,[操作说明.txt],"조작설명.txt를 ""기억"" 폴더에"
,に保存されました。,to the following file: To Keep,已存入文件夹[回忆]。,보관하였습니다.
system_2,▼セーブについて,About Saving,▼关于存档,▼저장
,１つのセーブデータを使用します。,One save slot will be used.,存档使用1个栏位。,하나의 저장 공간을 사용합니다.
,オートセーブ機能に加え、,In addition to the Auto-Save,除自动存档功能外，,자동 저장 기능 외에도
,PC画面の【メニュー】から,"function, you also can save",您也可以从电脑界面的【菜单】处,PC 화면의 [메뉴]에서
,手動セーブも可能です。,your game from the PC Menu.,进行手动存档。,수동으로 저장할 수도 있습니다.
, , , , 
,※最新のセーブデータは上書きされます。,Warning: Your most recent save data will be overwritten.,注意：存档时会覆盖最新的数据。,※최신 저장 데이터를 덮어씁니다.
system_3,過去のCHAPTERで選択を変更すると、,Changes made to your choices,若您更改了过去章节中的选择，,이전 CHAPTER에서 선택을 변경하면
,その後のCHAPTERにも影響が及ぶことが,in previous chapters may have,有可能会对未来章节中的情节,이후 CHAPTER 내용에 영향을
,あります。,an effect on future events.,产生影响。,줄 수 있습니다.
system_4,ゲームを終了しますか？,Quit the game?,是否结束游戏？,게임을 종료하시겠습니까?
system_5,ゼニーが足りないようだ。,You don't have enough zeni.,身上的钱币不够。,제니가 모자란 것 같다.
system_6,「\V[413]」を入手した！,You got \V[413]!,获得了“\V[413]”！,「\V[413]」를 얻었다!
system_7,同じカードをすでに所持しています。自動で売却を行います。,You already own that card. The card will be resold.,你已经拥有这张卡牌。重复卡牌将自动为你出售。,같은 카드를 보유 중입니다. 자동으로 카드를 매각합니다.
system_8,「ドローン」の画像をすべて選択してください,Please select all images containing drones.,请选择包含“无人机”的所有图块,드론이 표시된 이미지를 모두 선택하세요
system_9,アクセス許可,Access granted.,允许访问,접근 허가
system_10,接続先がありません,No access point detected,未找到访问目标,접속 위치가 없습니다.
,,,,
メモリー機能,,,,
stage_1,プリマ・ゼウス銀河学園,Prima Zeus Galactic Academy,至上星主银河学园,프리마 제우스 은하학교
stage_2,モーリアン・ドリーム共和国,Republic of the Mollian Dream,莫莉安梦幻共和国,모리안 드림 공화국
stage_3,フローランティア帝国,The Florantia Empire,法兰提亚帝国,플로란티아 제국
stage_4,プリマ・ゼウス銀河学園,Prima Zeus Galactic Academy,至上星主银河学园,프리마 제우스 은하학교
stage_5,ヨコト国,Yokoto,之世常国,요코토국
stage_6,カレルレニア連邦,The Karellenian Confederation,卡列伦尼亚联邦,카렐레니아 연방
saveText_1,プリマ・ゼウス銀河学園船　第53区　C寮,Prima Zeus Galactic Academy - District 53 - Dormitory C,至上星主银河学园舰 53区 C宿舍,프리마 제우스 은하학교선 제53구 C 기숙사
saveText_2,オープニング,Opening,OP,오프닝
saveText_3,プロローグ,Prologue,序章,프롤로그
saveText_4,ジョバンニの部屋,Giovanni's Room,乔班尼的房间,조반니의 방
saveText_5,廊下（自室前）,Dormitory Hallway,走廊（寝室前）,복도(방 앞)
saveText_6,廊下（教室前）,Classroom Hallway,走廊（教室前）,복도(교실 앞)
saveText_7,AR教室,AR Room,AR教室,AR 교실
saveText_8,談話室,Common Room,谈话室,휴게실
saveText_9,廊下（食堂前）,Cafeteria Hallway,走廊（食堂前）,복도(식당 앞)
saveText_10,食堂,Cafeteria,食堂,식당
saveText_11,廊下（回廊前）,Cloister Hallway,走廊（回廊前）,복도(회랑 앞)
saveText_12,回廊,Cloister,回廊,회랑
saveText_13,廊下（大浴場前）,Bathing Facilities Hallway,走廊（大浴场前）,복도(대형 목욕탕 앞)
saveText_14,大浴場,Bathing Facilities,大浴场,대형 목욕탕
saveText_15,廊下（階段下）,Stairwell Hallway,走廊（楼梯下）,복도(계단 아래)
saveText_16,廊下（エントランス前）,Entrance Hallway,走廊（门厅前）,복도(입구 앞)
saveText_17,エントランス,Entrance,门厅,입구
saveText_18,中庭,Courtyard,中庭,안뜰
saveText_19,廊下（中庭横）,Courtyard Hallway,走廊（中庭旁）,복도(안뜰 옆)
saveText_20,R専用通路（入口）,R-Way Entrance,R专用通道（入口）,R 전용 통로(입구)
saveText_21,R専用通路（ホール）,R-Way Hall,R专用通道（大厅）,R 전용 통로(홀)
saveText_22,R専用通路（深部）,R-Way Underground,R专用通道（深部）,R 전용 통로(심부)
saveText_23,R専用通路（最深部）,R-Way Depths,R专用通道（最深部）,R 전용 통로(최심부)
saveText_24,プリマ・ゼウス銀河学園船　第??区　?寮,Prima Zeus Galactic Academy - District ? - Dormitory ?,至上星主银河学园舰 ??区 ?宿舍,프리마 제우스 은하학교선 제??구 ? 기숙사
saveText_25,？？？？？の部屋,??? Room,？？？？的房间,?????의 방
saveText_26,廊下（基地局前）,Command Terminal Hallway,走廊（基站前）,복도(기지국 앞)
saveText_27,イデアル・ハック　カレルレンα,Ideal Hack: Karellen α,理想骇解 卡列伦α,아이디얼 해킹 - 카렐렌 α
saveText_28,イデアル・ハック　カレルレンβ,Ideal Hack: Karellen β,理想骇解 卡列伦β,아이디얼 해킹 - 카렐렌 β
saveText_29,イデアル・ハック　カレルレンγ,Ideal Hack: Karellen γ,理想骇解 卡列伦γ,아이디얼 해킹 - 카렐렌 γ
saveText_30,イデアル・ハック　カレルレンδ,Ideal Hack: Karellen δ,理想骇解 卡列伦δ,아이디얼 해킹 - 카렐렌 δ
saveText_31,イデアル・ハック　カレルレンε,Ideal Hack: Karellen ε,理想骇解 卡列伦ε,아이디얼 해킹 - 카렐렌 ε
saveText_32,廊下（エントランス前）,Entrance Hallway,走廊（门厅前）,복도(입구 앞)
saveText_33,ムーヴェーター,Transporter,移形升降梯,공간 엘리베이터
saveText_34,プリマ・ゼウス銀河学園船　銀河鉄道ステーション,Galactic Railroad - Prima Zeus Galactic Academy Station,至上星主银河学园舰 银河铁道车站,프리마 제우스 은하학교선 은하철도역
saveText_35,回廊（奥）,Inner Cloister,走廊（深处）,회랑(안쪽)
saveText_36,銀河鉄道車内,Aboard the Galactic Railroad,银河铁道车内,은하철도 내부
saveText_37,ジョバンニの部屋・PC,Giovanni's Room - PC,乔班尼的房间·PC,조반니의 방 PC
saveText_38,廊下～AR教室,Hallway to AR Room,走廊～AR教室,복도~AR 교실
saveText_39,談話室～廊下（食堂前）,Common Room to Cafeteria Hallway,谈话室～走廊（食堂前）,휴게실~복도(식당 앞)
saveText_40,食堂～自室前廊下,Cafeteria to Dormitory Hallway,食堂～寝室前走廊,식당~기숙사실 앞 복도
saveText_41,ジョバンニの部屋～回廊前廊下,Giovanni's Room to Cloister Hallway,乔班尼的房间～回廊前走廊,조반니의 방~회랑 앞 복도
saveText_42,廊下～エントランス,Hallway to Entrance,走廊～门厅,복도~입구
saveText_43,R用通路,R-Way,R用通道,R 전용 통로
saveText_44,イデアル・ハック,Ideal Hack,理想骇解,아이디얼 해킹
saveText_45,廊下（基地局前）～ムーヴェーター,Command Terminal Hallway to Transporter,走廊（基站前）～移形升降梯,복도(기지국 앞)~공간 엘리베이터
saveText_46,銀河鉄道ステーション,Galactic Railroad Station,银河铁道车站,은하철도역
saveText_47,一般個室,Academy Dorm,普通单间,일반 개인실
saveText_48,モーリアン銀河鉄道ステーション,Mollian Station,银河铁道莫莉安站,모리안 은하철도역
saveText_49,リースタウン,Reissville,莉斯小镇,리스 타운
saveText_50,下水道,Sewer,下水道,하수도
saveText_51,ムーヴェーター前,Outside the Transporter,移形升降梯前,공간 엘리베이터 앞
saveText_52,スプロール・ハイヴ2,Hive's Sprawl 2,蔓生之巢2,스프롤 하이브 2
saveText_53,スプロール・ハイヴ～ホテル,Hive's Sprawl - Hotel,蔓生之巢～酒店,스프롤 하이브 ~ 호텔
saveText_54,元大統領執務室,Former President's Office,前总统办公室,전 대통령 집무실
saveText_55,ムーヴェーター,Transporter,移形升降梯,공간 엘리베이터
saveText_56,豪遊タイム,Spending Spree Time,挥霍时间,즐거운 시간
saveText_57,スプロール・ハイヴ1,Hive's Sprawl 1,蔓生之巢1,스프롤 하이브 1
saveText_58,銀河鉄道車内2,Aboard the Galactic Railroad 2,银河铁道车内2,은하철도 내부 2
saveText_59,1日目 ゼロデイ,Zero Day Life - Day 1,第1天 零日,Zero Day - 1일 차
saveText_60,監獄,Locked Up,监狱,감옥
saveText_61,2日目 ゼロデイ,Zero Day Life - Day 2,第2天 零日,Zero Day - 2일 차
saveText_62,2日目 自由時間,Zero Day Life - Day 2 - Free Time,第2天 自由时间,2일 차 자유시간
saveText_63,あの日の記憶,An Old Memory,那一天的记忆,그 날의 기억
saveText_64,3日目 ゼロデイ,Zero Day Life - Day 3,第3天 零日,Zero Day - 3일 차
saveText_65,5日目 ゼロデイ,Zero Day Life - Day 5,第5天 零日,Zero Day - 5일 차
saveText_66,7日目 ゼロデイ,Zero Day Life - Day 7,第7天 零日,Zero Day - 7일 차
saveText_67,10日目 ゼロデイ,Zero Day Life - Day 10,第10天 零日,Zero Day - 10일 차
saveText_68,12日目 ゼロデイ,Zero Day Life - Day 12,第12天 零日,Zero Day - 12일 차
