翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
ho507,おい、そいつにあんまり近寄るなよ！,Эй\! Не подходи слишком близко\!,喂，别靠那家伙太近！,"이봐, 너무 가까이 다가가지 말라고!",
,カレルレンに洗脳されてる人間は危険だからな。,Эти люди с промытыми мозгами – те ещё проблемы.,被卡列伦洗脑的人类都很危险。,카렐렌에게 세뇌 당한 인간은 위험해.,
ho507_sa,そいつにあんまり近寄るなよ！,Не подходи слишком близко\!,别靠那家伙太近！,너무 가까이 다가가지 말라고!,
,カレルレンに洗脳されてる人間は危険だからな。,Эти люди с промытыми мозгами – те ещё проблемы.,被卡列伦洗脑的人类都很危险。,카렐렌에게 세뇌 당한 인간은 위험하니까.,
ho507a,友達を傷つける羽目に,"Не хочется быть виноватым, если кто-то в итоге",万一有状况，,너도 친구에게,
,なるのは嫌だろ？,"пострадает, верно?",你也不想伤害朋友吧？,상처를 주는 건 싫지?,
ho508,洗脳……,С промытыми мозгами…?,洗脑……,세뇌……,
ho509,おい、近づくなよ！,"Ого\! Я сказал, смотри куда прёшь\!",喂，别凑过去啊！,"이봐, 가까이 가지 말라니까!",
,追いかけっこのルール知らないのか？,"Блин, ты что, в салки никогда не играл?",你不知道鬼抓人要怎么玩吗？,술래잡기 규칙 몰라?,
,こいつから逃げるんだ！,Нам нужно уносить ноги от этой хреновины\!,我们得逃离这个家伙！,놈에게서 도망치라고!,
ho510,掃除Rの残骸……これ全部,Эти обломки… Это ЧИСТ-Ры.,清洁R的残骸……,청소 R의 잔해네……,
,君がやったのか？,…Это всё ты сделал?,这些全都是你干掉的吗？,전부 네 짓이야?,
ho511,もちろん！　すごいだろ？,"А то. Неплохо, да?",当然啦！厉害吧？,그럼! 정말 대단하지?,
,楽しかったぜ！,Я оторвался по полной\!,我玩得可开心了！,즐거웠어!,
ho512,\C[1]（助かるけど……,"\C[1](Этот парень спас меня тогда,",\C[1]（虽然帮了大忙……,\C[1](덕분에 살았지만……,
,　歩きにくいな）,но идти всё ещё тяжело…),但这路好难走啊）,걷기 힘들잖아),
ho513,さあ行こうか！,"Ну что, пошли?",行了，走吧！,"그럼, 갈까!",
ho514,\C[1]（一瞬で片付いた……）,"\C[1](Ого, как быстро.)",\C[1]（瞬间收拾干净了……）,\C[1](순식간에 처리했어…..),
ho514-2,……集まって道を塞いでいるようだ。,ЧИСТ-Ры блокируют путь вперёд.,……它们聚在一起，堵住了通道。,…..길을 가로막듯 모여 있다.,
ho514-3,どうしよう、これ……,И что нам делать…?,这怎么办啊……,이거 어쩌지……,
ho515,……うーん。,Хммм…,嗯……,음...… 이것들을 전부,
,この量を殺すのはちょっと面倒だな……,"Уложить столько – непросто, даже для меня.",杀掉这么一大堆有点麻烦……,처리하려면 좀 귀찮겠는걸……,
ho516,なあ、おまえ。,"Эй, дружище.",喂。,"이봐, 너.",
,こいつら、どうにかできないか？,"Будь другом, разберись с ними за меня.",你能不能想点办法？,"저 녀석들, 어떻게 안 될까?",
ho517,え。僕？,А? Я?,啊？我？,뭐? 내가?,
,なんで僕が……,Почему я?,为什么是我……,어째서 내가……,
ho518,なんとなくさ。,"Скажем так, у меня такое чувство, что у тебя",就是觉得你行。,할 수 있을 것 같아서 말이야.,
,おまえ、器用そうだから。,есть пара тузов в рукаве.,你看起来挺有能耐的。,제법 손재주가 있어 보이거든.,
ho519,……,…,……,……,
,\C[1]（まさか……,"\C[1](Не может быть… Он что, знает, что я",\C[1]（他该不会……,\C[1](설마…… 해킹을 하라고?),
,　ハッキングしろってことか？）,хакер?),在暗示我黑进它们的系统吧？）,해킹을 하라고?),
ho520,\C[1]（僕の正体が「ハンドラー」だってことは,\C[1](Но это невозможно… Я ведь никому,\C[1]（我应该没告诉过任何人,"\C[1](내 정체가 ""핸들러""하는 사실은",
,　誰にも言ってないはずだけど……）,"не говорила, что я Хэндлер.)",我就是Handler……）,누구에게도 말한 적 없는데……),
so0500,おれの「ジャンプ」で,"Я почти уверен, что смог бы перепрыгнуть один,",这里用我的“跳跃”，,"내 ""점프"" 기능으로",
,切り抜けてもいいけど……,"но... не думаю, что у моих ускорителей",倒也能冲过去……,넘어가도 될 것 같지만......,
,２人分だとストーンの消費が心配だからな。,хватит заряда на нас двоих.,但两个人一起的话，有点费石头。,두 명이면 스톤 소비도 만만치 않겠는걸.,
so0501,寮内じゃ補充もしにくいし……,В общаге будет непросто их подзарядить.,宿舍里又很难补充……,기숙사 내에서는 보충도 힘들고......,
so0502,ストーン？　補充？,Ускорители? ...Заряда?,石头？补充？,스톤이라니? 보충은 또 뭐야?,
so0503,おれの靴。底に凝華酸素の「ストーン」が,В моих ботинках твердый кислород.,我的鞋底嵌了凝华的“固态氧”……,이 신발 바닥은 응화산소로 만든,
,入ってて……それを砕いて出来た酸素を,"Надеваешь эти детки, и ВЖУХ! А дальше",打碎它可以得到氧气，,스톤이 들었거든...... 이걸 부수면,
,使ってジャンプするって仕組みなのさ。,магия сублимации сделает свое дело.,用这些氧气就能跳得很高了。,방출하는 산소로 도약하는 구조지.,
so0504,ストーンは、酸素のある野外なら,"А что до «заряда», я могу их заправить",石头的话，只要在有氧气的野外，,스톤은 산소가 있는 야외라면,
,どこでもその場で「補充」できる。,"везде, где есть свободный кислород.",随时随地都能“补充”。,"어디든 즉각 ""보충""할 수 있어.",
so0505,いざとなったら,"И если уж совсем припрёт, я могу даже",到了紧要关头，,여차한 상황에서는 호흡에 쓸,
,呼吸用の予備酸素としても使えるんだ。,использовать запасы кислорода для дыхания!,还能当备用氧气，用来呼吸呢。,예비 산소로 활용할 수도 있고.,
,便利だろ？,"Довольно хитро, а?",是不是很方便？,편리하지?,
so0506,へえー……,Ого-о...,哦～……,그렇구나......,
so0507,おれの自慢の改造靴だよ。,"Хех. Я сам их модифицировал, знаешь ли.",是我改造的哦。它可是我的得意之作。,내가 자랑하는 개조 신발이야.,
so0508,……デメリットといえば、,"Минус в том, что каждый ботинок может поднять",……唯一的缺点，,단점을 꼽자면......,
,片足平均40kgあるところくらいだな！,только около 40 килограммов.,大概也就单腿平均重40千克吧！,한 짝의 무게가 40kg 정도려나!,
so0509,…\.…\.へえー…\.…\.,Звучит...\.\.сложно.\.\.,…\.…\.哦～…\.…\.,...\....\.우와...\....\.,
,\C[1]（僕は絶対履きたくないな）,\C[1](Ни за что такие не надену.),\C[1]（我是绝对不会穿的）,\C[1](난 절대 안 신을 거야),
ho521,ロックされています。,Эта дверь заперта.,此门上锁。,잠겨 있습니다.,
ho522,\C[1]（この扉のR-codeは覚えてる。,\C[1](Я помню Р-код от этой.,\C[1]（我记得这扇门的R-code。,\C[1](이 문에 썼던 R-codes는,
,「Bath Sesame - B560」だ）,Это «Кунжутная Ванна».),是“Bath Sesame”。）,분명 Bath Sesame였지),
ho522-1,ロック解除,Открыть дверь,开锁,잠금 장치를 해제한다,
ho522-2,ロックする,Запереть дверь,上锁,잠근다,
ho522-3,……ロックを解除した。,Дверь отперта.,……已开锁。,……잠금 장치를 해제했습니다.,
ho523,やるじゃないか！,"Видишь? Я знал, что ты смекалистый.",很厉害嘛！,제법인데!,
,そうだよ、その調子だ！,Так держать!,没错，就是这样！,"맞아, 그렇게 하면 돼!",
ho524,\C[1]（こいつ……やっぱり,"\C[1](У меня такое чувство, что этот парень",\C[1]（这家伙……,\C[1](이 녀석…… 역시,
,　僕の正体、知ってるのか？）,"каким-то образом знает, кто я на самом деле…)",果然知道我的身份？）,내 정체를 알고 있나?),
ho525,さ、中に入ってみようぜ。,"Заходим! Кто знает, что мы там найдём",来，咱们进去瞧瞧。,"자, 안으로 들어가자고.",
,何か見つかるかも！,внутри.,没准能找到什么好东西呢！,뭔가 찾을지도 모르니까!,
ho526,……, … ,……,……,
ho527,\C[1]（トイレだ。,\C[1](Хм. Туалет.,\C[1]（是厕所。,\C[1](화장실이야.,
,　もう用事はないな）,Мне вроде бы сейчас не нужно.),暂时不用去了）,더 갈 필요 없어.),
ho528,\C[1]（その前に、あいつに,\C[1](Мне очень нужно кое-что прояснить,\C[1]（不行。有些事，,"\C[1](그 전에, 저 녀석에게",
,　聞いておくことがある……）,с этим чудиком... Была не была.),得先问问他……）,물어봐야 할 게 있어......),
ho529,あのさ。,"Эй, эм...",那个。,저기.,
ho529a,どうしたんだ？,"Ага, что такое?",嗯，怎么？,왜 그래?,
,あ、トイレか？,"...А, зов природы? Давай, не стесняйся.",啊，上厕所吗？,"아, 화장실 가게?",
,行ってきていいぞ！,"Когда нужно, тогда нужно!",尽管去吧！,어서 다녀와!,
ho530,違うよ。,"Нет, нет! Не в этом дело!",不是啦。,화장실 아니야.,
ho531,……\.\.\.どういうつもりなんだ？,Я просто хочу сказать...\.\.\.что происходит? Ты же,……\.\.\.你究竟有什么企图？,......\.\.\.무슨 꿍꿍이야?,
,上級生の君が、どうしてこの寮に？,лучший студент Академии по баллам.,你是高年级学生，为什么来我们宿舍？,상급생인 네가 어째서 이 기숙사에 있지?,
,なんで僕なんか助けた？,Почему ты здесь? И почему ты меня спас?,还有，为什么帮我？,어째서 날 도와준 거야?,
ho531a,……\.\.,...\.\.,……\.\.,......\.\.,
,君の目的は？,"Что какова твоя конечная цель, на самом деле?",你做这些到底想要什么？,네 목적은 뭐야?,
ho532,なあおまえ、\|,"Разгадай-ка загадку, Джованни.\|",嗳，我说，\|,"이봐, 너.\|",
,こう考えたことはないか？,Ты когда-нибудь сомневался в системе очков?,你就从来没这样想过吗？,이렇게 생각해본 적 없어?,
ho533,――\|,Например...\| Что если бы Кареллен мог действовать,——\|,......\|,
,＂もし、カレルレンに自我があったら？＂,по собственной воле?,“如果卡列伦其实有自我意志会怎么样？”,카렐렌에게 자아가 있다면?,
ho534,もし、人間スコアが――\.\.カレルレンの都合で,Что если наши человеческие очки – это просто жестокий,如果人类评分，就是个卡列伦说了算的数字——\.\.,"만약, 인간 스코어가......\.\.카렐렌 뜻대로",
,操作される、平等でもなんでもない数値だったら？,способ для Кареллена манипулировать всеми нами?,根本不存在什么公平公正呢？,"조작하는, 평등과 아무 관계 없는 숫자라면?",
ho535,！,!,！,......!,
ho536,カレルレンは、,"Надзир-Р заявляет, что он инструмент, ведущий",卡列伦是为了引导全人类幸福，,카렐렌은...,
,人間を幸福に導くために作られた道具だ。,человечество к счастью и процветанию...\!,被制造出来的工具。,인간을 행복으로 이끌 목적으로 만든 도구지.,
,……けど、道具が持ち主を裏切ったら、どうする？,Что если этот инструмент внезапно обратится против нас?,……但假如这工具背叛了主人呢？,"......하지만 도구가 주인을 배신하면, 어떻게 할래?",
ho537,Ｒに頼りきった人間たちは、,"И теперь, когда мы, люди, полностью",如今生活中的一切，都彻底依赖R的人类……,"R에게 완벽히 의지한 인간은,",
,……裏切りに気付けるか？,зависим от Р... Кто вообще это заметит?,……能察觉到它的背叛吗？,......배신당했다는 사실을 깨달을 수 있을까?,
ho538,……,...,……,......,
ho539,カレルレンからの告知を見たよ。,"Знаешь, я видел сообщение, которое Кареллен отправил",我看到卡列伦发的通知了。,카렐렌이 보낸 고지를 봤어.,
,『共生プログラム』,о Программе Симбиоза.,那个什么“共生教育”，,"공생 프로그램이라,",
,受講者っておまえのことだろ。,"Это ведь тебя отправляют на «перевоспитание», так?",“实施对象”就是你吧。,수강자는 널 말하는 거겠지.,
ho540,おかしいと思わないか？,"Не кажется, что это полная херня?",但你不觉得奇怪吗？,이상하지 않아?,
,告知には、こんな過激な処置をとるなんて,"Например, как сообщение Кареллена так удачно",那份通知里，一个字都没提到,고지에는 이런 과격한 조치를 취할 거라는,
,書いてなかったのにさ？,умалчивает о твоём уничтожении?,会动用这么暴力的手段吧？,내용은 쓰여 있지 않았잖아?,
ho541,何か知ってるのか？,"...Ты знаешь что-то, чего не знаю я?",莫非你知道内情？,뭔가 알고 있는 거 맞지?,
ho542,詳しい話は、追いかけっこが終わってからだ。,"Я введу тебя в курс дела, когда мы свалим ко всем чертям",这个就得等玩完鬼抓人再细说了。,자세한 이야기는 추격전이 끝난 뒤에 하자.,
,ここにはカレルレンの「耳」が,отсюда. У Кареллена уши повсюду,毕竟，,"여기는 카렐렌의 ""귀""가 되어줄",
,いっぱいあるからな。,"в этом месте, так что я пока заткнусь.",附近一堆卡列伦的“耳朵”听着呢。,녀석들이 가득하거든.,
ho543,ゲームのゴールは、学園船の外！,Следующая остановка – Галактическая Железная Дорога.,咱们的终点是学园舰外！,결승점은 학교선 바깥!,
,「銀河鉄道」だ。,"Как только выберемся, мы будем в безопасности!",是那里的“银河铁道”。,거기 있는 은하철도야.,
ho544,エントランスにあるムーヴェーターまで,"Когда доберёмся до выхода, воспользуемся",只要能跑进门厅里的移形升降梯，,입구에 있는 공간 엘리베이터에,
,辿り着ければ、,"транспортёром. А оттуда – рукой подать,",后面就简单了。,"도착만 하면, 은하철도로 가는",
,あとは「駅」までひとっ飛びだよ。,и мы на станции!,它会带咱们直接飞去“车站”。,역까지 금방이지.,
ho545,銀河鉄道……？,Что...? Я уже ничего не поняла после «Галактической Железной Дороги».,银河铁道……？,은하철도......?,
ho546,今は……,"Так, посмотрим...",我看看，当前时刻……,지금 시간은......,
,最寄りのモーリアン時刻で21時ちょうど。,Сейчас 9 вечера по моллианскому времени.,按照离这里最近的莫莉安时间，大概21时。,가장 가까운 모리안 시간대로 딱 21시군.,
,銀河鉄道は30分後に出発するはずだ。,Следующий поезд уходит через 30 минут.,那么，银河列车大概半小时后发车。,은하철도는 30분 뒤에 출발할 거야.,
ho547,遊んでる時間はないな。,"А это значит... Игры кончились, приятель.",看来没闲心玩了，,노닥거릴 시간이 없겠는걸.,
,さっさと邪魔な奴らを片付けないと。,"Что скажешь насчёт того, чтобы зачистить парочку надоедливых Р?",得快速解决掉那些挡路的家伙。,서둘러 귀찮은 녀석들을 정리해야겠어.,
ho548,さーて！　ここには何があるかな？,"Давай немного пошпионим. Надеюсь, мы",好啦～！这里会有什么呢？,자~! 여기에는 뭐가 있으려나?,
,面白いものが見つかるといいな！,найдём что-нибудь интересненькое.,希望能找到点好玩的东西吧！,재미있는 게 있으면 좋겠는걸!,
ho549,\C[1]（……掴みどころのないやつだな。,\C[1](Этот парень не любит особо распространяться.,\C[1]（……摸不透这个家伙。,\C[1](......종잡을 수 없는 녀석이네.,
,　信用していいのか？）,Могу ли я ему действительно доверять...?),相信他真的没问题吗？）,믿어도 될까...?),
ho550,\C[1]（いや。どうだっていいか。,"\C[1](Полагаю, это уже неважно. Я",\C[1]（不过……其实无所谓。,"\C[1](아니, 세세한 건 신경 쓰지 말자.",
,　今は生きられるならなんでもいい）,"жива. Приму любую помощь, какую смогу получить.)",眼下只要能活下去就行）,지금은 살아남는 데 집중해야지.),
ho551,\C[1]（さっきの提案に従ってみよう。,"\C[1](У меня нет выбора, кроме как пойти",\C[1]（先照他说的做吧。,\C[1](아까 들은 제안대로 하자.,
,　あいつ、強いし……,"пока по его плану. К тому же, мне понадобятся",何况这家伙确实厉害……,"저 녀석, 강하니까......",
,　しばらくは頼りになるはずだ）,"такие мускулы, чтобы выжить...)",暂时应该靠得住）,당분간 도움이 될 거야.),
ho552,よし。通路の掃除Ｒを,"Хорошо, давай сделаем это.",好，那就来想办法，,좋아. 통로에 있는 청소 R을,
,なんとかする方法を探そう。,Время зачистить этих ЧИСТ-Ров.,解决通道里那些清洁R吧。,처리할 방법을 찾아보자.,
hi0397,……僕の身長で見える範囲には,"Эх, была бы я немного повыше...",……以我的身高，,......내 눈높이에서 보면,
,特に何もなさそうだ。,Отсюда почти ничего не видно.,看不到什么值得在意的东西。,특별한 건 없는 것 같아.,
hi0398,……よく見ると、上の方に,"Я чуть не пропустила, но там наверху написан",仔细观察……可以发现，,"......자세히 보니, 위쪽에",
,R-codeが書いてある。,R-код.,上方写着R-code。,R-codes가 새겨져 있다.,
hi0399,突入させる,Взломать,让它撞进来,돌입한다,
hi0400,ロックされている。,Заперто...,锁着。,잠겨 있다.,
ka001,\C[1]（どうにかしろって言われてもな……,"\C[1](Тьфу, и что мне теперь делать?",\C[1]（就算让我想办法……,\C[1](그런 소리를 들어도 말이지......,
,　……とりあえず、他の場所を調べてみるか）,"Может, осмотреться где-нибудь ещё?)",……总之先看看其他地方好了）,......일단 다른 장소를 조사해 볼까),
ho553,今のうちに……,"Не волнуйся, он сейчас оглушён.",趁现在……,이틈에……,
,こっちだ。,"Давай, сюда.",来这边。,이쪽이야.,
ho554,さっきの掃除Rくんには、,"Кстати, смотри не используй",我就不拿EMP弹，,"아까 그 청소 R 말인데,",
,ＥＭＰ弾は使わないでおくよ。,ЭМИ-патроны на этих мелких ЧИСТ-Рах.,打刚刚那台清洁R了。,EMP탄은 쓰지 않을 거야.,
,壊したら勿体なさそうだ。,Было бы расточительством портить эти схемы.,打坏了怪可惜的。,망가지면 아까울 것 같거든.,
ho555,……あいつ、,"К тому же, держу пари, нам понадобится",……再说那东西，,"……저 녀석,",
,何かに使えそうだしな。,приберечь их для чего-нибудь попозже.,应该能派上什么用场。,쓸모 있을 것 같기도 하고.,
ho556,何かに、か……,Приберечь? Для чего…?,用场……,쓸모라……,
ka004,危なかったな。,"Блин, всё могло быстро закончиться плачевно.",刚才好险啊。,큰일날 뻔했네.,
,EMP弾をセットしといてよかった。,"Хорошо, что у меня был заряжен оглушающий патрон.",幸好我预装了EMP弹。,EMP탄을 미리 장전해 둬서 다행이야.,
ka005,……ありがとう。,"...Спасибо, что спас меня.",……谢谢你。,……고마워.,
ho557,ところで、ＥＭ……ってなんだ？,"И, эм… что такое ЭМИ, если точнее?",对了，你说的EM……,"그런데, 그 EM…… 그건 뭐야?",
,鳴き声か何か？,"Это музыкальный жанр такой, или что?",是什么东西？,울음소리 같은 거야?,
ho558,電磁パルス弾。電磁波でできた、,Электромагнитный импульс. ЭМИ.,就是电磁脉冲弹，是用电磁波制造的，,전뇌 펄스탄이야. 전자파를 담은,
,＂Ｒ専用＂のエネルギー弾だ。,"Импульс энергии, который может поджарить большинство Р.",专门对付R的能量弹。,R 전용 에너지탄이지.,
ho559,人間には、まったく無害。なのに、,"На людей патроны не действуют,",对人类完全无害，,"인간에게는 전혀 해를 끼치지 않지만,",
,二進法どもはこれでイチコロ！,но у двоичных болванов шансов нет.,但对上二进制铁块，就是一击必杀！,이진법 구조체는 한 방에 보낼 수 있어!,
,……素晴らしいだろ？　大好きなんだ。,"Красота, а? Обожаю такие штуки.",……是不是很棒？我最喜欢这种子弹了。,……엄청나지? 정말 좋아하는 녀석이야.,
ho560,……, … ,……,……,
,僕のＰＣ、壊さないでね。,"Что бы ты ни делала, просто держи эти патроны",那你当心点。,내 PC만 망가뜨리지 마.,
,それで。,"подальше от моего компа, хорошо?",别用那东西打坏我的电脑。,그거면 충분해.,
ho561,大浴場に来たのはいいけど……,"Ты сказал, мы идём к выходу.",虽然跑到大浴场里来了……,"대형 목욕탕에 온 건 좋은데,",
,ここからエントランスへ逃げられる,"Так почему мы здесь, в ванной?",但这里根本没有通向门厅的路啊。,여기서 입구로 가는 도주로는,
,通路なんてないよ。どうしよう？,Отсюда нет выхода.,怎么办？,하나도 없어. 이제 어쩌지?,
ho562,そうだなー……,"Хмм… Ладно, как тебе такое?",我想想啊……,그러게……,
,じゃあ、こういうのはどうだ？,Хочешь выход – я тебе его устрою.,你看这样如何？,"그럼, 이러면 어때?",
ho563,……便利な銃だね。,…Ого. Вот это полезная пушка.,……这枪还真方便。,……편리한 총이네.,
,こんなの、どうして,Как ты получил разрешение от Кареллена,但这种东西，,"이 총 말인데, 무슨 수로",
,カレルレンが許可したんだ？,носить такое оружие?,你是怎么让卡列伦批准的？,카렐렌에게 허가를 받았어?,
ho564,許可してないぞ。,Легко. А я и не получал!,它没批准啊。,허가 받은 적 없어.,
ho564_sa,許可されてないぞ。,Легко. А я и не получал!,没让它批准啊。,허가 받은 적 없어.,
ho565,え。,А?!,哎？,뭐?,
ho566,細かいことは＂機業秘密＂だ！\!,"Скажем так, это коммерческая тайна.\!",哎呀，剩下就是“器业机密”啦！\!,"자세한 건 ""기업 비밀""이야!\!",
,……さ、そんなことより、,"В любом случае, у нас есть другие дела.",……不说这个了，走，,"…자, 그것보다",
,このあたりを調べてみようぜ。,Давай немного тут всё исследуем!,咱们在这附近四处看看。,이 주변을 조사해 보자고.,
ho567,気になるな……,Это... интересно.,到底是怎么……,신경 쓰이네……,
ho567-2,ドローンを借りる,Одолжить дрон,借用无人机,드론을 빌린다,
hi0491,ドローンで遊んでいる。,Рядом парит дрон.,他在玩无人机。,드론을 가지고 놀고 있다.,
,……じっと眺めていると、ドローンの,Ты замечаешь Р-код,……我盯着看了一会儿，,"......자세히 바라보자, 드론에 새겨진",
,R-codeがちらりと見えた。,на дроне.,瞄到了无人机的R-code。,R-codes가 살짝 보였다.,
ho568,……あのさ。,"Слушай, у меня к тебе просьба…",……我说。,……저기.,
,君のドローン、制御権を,Не могла бы ты дать мне временный доступ,你的无人机的控制权，,잠시 네 드론 제어권을,
,貸してくれない？,к управлению твоим дроном?,能不能借给我一下？,빌려도 될까?,
ho569,それを使えば、安全に,"Мы можем использовать его для безопасной разведки,",借助无人机，,저 드론을 쓰면 저쪽을,
,向こうを調べられそうだ。,не рискуя нашими жизнями.,应该就能安全调查那边的情况了。,안전하게 조사할 수 있을 거야.,
ho570,いいぜ。壊すなよ！,"Конечно, приятель. Только не разбей его.",好啊。当心别弄坏了！,"좋아, 부수지만 말라고!",
ho571,なんだ、貸してほしいのか？,"Хочешь, одолжу тебе своего дрона?",干嘛，想借无人机吗？,왜? 빌려 달라고?,
,いいぜ！,Конечно!,拿去吧！,좋아!,
ho571-1,ドローン操作,Управлять дроном,操作无人机,드론 조작,
ho571-2,ドローン操作をやめる,Прекратить управление дроном,停止操作无人机,드론 조작을 그만둔다,
ho572,また使いたくなったら,"Если захочешь ещё полетать,",之后还要用的话，就跟我说一声！,또 드론을 사용하고 싶으면,
,声をかけてくれ。,только скажи.,,언제든 말만 해.,
ho573,わかった。ありがとう。,Поняла. Спасибо.,好，谢谢你。,"알았어, 고마워.",
hi0454,カムパネルラにドローンを借りる,Одолжить дрон Кампанеллы,向康帕聂拉借用无人机,캄파넬라에게 드론을 빌린다,
ka003,これ以上は,"Похоже, сигнал не достаёт",再飞远点，,신호는 이 이상,
,信号が届かないな……,дальше этой точки...,会收不到信号的……,닿지 않는 것 같아……,
hi0583,あたたかい洗用水が満ちている。,"Он полон тёплой, чистой воды.",装满了温暖的洗用水。,"따뜻한 ""세면용 물""이 가득 차 있어.",
hi0455,浄水された湯が満ちている。,"Это ванна, полная чистой воды.",装满了净化过的热水。,정수가 가득 차 있다.,
,この湯が作る泡のなかにいれば、,"Стоит тебе окунуться, и мыльная вода",只要钻进这锅热水的泡泡里，,이 물로 만든 거품 안에 있으면,
,やがて全身が洗浄される。,вмиг отмоет тебя дочиста.,稍等片刻就能洗净全身。,몸을 깨끗하게 씻을 수 있다.,
hi0456,昔の人はいちいち手で身体を洗っていた,"Очевидно, в прошлом людям приходилось тереть себя",听说，过去的人还得自己用手搓洗身体……,옛날 사람은 손으로 직접 몸을,
,らしいけど……現代は便利なものだ。,вручную. Звучит муторно.,现代科技真是方便啊。,씻었다지…… 정말 편한 시대야.,
hi0457,美しく光っている。,Кристалл прекрасно блестит.,发着美丽的光。,결정이 예쁘게 빛나고 있다.,
,「イグニウム」という名前の,"Это кристаллизованная форма энергии,",它好像是一种名叫“伊格尼姆”的能量结晶。,이그늄이라는 이름의,
,エネルギー結晶体らしい。,известная как игниум.,,에너지 결정체다.,
hi0458,「注意：,ВНИМАНИЕ: ,“注意：,"""주의:",
,　イグニウムは、純度50%以上の,При контакте игниума со спиртовыми,伊格尼姆一旦接触浓度高于50%的,이그늄은 순도 50% 이상의,
,　アルコール類に触れると,"растворами (концентрация >50%), то",酒精类液体，,알코올과 접촉하면 반물질을,
,,,,,
hi0459,　反物質を囲む力場が崩壊し、,окружающее антиматериальное поле схлопнется,会导致反物质外侧的力场崩溃，引发,감싸는 역장이 붕괴하며,
,　『大爆発』を起こします。,и вызовет взрывную реакцию.,‘大爆炸’。,대폭발을 일으킵니다.,
,,,,,
hi0460,　危険なので、大浴場には,Это вещество КРАЙНЕ ОПАСНО.,因此，严禁携带任何酒精类药品进入,매우 위험하오니 대형 목욕탕에는,
,　絶対にアルコール類を,Поэтому спиртосодержащие соединения никогда не должны,大浴场。”,절대 알코올 관련 물품을,
,　持ち込まないこと。」,проноситься в банные помещения».,,"가지고 들어오지 마십시오.""",
ka006,エタノール……,Этанол...,乙醇……,에탄올이라면……,
hi0461,「ロッカーは共用です。,«Эти шкафчики предназначены для общего пользования., “储物柜为公共设施，请大家文明使用，,"""사물함은 공용 자산입니다.",
,　譲り合って使いましょう。」,Будьте вежливы. Убирайте за собой».,避免私占。”,"서로 양보하며 사용하십시오.""",
hi0462,……よく見ると、隅に,"Если присмотреться, можно разглядеть R-код,",仔细观察……可以发现角落里写着,"……자세히 살펴보니,",
,R-codeが書いてある。,написанный в углу.,R-codes。,구석에 R-codes가 보인다.,
hi0463,閉める,Закрыть шкафчик,关闭,닫는다,
hi0464,開ける,Открыть шкафчик,开启,연다,
hi0465,ロックされているようだ。,"Кажется, он заперт.",好像锁着。,잠긴 것 같다.,
,使用者の名前が表示されている。,Шкафчик зарезервирован следующим пользователем:,上面有使用者的名字。,사용자 이름이 표시되어 있다.,
hi0466,「マルソ」,Марсо,“玛尔索”,마르소,
