翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
train_choice1_a,宣戦布告する,Наедь на него,下战书,선전 포고를 보낸다,
train_choice1_b,返信しない,Не отвечать,不回复,답하지 않는다,
trainB1,……,...,……,......,
trainB2,大丈夫か？,Ты в порядке?,你还好吗？,괜찮아?,
trainB3,……もう、なにもかもおしまいだ。,...Теперь все кончено.,……完了，一切都完了。,......이제 다 끝났어.,
trainB4,"ギムナジウムから出たところで……
この宇宙のどこにも、逃げる場所なんてない。","Мы, может, и выбрались из Академии,
 но никогда не будем в безопасности — как бы далеко мы ни бежали.","就算我能逃出学校……
 可是只要还在宇宙之内，我就无处可逃。","감나지움을 나온 시점에서......
 내가 도망갈 곳은 이 우주 어디에도 없어.",
trainB5,PCだけが頼りだったのに……,"Единственное, что у меня оставалось, — это мой комп...",这台电脑是我唯一的指望了啊……,PC가 유일한 희망이었는데......,
trainB6,"どうしてこんなことになった？
僕の最悪な平穏はどこへ……","Блин, как всё так обернулось?
 Уж лучше бы я оставался главным неудачником школы.","到底怎么会变成这样的？
 我那糟糕的和平生活消失到哪去了……","어째서 이렇게 됐지?
 최악이었지만, 평온했던 일상은......",
trainB7,おまえに依頼して正解だった。,"Я не прогадал, когда нанял тебя.",委托你果然是选对人了。,너에게 의뢰한 게 정답이었네.,ho859と同一の台詞
,ロックを外せるやつがいないと,"Если бы у меня не было кого-то, кто помог бы с",要是找不到能开锁的家伙，,잠금 장치를 풀 녀석이 없어서,
,色々めんどうだったんだ。,"замками, это был бы тот еще геморрой.",各方面都会很麻烦啊。,여러모로 골치아팠거든.,
trainB8,……！,...!,……！,......!,
train_choice2_a,カムパネルラについて,Спросить Кампанеллу о правде,关于康帕聂拉,캄파넬라에 관해,
trainB9,一体どういうつもりだ？,Чего ты на самом деле добиваешься?,你到底想干什么？,대체 속셈이 뭐지?,
trainB10,……どういう、って？　なにが？,...В смысле?,……干什么，是指？,......속셈? 무슨 소리야?,
trainB11,君が僕にカレルレンへのハッキングを依頼したのか？,"Это ведь ты попросил меня взломать Кареллен,",是你委托我入侵卡列伦的吗？,카렐렌 해킹을 의뢰한 게 너야?,
trainB12,……あんな金額、用意できるとしたら,"так? Единственный, кто мог выложить",……要说谁能准备那么一大笔钱，,......그만큼 큰 금액을 준비할 사람은,
,カレルレンか君くらいしか考えられない。,"такие деньги, — это сама Кареллен... или ты.",除了卡列伦就只有你了。,카렐렌이나 너 외에는 없을 테니까.,
trainB13,どういうことなんだ？ 全部君の計画だったのか？,Так что это? Все это часть твоего грандиозного плана?,到底是怎么回事？一切都是你策划的吗？,왜 그랬지? 전부 네가 계획한 거야?,
,それで僕は、結局あんなことに――,И ради чего?! Зачем ты заставил меня...,都是你的阴谋，最后害得我——,그 덕에 난 결국 이런 꼴이......,
trainB14,まぁまぁ。とりあえず落ち着けって。,"Спокойно. Просто успокойся, дружище.",哎呀，先别急嘛，冷静点啦。,"자, 자. 일단 진정해.",
trainB15,……そうだ。おまえ、腹減ってるだろ？,"...Я знаю, в чем дело. Ты, должно быть, злой от голода.",……对了，你肚子饿了吧？,"......참. 너, 배고프지?",
,ちょっと待ってろ。,"Погоди, я найду тебе что-нибудь поесть.",等我一下。,조금만 기다려.,
trainB16,……はぁ……？,Ты... Ты издеваешься надо мной...?!,……啊……？,뭐......?!,
trainB17,さ、こっちがおまえの分な。,"Держи, это твое. Ешь давай.",喏，这份是你的。,"자, 이게 네 거야.",
trainB18,………………,...,………………,..................,
trainB19,どうした？　ほら、遠慮せずに食べろって！,"В чем дело? Не стесняйся, откуси кусочек!",怎么了？不用跟我客气，饿了就吃！,"왜 그래? 자, 사양 말고 먹으라니까!",
,おれが食わせてやろうか？,"...Хочешь, чтобы я тебя с ложечки покормил? Так, что ли?",不然我来喂你？,안 먹으면 내가 먹여줄까?,
trainB20,な、何するんだよ！　誤魔化すな！,Прекрати! Я не ребенок. Я и сам могу...,你、你搞什么！不要转移话题！,"뭐, 뭐 하는 짓이야! 애 취급 하지 마!",
,……いいよ。一人で食べられる。,...И хватит менять тему.,……不用了，我自己能吃。,......알았어. 먹으면 되잖아.,
trainB21,………………,...,………………,..................,
trainB22,………,...,………,......,
train_choice3_a,カレルレンについて,Заговорить о Кареллен,关于卡列伦,카렐렌에 관해,
train_choice3_b,列車の行き先,"Спросить, куда вы направляетесь",列车在往哪开,열차 행선지에 관해,
trainB23,カレルレンは……僕のPCの解析を開始したらしい。,Знаешь... Кареллен собирается проанализировать мой комп.,卡列伦……好像开始分析我的电脑了。,카렐렌은...... 내 PC를 해석하기,
,,,시작한 것 같아.,,
trainB24,抵抗は無駄だ、ってさ。,"Оно сказало, что всё, что мы ни сделаем, — ""тщетно"".",它还说，反抗也没有用。,저항해 봐야 소용없다더라.,
trainB25,………,...,………,......,
trainB26,解析が終われば……,Как только анализ завершится... мне конец.,如果任它完成分析……,해석이 끝나면......,
,これまで通じてた攻撃も無効化されるようになる。,"Всё, за что я боролся... Всё это. Пропало.",那所有的攻击手段都不会再奏效了。,전에는 통했던 공격도 전부 소용없게 돼.,
,僕の命も、おしまいだ。,Моя жизнь... Ей конец.,到时候，我的命也就保不住了。,그러면 내 목숨도 끝나겠지.,
trainB27,…………ごめん。母さん。,"Мне так жаль, мам... Я тебя подвел.",…………妈妈，我对不起你。,"미안, 엄마......",
trainB28,どうしよう。,"Боже, что же мне делать?",怎么办啊……,이제 어쩌지......,
trainB29,母親、か。,"Ну, Джо...",母亲啊……,엄마...... 라.,
trainB30,どうにかするしかないな。,"Если это ради твоей мамы, тогда...",那只能想想办法喽。,방법을 찾을 수밖에 없겠네.,
,その「母さん」のためにもさ。,Ты просто должен найти выход.,也算是为了你的“妈妈”。,"네 ""엄마""를 위해서라도 말이야.",
trainB31,…………そうだ。,"...А, точно.",…………说到这个。,......맞다.,
,ギムナジウムで話してたこと、そろそろ詳しく教えてくれない？,"Теперь, когда мы вне кампуса, ты можешь рассказать мне",你现在总能好好跟我解释了吧？,"감나지움에서 했던 이야기 말인데,",
,カレルレンの「自我」がどうとかってやつ。,"всю историю. Думаешь, у Кареллен есть свобода воли?",就是你在学校里提过的，卡列伦的“自我”。,자세히 들려주지 않겠어?,
,,,,"카렐렌의 ""자아""에 관한 이야기 말이야.",
trainB32,…………この列車の行先。,...Пункт назначения нашего поезда?,…………这辆车的目的地，,......이 열사의 행선지인,
,惑星モーリアンの「座標X」……,"Планета Моллиан, система Икс.",是莫莉安星的“座标X”……,"모리안 행성의 ""좌표 X""에......",
trainB33,カレルレンはその場所にデータを隠した。,Кареллен прячет там секретные данные.,卡列伦在那里藏了点数据。,카렐렌이 데이터를 숨기는 곳이 있지.,
,人間に「公開できないデータ」だ。,"Данные, которые оно не хочет, чтобы люди нашли.",而且是“不能对人类公开的”数据。,"인간에게 ""공개할 수 없는"" 데이터야.",
trainB34,公開できないデータ……,"Секретные данные, а...?",不能公开的数据……,공개할 수 없는 데이터......,
trainB35,そうだ。詳細は不明だが……,"Ага. Что бы ни содержали эти данные, Кареллен",没错。详情我也不清楚……,그래. 자세한 내용은 나도 모르지만......,
,カレルレンは何かを企んでいる。,точно замышляет какую-то гадость.,总之，卡列伦绝对有什么企图。,카렐렌은 뭔가를 꾸미고 있어.,
,これからおれは、その証拠を探しに行くんだよ。,И я найду способ это доказать.,接下来，我就要去找证据。,지금부터 그 증거를 찾으러 갈 거야.,
trainB36,……そして。データのサルベージには、,"Но в одиночку мне не справиться. Чтобы прочесать эти данные,",……然后，为了打捞需要的数据，,......거기다 그 데이터를 뽑아내려면,
,ハンドラーとしてのおまえの力が必要だ。,мне нужно было заручиться помощью великого Хэндлера.,必须借助你这个“Handler”的力量。,"""핸들러"", 네 힘이 필요하거든.",
trainB37,だから……ジョバンニ。\.\.おれが、おまえを巻き込んだ。,"Так что... это я втянул тебя в эту заварушку, Джо... Это был я.",所以……乔班尼，\.\.是我把你卷进来了。,그래서...... 난......\.\.조반니 널 끌어들이기로 했어.,
trainB38,……！　やっぱり依頼者は君だったのか！！,"Я так и знал! Я знал, что клиент — это ты!",……！那个委托人果然是你！！,......!,
,おっ……お前のせいで、僕は……！　母さんを……！,"Ты... Это всё твоя вина! Моя мама, она...",都……都怪你，都怪你！害我……把我妈妈……！,역시 그 의뢰인은 너였구나!!,
,,,,너...... 너 때문에 난......! 엄마를......!!,
trainB39,……\.\.ごめん。,"...\.\.Прости, что держал тебя в неведении.",……\.\.抱歉。,......\.\.미안해.,
trainB40,けど……どうしても必要なことだった！,Но мне нужно было! Чтобы защитить нас от машин.,可是……无论如何我都必须这么做！,하지만...... 난 네 힘이 필요했어!,
,機械から人間を守るために。,"По правде говоря, ты единственный, на кого я могу рассчитывать.",为了从机器手中保护人类。,인류를 기계로부터 지키려면 말이야.,
trainB41,……確信があるんだ。,Если я в чем-то и уверен во всей этой заварушке...,……因为我很确定，,......확신도 있어.,
,このままカレルレンを放置すれば、,"так это в том, что если мы позволим Кареллен действовать бесконтрольно,",如果再放任卡列伦下去，,카렐렌을 이대로 방치하면,
,人間は滅びることになる。,"человечеству, каким мы его знаем, придет конец.",人类一定会灭亡。,인류는 멸망할 거야.,
trainB42,おれは……人類を救いたい。絶対に、どんなことをしたって！,"Я готов пойти на всё, чтобы спасти нас.",我想……拯救人类。不管用什么手段，都绝对要办到！,난...... 반드시 인류를 구하고 싶어.,
,,,,무슨 수를 써서라도 말이야!,
trainB43,それが、君の目的？,Это и было твоей целью? Всё это время?,那就是你的目的吗？,그게 네 목적이야?,
trainB44,そうだ。,Именно так.,没错。,맞아.,
trainB45,おれが信用できないのは分かる。,Я не виню тебя за скептицизм.,我知道你很难信任我。,날 신용할 수 없다는 건 알아.,
,けど、これは人類全体の危機なんだ。,Но знай: человечество в смертельной опасности.,可是再不行动的话，全人类都有危险。,하지만 지금 인류는 위기를 맞고 있어.,
,……人間として。力を貸してくれないか？,"Так что, как человек человеку... Ты мне поможешь?",……作为人类，你能助我一臂之力吗？,"......한 명의 인간으로서, 힘을 빌려주겠어?",
trainB46,……わかったよ。,...Ладно. Я в деле.,……好吧。,......알았어.,
trainB47,その代わり、僕のことも助けてよ。,"Но только если пообещаешь, что тоже прикроешь меня.",但相对的，你也要帮我啊。,대신 내 일도 도와 줘.,
trainB48,もちろんだ！,"Конечно, напарник! Для тебя — всё что угодно.",那当然了！,물론이지!,
trainB49,ありがとう、愛してる！！,"Ох... Я так счастлив, что готов тебя расцеловать—",谢谢你！爱你哦！！,"정말 고마워, 사랑한다!!",
trainB50,やっ……やめろ！,"Э-эй, хватит уже!",别……别这样！,잠깐...... 그만 둬!,
trainB51,……「座標X」の特定には時間がかかる。,"Потребуется некоторое время, чтобы рассчитать координаты.",……锁定座标X的具体位置需要时间。,"......""좌표 X""의 정확한 위치를",
,それまで安全な場所で待っていてくれ。,"Так что пока просто найди безопасное место, чтобы затаиться.",在那之前，你到安全的地方等我吧。,알아내려면 시간이 걸릴 거야.,
,何かわかったら連絡する。,"Я дам тебе знать, когда придет время.",有线索了我就联系你。,그때까지 안전한 곳에서 기다려.,
,,,,뭔가 발견하면 연락할게.,
trainB52,うん。,Окей...,好。,알았어.,
trainB53,それで、この列車はどこへ行くんだ？,Так... Куда именно нас везет этот поезд?,所以，这趟车到底在往哪里开？,이 열차는 어디로 향하는 중이야?,
,惑星モーリアン……って、安全なのか？,В смысле... Моллиан вообще безопасен?,莫莉安星……是安全的地方吗？,모리안 행성은...... 안전해?,
trainB54,行ったことないか？,"Погоди, ты там никогда не был?",你没去过吗？,안 가봤어?,
,……そうか、学園船の巡遊はまだだったな。,"А, точно. Твоя школьная экскурсия еще не наступила.",……哦对，还没到学舰巡游的时候。,"......아, 학원선 여행은 아직이었던가.",
trainB55,惑星モーリアン。イグニウムの原産星で、,Планета Моллиан — наш основной источник игниума.,莫莉安星，是伊格尼姆的原产地，,"모리안 행성은 이그늄의 원산지로,",
,現存する宇宙最古の人域だ。,А еще это старейшая обитаемая планета.,也是宇宙现存最古老的人域。,오랜 역사를 지닌 인간 거주 행성이야.,
trainB56,イグニウム……,Игниум...,伊格尼姆……,이그늄......,
trainB57,原産って……あれの？,Его и правда добывают на Моллиане?,那玩意的……原产地？,그 이그늄의...... 원산지라고?,
,そんな場所に人が住んで平気なのか？,"Не похоже, что жить рядом с этим безопасно...",那种地方真的能住人吗？,거기서 살아도 괜찮은 거 맞아?,
trainB58,もし、爆発したら……,Если... Если он взорвется...,万一爆炸了……,만약 폭발하기라도 하면......,
trainB59,爆発したら……終わりだ。星ごと。,Верно. Вся планета взлетит на воздух.,爆炸了……就拜拜了。连带整个星球一起。,폭발하면...... 행성이 통째로 날아가겠지.,
trainB60,それでも……人域として2000年間、存在し続けている。,Но человечество как-то умудрялось выживать там,即便如此……它还是有惊无险，存在了两千年。,"그래도...... 2,000년 동안 계속 존속해 온 곳이야.",
,奇跡のような惑星だ。なんせ……,"2000 лет... Вот уж чудеса, да?",简直是个奇迹。不过嘛……,기적 같은 행성이지. 왜냐면......,
trainB61,おれの、憧れの人が見つけた星だからな。,"Всё это благодаря герою, который её открыл.",毕竟是我崇拜的人找到的星星啊。,내가 동경하던 사람이 발견한 곳이니까.,
trainB62,……憧れの人？,...И кто же это?,……崇拜的人？,......동경하던 사람이라고?,
trainB63,モーリィ・リース。,Молли Рейсс.,莫莉·莉斯。,몰리 리스.,
,彼女は、惑星モーリアンの現行管理者で……,Она главная шишка на планете Моллиан.,她既是莫莉安星的现任管理者……,현 모리안 행성 관리자이자......,
,最古の＂宇宙開拓者＂でもある。,И первый космический первопроходец в истории человечества.,也是资历最老的“太空开拓者”。,"가장 오래된 ""우주 개척자""지.",
trainB64,……おれが宇宙で一番、尊敬してる人だ。,"Она была моим примером для подражания, сколько я себя",……是我在这个宇宙里最崇敬的人。,......우주에서 가장 존경하는 사람이야.,
,昔から……憧れだった。,помню... Самый крутой человек во вселенной.,从很久以前……我就崇拜她了。,오래 전부터...... 동경했었어.,
trainB65,君の好きな人には興味ないけど……,"Это, конечно, здорово для тебя и всё такое. Не то чтобы мне было дело.",你喜欢谁我是不感兴趣……,네가 좋아하는 사람에게는 별 관심 없지만...,
trainB66,でも、最古の＂宇宙開拓者＂っていうのは……,Но открыть планету — это довольно круто звучит.,但你说她是资历最老的“太空开拓者”，那……,"가장 오래된 ""우주 개척자""라......",
,……すごいね。それって何千年前の話だ？,Когда она её нашла? Должно быть... целую вечность назад.,……还真厉害。那得是几千年前的事了啊？,......엄청나네. 대체 몇 천 년 전 일이야?,
trainB67,……さあな。知ってるか？　彼女は――\.\.\.,Кто знает? Но зацени вот что...\.\.\.,……管它的。对了你知道吗？她啊――\.\.\.,......글쎄. 하지만 그거 알아? 몰리는......\.\.\.,
,「地球」出身なんだ。,Молли изначально была с планеты Земля.,是从“地球”出来的人哦。,"""지구"" 출신이야.",
trainB68,地球って、あの……？,Земля...? Серьезно?,地球……是说那个……？,지구라면...... 그 지구......?,
trainB69,地球生まれ、地球育ち。,Ага. Она Землянка. Родилась и выросла на этой,她地球出生，地球长大。,지구에서 태어나 자랐대.,
,群青色の故郷に生まれ、ゆりかごを飛び出して――,маленькой голубой точке... Но она рванула в космос,生在群青色的故乡，后来飞出摇篮——,"고향인 푸른 별에서 태어나, 요람을 박차고 나온 끝에......",
,ついに、人類史上初めての惑星国家を作り上げた……,и основала самую первую человеческую космическую колонию.,最终建立了人类历史上第一个行星国家……,인류 역사상 최초의 행성국가를 만든......,
trainB70,彼女はまさに、生ける宇宙人類史そのものだ。,Она заложила основы для всей человеческой жизни в космосе!,她就是一部活生生的宇宙人类史啊。,몰리는 살아있는 우주 인류사 그 자체지.,
trainB71,そんな昔の人が、今も……？,"Но погоди... Ты сказал, она всё ещё здесь. Как?",那么久以前的人，现在还活着……？,그렇게 오래 전 사람이 지금까지......?,
,どうやって生きてるんだ？,"Ей пришлось бы быть бессмертной, чтобы прожить так долго.",怎么做到的？,어떻게 살아있는 거지?,
trainB72,さあな。当時の人類に老化を乗り越えるほどの技術が,"Это еще одна загадка. Насколько я знаю, у Землян",谁知道呢，我也不认为那时的人类,글쎄. 당시 인류에게 노화를 극복할,
,あったとは思えないけど……,в те времена не было продвинутых технологий омоложения...,已经有了克服衰老的技术……,기술은 없었던 것 같지만......,
,ともかく彼女は実在する。,"Я не знаю, как она это сделала, но она всё ещё здесь.",总之她是真实存在的。,그럼에도 몰리는 아직 살아있어.,
trainB73,そして、彼女の名を冠した惑星「モーリアン」にも……,"И Моллиан не только назван в её честь, она ещё и причина",而且，在以她的名字命名的“莫莉安星”上……,"본인의 이름을 본뜬 ""모리안"" 행성에도......",
,今なお地球の色が残っている。,его глубоко укоренившейся Земной культуры.,现在还留有地球的影子。,지구의 분위기가 아직 남아 있지.,
trainB74,そういえば授業でやったかも。,"А. Мы это проходили на занятиях, кажется.",你这么一说，课上好像学过。,수업에서 들었어.,
,昔は独立した「国家」だったんだっけ？,"Раньше ведь были разные ""нации"", так?",那里以前好像是个独立的“国家”来着？,"예전에는 독립된 ""국가""였다며?",
trainB75,そうだ。,"Дзынь-дзынь-дзынь! Точно в яблочко. Судя по всему, старая",对呀。,맞아.,
,イグニウム関連で発達した「企業」が遺したらしい,инфраструктура по добыче игниума всё ещё стоит.,据说，曾经有个靠伊格尼姆发迹的“企业”，,"지금은 이그늄 관련 사업으로 성장한 ""기업""의 유산이 남아 있지.",
,巨大な地下都市があるって噂もある。,"Ходят слухи, что там есть еще и огромный подземный город.",还在那边地底下留了一座巨大的都市遗迹呢。,거대한 지하 도시가 있다는 소문도 돌고.,
trainB76,古代遺跡の中でなら、おまえも安全に過ごせるかもな。,"Идеально для парочки беглецов, не находишь?",要是躲进古代遗迹里，你也不用担惊受怕了吧。,고대 유적 내부라면 너도 안전하게 지낼 수 있을 거야.,
trainB77,地下都市……,Подземный город...,地底都市……,지하 도시......,
trainB78,惑星モーリアンか……,Планета Моллиан...,莫莉安星啊……,모리안 행성이라......,
trainB79,……,...,……,......,
,着いたみたいだな。,"Похоже, мы на месте.",好像到了。,도착했나 보네.,
trainB80,さあ、駅を出ようか。,Пошли. Ты готов к этому?,走，咱们出站吧。,"그럼, 역을 나서 볼까.",
trainC1,"怪我、まだ痛むか？
","Как ты себя чувствуешь, Джо? Держишься?","伤口还疼吗？
","상처, 아직도 아파?
",
trainC2,……ううん。もう平気。,Сейчас не болит. Я в порядке.,……还好，不怎么疼了。,"……아니, 이제 괜찮아.",
trainC2-2,……ううん。もう平気。,Сейчас не болит. Я в порядке.,……还好，不怎么疼了。,"……아니, 이제 괜찮아.",
,医療設備があってよかった。　　,"Хорошо, что поблизости была медтехника.",幸好这里有医疗设备。,의료 설비가 있어서 다행이야.,
trainC2-3,……ううん。もう平気。,Сейчас не болит. Я в порядке.,……还好，不怎么疼了。,"……아니, 이제 괜찮아.",
,医療設備があってよかった。\.\.……,"Хорошо, что поблизости была медтехника....\.\.",幸好这里有医疗设备。\.\.……,의료 설비가 있어서 다행이야……\.\.,
trainC11,大丈夫か？,Ты в порядке?,你还好吗？,괜찮아?,
trainC12,……,...,……,……,
trainC13,……母さんのことか。\.\.　　　　　　　,"Ах... Всё ещё переживаешь за маму, да?\.\.",……因为你妈妈的事？\.\.　　　　　　,……엄마 일이 걱정되나 보네.\.\.　　　　　　　　　,
,　,　,　,　,
trainC13-2,……母さんのことか。\.\.,"Ах... Всё ещё переживаешь за маму, да?\.\.",……因为你妈妈的事？\.\.,……엄마 일이 걱정되나 보네.\.\.,
,で、\.でも、\.まだ諦めるのは早いだろ？,Ну... Ещё слишком рано терять надежду!,不、\.不过，\.说不定还有希望的吧？,"그, \.그렇지만, \.아직 포기하기에는 이르지 않을까?",
trainC14,カレルレンがそう脅してきただけで。,"Кареллен, может, просто блефует, знаешь.",可能只是卡列伦吓唬你的，,"카렐렌은 그렇게 하겠다고 위협했을 뿐,",
,　,　,　,　,
,　,　,　,　,
trainC14-2,カレルレンがそう脅してきただけで。,"Кареллен, может, просто блефует, знаешь.",可能只是卡列伦吓唬你的，,"카렐렌은 그렇게 하겠다고 위협했을 뿐,",
,死んだって決まったわけじゃない。,"Черт, она может быть жива прямо сейчас.",她还不一定真的死了啊。,아직 죽었다고 단정하기에는 일러.,
,　,,　,　,
trainC14-3,カレルレンがそう脅してきただけで。,"Кареллен, может, просто блефует, знаешь.",可能只是卡列伦吓唬你的，,"카렐렌은 그렇게 하겠다고 위협했을 뿐,",
,死んだって決まったわけじゃない。,"Черт, она может быть жива прямо сейчас.",她还不一定真的死了啊。,아직 죽었다고 단정하기에는 일러.,
,おれ達で助けられるかもしれないぜ？,У нас еще может быть шанс спасти её!,没准咱俩能把她救出来呢？,우리가 구할 수도 있지 않겠어?,
trainC15,……別にいいよ。分かってるから。\.\.,Не нужно пытаться меня утешать...\.\.,……你不用劝了。我其实都清楚。\.\.,"……됐어, 나도 아니까.\.\.",
,　,　,　,　,
trainC15-2,……別にいいよ。分かってるから。\.\.,Не нужно пытаться меня утешать...\.\.,……你不用劝了。我其实都清楚。\.\.,"……됐어, 나도 아니까.\.\.",
,もう、いいんだ。,Я сдаюсь.,到了今天，已经够了。,이제 됐어.,
trainC16,どっちにしろ。\.,"Всё это уже не имеет значения...\. Мама,",不论怎样，\.反正我妈妈，\.\.,어느 쪽이건……\.,
,僕の母さんは、\.\.……　　　　　　　　　　　　　　　,"которую я знал, давно нет.\.\.\.",　　　　　　　　　　　　　　　　　,엄마는……　　　　　　　　　　　　,
,　,　,　,　,
trainC16-2,どっちにしろ。\.,"Всё это уже не имеет значения...\. Мама,",不论怎样，\.反正我妈妈，\.\.,어느 쪽이건……\.,
,僕の母さんは、\.\.……６年前に死んでいた。\.,"которую я знал, давно нет.\.\.\.",……早在六年前就死了。\.,엄마는…… \.\.6년 전에 죽었어.\.,
,とっくの昔に、カレルレンに殺されてたんだからさ。,Кареллен отняла её у меня 6 лет назад.,很早很早以前，她就被卡列伦杀了。,아주 오래 전에 카렐렌 손에 살해당했지.,
trainC17,むしろ、ようやく解放された気分だよ。,"После всего, через что я прошел,\.\. если бы она умерла",我反而感觉，总算解脱了。　　　　　　,되려 이제야 풀려난 것 같아.　　　,
,母さんから。\.\.……,сейчас...,从我妈妈身边\.\.……,"엄마도, \.\.그리고……",
trainC17-2,むしろ、ようやく解放された気分だよ。,"После всего, через что я прошел,\.\. если бы она умерла",我反而感觉，总算解脱了。,되려 이제야 풀려난 것 같아.,
,母さんから。\.\.……\.\.あの事故からも。,"сейчас...\.\.по крайней мере, тогда я наконец был бы свободен.",从我妈妈身边\.\.……\.\.也从那场事故里。,"엄마도, \.\.그리고…… \.\.그 사고도.",
trainC18,……　　　　　　　　　,...　　　　　　　　　　　　　　,……　　　　　　　　　,……　　　　　　　　,
trainC19,そうか、それは……　　　　　　　,Больше никакой боли...　　　　　　　　　　　,是吗，那……　　　　　　　　,그래? 그럼……　　　　　　　,
trainC19-2,そうか、それは……\.\.\.よかったな！！,"Больше никакой боли...\.\.\. Эм, это... хорошо?",是吗，那……\.\.\.那很好啊！！,그래? 그럼…… \.\.\.다행이네!!,
trainC20,別によくはないけどね。,"Нет... Я никогда не говорил, что это хорошо.",倒也没什么好的。,아직 그 정도는 아니거든.,
trainC3,"通知……？
",А? Новое уведомление...,"消息……？
","알림이잖아……?
",
trainC4,……　　　　　　　　　,...　　　　　　　　　　　　　　,……　　　　　　　　　,……　　　　　　　　,
trainC4-2,……\|母さんからの音だ。,"...\|Это же тот сигнал, который я использую для мамы!",……\|是妈妈发来的语音。,……\|엄마에게서 왔어.,
trainC5,待て！　ジョバンニ、開くんじゃない！,"Джованни, не верь ни единому слову, что оно говорит!",等等！乔班尼，别点开！,"잠깐! 조반니, 열면 안 돼!",
trainC6,え、でも……,Но я...,咦？可是……,뭐? 그렇지만……,
