翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,スプロール・ハイヴへ, ,欢迎来到蔓生之巢。,스프롤 하이브에,
,,,ようこそ。,Она тебе понадобится., ,온 걸 환영해.,
,,, , ,, ,
,,,　　　　　ーゼロデイ,- «Нулевой День»,——零日,- Zero Day,
pc397,Wi,**:**,よう、”Boyhood”。,"Привет, салага.",你好啊，“Boyhood”。,"이봐, ”Boyhood”.",
,,,素敵なお友達を連れてる,"Похоже, ты притащил",你给我们带的这个朋友,멋진 친구를,
,,,じゃないか。,с собой дружка.,还真是不错。,데리고 왔더군.,
pc398,Wi,**:**,まあ落ち着け。,Тшш. Просто успокойся.,哎，你先别激动。,"이봐, 진정해.",
,,, , , , ,
,,,声を出したって、,"Ори сколько влезет, но",这儿噪音这么大，,그렇게 소리쳐 봤자,
,,,この大音量じゃ,никто тебя не услышит из-за,你哪怕说话了，,이런 소음 안에서는,
,,,聞こえやしねえよ。,здешнего шума.,我也听不见。,금방 묻히고 마니까.,
,,, , , , ,
,,,路上は、チャットで,На поверхности мы общаемся,在大路上想说话，,거리에서는 채팅을,
,,,会話する。,только через чат.,就发消息聊天。,사용해 대화할 것.,
,,,それがスプロールの,Это твой первый урок,这是蔓生之巢的,이게 스프롤의,
,,,「第一ルール」だ。,"здесь, в Просторах.",“第一守则”。,제1규칙이야.,
pc399,ジョバンニ,**:**,カムパネルラをどうする気だ？,Не трогайте Кампанеллу!,你想把康帕聂拉怎么样？,캄파넬라를 어떻게 할 셈이야?,
pc400,Wi,**:**,なんだ、知らないのか？,"Что, ЕГО? Не говори мне,",什么，你原来不知道？,"뭐야, 몰랐어? 네",
,,,お友達が、どんな狂った,что ты беспокоишься о,你这位朋友，,친구가 얼마나 정신나간,
,,,人間なのか。,том конченом мудаке.,可是个彻头彻尾的疯子。,인간인지 말이야.,
pc401,Wi,**:**,こいつがうちのメンバーに,Кто-то должен ответить,鉴于这个人对我伙伴的,우리는 저 녀석에게,
,,,やったことの責任は、,"за то, что он сделал с нами.",所作所为，,진 빚이 있거든.,
,,,お前にも,"И похоже, что этот",我不仅要他付出代价，,그러니 너도 그 책임을,
,,,きっちり取ってもらうぜ。,кто-то — это ты.,你也得帮他一块还债。,확실히 져 줘야겠어.,
,,, , , , ,
,,,ダチがやらかしたら,Урок номер два: мы,“蔓生之巢”第八守则。,동료 문제는 연대책임을,
,,,連帯責任。スプロールの,все несём ответственность,好兄弟在外面惹出乱子，,질 것. 그게 스프롤의,
,,,「第八ルール」だ。,друг за друга. Всегда.,自己也得负连带责任。,제8규칙이야.,
pc402,ジョバンニ,**:**,カレルレンの孫機の,У меня есть данные,我手上有之前接入卡列伦,카렐렌 손자기의,
,,,アクセスログを持ってる。,журнала доступа Кареллен!,孙机的记录。,접속 로그를 가지고 있어.,
,,,僕とカムパネルラを,"Если вы отпустите меня и",如果你能放过我和康帕聂,나랑 캄파넬라를,
,,,生かしてくれるなら、,"Кампанеллу, я поделюсь",拉，,무사히 보내 준다면,
,,,情報を共有してもいい,ими с вами. Я обещаю!,我可以把纪录共享给你。,정보를 공유할게.,
pc403,Wi,**:**,証拠は？,Где доказательства?,我凭什么相信你？,…증거는?,
pc404,ジョバンニ,**:**,アクセスログを送信,Лог доступа отправлен.,发送访问纪录,접속 로그 전송,
pc405,Wi,**:**,信じるには,"Этого недостаточно, чтобы мы",这点东西不够证明。,이 정도로는,
,,,まだ足りないな。,могли тебе доверять. Пока что., ,아직 믿을 수 없군.,
,,, , , , ,
,,,けどまあ、,"Но у тебя больше мужества,",不过算你有胆量，,"뭐, 그래도…",
,,,勇気だけは認めてやるよ。,чем я думала.,我认可了。,용기는 칭찬해 주지.,
pc406,Wi,**:**,ところで今、こっちも,Вообще-то... мы тут в,话又说回来，,"아무튼, 지금은 이쪽도",
,,,あまり状況が良くなくてね。,затруднительном положении.,目前我们处境也不妙。,상황이 여의치 않아.,
,,, , , , ,
,,,定期的に、特殊なデータが,Нам нужно заполучить,定期会需要一些特殊的,정기적으로 특별한,
,,,必要なんだ。,"кое-какие данные. Такого рода,",数据。,데이터를 얻어야 하거든.,
,,,それなりの腕がないと,для доступа к которым нужен,偏偏那个没点本事的话,제법 실력이 있어야,
,,,手に入らないデータがさ。,определённый уровень,又很难搞到。,얻을 수 있는 데이터지.,
,,,,мастерства.,,,
,,, , , , ,
,,,だからさ……,Так что... давай заключим сделку.,所以呢……,그래서 말인데……,
pc407,Wi,**:**,もし捕虜として,Если ты согласишься стать,如果你肯投降做零日的俘虏，,얌전히 포로로서,
,,,ゼロデイに協力するなら、,"информатором «Нулевого Дня»,",帮我们点忙，,Zero Day를 돕겠다면,
,,,お前とお友達を,мы позволим тебе и твоему,我也不是不能放你和你朋友,너와 친구의 목숨은,
,,,生かしてやってもいい。,дружку уйти отсюда живыми.,一条生路。,보장하지.,
,,, , , , ,
,,,どうだ？,Ну так что? Хочешь,怎么样？,어때?,
,,,生き延びるチャンスを,"использовать этот шанс и дожить,",有意愿给自己争取活下去的,"살아남을 기회,",
,,,手に入れる気はあるか？,чтобы сразиться в другой раз?,机会吗？,쥐고 싶지 않아?,
pc408,Wi,**:**,いい子だな。じゃ、,"Хороший выбор, салага.",真懂事。,"말 잘 듣네, 그러면",
,,,まずは簡単な仕事からだ。,Начнём с простого.,那先从小事开始吧。,쉬운 것부터 시작하지.,
,,, , , , ,
,,,うちの番犬スニファーの,"Я хочу, чтобы ты принёс мне",你先出去，,"우리 감시견,",
,,,今日の餌を,"что-нибудь для моей собаки,",给我们的看门狗小闻,스니퍼의 오늘,
,,,探してきてくれ。,"Сниффера, перекусить.",找点吃的回来。,먹이를 구해 와.,
,,, , , , ,
,,,こいつはプラチナと,"Его любимое — это металлы,",它最喜欢吃的东西是,스니퍼가 제일,
,,,タングステンが,вроде платины и,铂金和钨。,좋아하는 먹이는,
,,,大好物なんだ。,вольфрама... Но он,如果实在没有，,백금과 텅스텐이지.,
,,,鉄も食べるけどな。,и железо съест.,铁也不是不行。,철도 먹긴 하지만.,
,,, , , , ,
,,,逃げようなんて考えるなよ？,Попробуешь сбежать — и я,奉劝你别想着开溜啊。,도망칠 생각 마.,
,,,そうしたらお友達と一緒に,сотру вас обоих с,否则我马上送你和你朋友,그랬다간 너희 둘 다,
,,,地獄行きだ。,лица этой планеты.,一块下地狱。,사이좋게 지옥행이니까.,
pc409,ジョバンニ,**:**,僕に何をした？,Что это было?!,你对我做了什么？,방금 그건 뭐야?,
pc410,Wi,**:**,保険さ。,Просто небольшая страховка.,只是以防万一。,보험 같은 거야.,
,,, , , , ,
,,,お前の首に埋めた,Этот имплант у тебя на,埋在你脖子里的东西，,방금 네 목에 심은,
,,,インプラントは、位置情報、,шее будет отслеживать твоё,会记录你的位置，生命体征，,임플란트는 위치 정보와,
,,,バイタル、周囲の音声を,"местоположение, жизненные",周围的声音，,"생체 신호, 주변 음성을",
,,,すべてリアルタイムで,показатели и записывать твой,全部实时发送给我。,전부 실시간으로,
,,,記録・送信する。,голос. Так что не слишком, ,기록하고 전달하지.,
,,, ,"увлекайся какими-либо",哪怕你自己一个人偷偷躲起来, ,
,,,ひとりで「お楽しみ」の音,"""личными"" моментами...",“快活”，,혼자만의 시간까지,
,,,まで記録してやるよ。,Мы всё услышим.,我都会听得一清二楚。,다 기록하니 조심해.,
pc411,Wi,**:**,合格だ。,Отлично. Ты прошёл.,你通过了。,합격이야.,
,,,ちょっと待ってろ。,Погоди секунду.,在那等着。,잠시 대기해.,
,,, , , , ,
,,,用事が済んだら,"Я встречусь с тобой,",等我办完事，,용건이 끝나면,
,,,迎えに行くから。,когда закончу здесь.,就过去接你。,데리러 갈 테니까.,
pc412,■□■■,**:**,宿を用意しておいた。,Я забронировала для,给你准备了住处。,잘 곳을 준비했다.,
,,,ドリーム・ホテルの,тебя номер в «Отеле Грёз».,梦幻酒店，,드림 호텔.,
,,,1203号室。,Номер 1203.,1203号房。,1203호실이다.,
,,, , , , ,
,,,ムーヴェーターから,"Используй транспортёр, чтобы",坐移形升降梯来。,공간 엘리베이터를,
