翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
train2_1_25,詳しいんだな。,А ты много о них знаешь...,你还真了解。,잘 아네.,
,どこからそんな情報を？,Откуда ты всё это узнал?,这些你都是从哪知道的？,그 정보는 어디서 얻었어?,
train2_1_26,機業秘密だ。,"О, ну знаешь. Очередной профессиональный секрет.",那就是器业机密了。,기업 비밀이야.,
train2_1_27,おれを信用してないのか？,Что? Ты мне не доверяешь?,怎么，你不相信我吗？,날 못 믿겠어?,
train2_1_28,……,...,……,……,
train2_1_29,冗談だよ。君のことは信用してる。,"Конечно, доверяю. Я просто пошутил.",逗你的。我还是相信你的。,장난이야. 넌 믿고 있으니까.,
train2_1_30,君がいなきゃ、僕は今頃死んでたわけだし。,"Будь ты на стороне Кареллен, то не стал бы",毕竟没有你的话，我现在早就死了。,네가 없었다면 지금쯤 난 죽었을 걸.,
,少なくともカレルレンの手下じゃなさそうだしね。,меня спасать. Без тебя меня бы сейчас,而且你至少不像是卡列伦的手下。,적어도 카렐렌의 하수인은 아닌 것 같고.,
,,соскребали с пола.,,,
train2_1_31,……それはよかった！,"Хех... Для этого и нужны друзья!",……那就好！,……그럼 다행이고!,
train2_1_32,でも、ゼロデイにどうやって接触するんだ？,Но как нам связаться с «Нулевым Днём»?,不过我们要怎么接触零日的人？,"그런데, Zero Day와는 어떻게 접촉하지?",
,彼らが協力してくれる保証はないだろ？,"Не думаю, что они примут нас",他们不一定愿意帮我们啊。,저들이 협력할 거라는 보장도 없잖아?,
,,с распростёртыми объятиями...,,,
train2_1_33,接触はおれに任せてくれ。,Просто оставь это мне. У меня,接触的事就交给我好了。,접촉은 내게 맡겨.,
,彼らはきっとおれたちの話を聞いてくれるさ。,"такое чувство, что они отнесутся к нашему",他们肯定会听我们说的。,저들도 분명 우리 이야기를 들어줄 거야.,
,,делу с сочувствием.,,,
train2_1_34,おまえが「ハンドラー」だと知れば、なおさらな。,"Особенно когда узнают, что ты Хэндлер.",等知道你是“Handler”就更没问题了。　　　,"네가 ""핸들러""라는 걸 알면 더더욱.　　　　　　　　　　",
,　,　,　,　,
train2_1_34-2,おまえが「ハンドラー」だと知れば、なおさらな。,"Особенно когда узнают, что ты Хэндлер.",等知道你是“Handler”就更没问题了。　　　,"네가 ""핸들러""라는 걸 알면 더더욱.　　　　　　　　　　",
,そうだろ？　最近話題の凄腕ハッカー君！,"Ты отлично впишешься,",对吧？你可是最近引发圈内热议的大神啊！,그렇지 않겠어? 요즘 장안의 화제이신 뛰어난 해커 씨!,
,,Мистер Мститель Дарквеба!,,,
train2_1_35,……仲間、ね……,"Не знаю, будет ли это так просто...",……同伙……,……동료라……,
＜列車の行き先＞,,,,,
train2_1_36,これから向かう惑星って……,А что вообще за планета этот Моллиан?,我们接下来……要去哪个星球来着？,곧 도착할 행성이…… 어디랬지?,
train2_1_37,惑星モーリアン。イグニウムの原産星で、,Планета Моллиан — наш основной источник игниума.,莫莉安星。是伊格尼姆的原产地，,"모리안 행성이야. 이그늄의 원산지로,",
,現存する宇宙最古の人域だ。,А ещё это старейшая обитаемая планета.,也是宇宙现存最古老的人域。,오랜 역사를 지닌 인간 거주 행성이지.,
train2_1_38,イグニウム……,Игниум...,伊格尼姆……,이그늄……,
train2_1_39,原産って……あれの？,Его и правда добывают на Моллиане?,那玩意的……原产地？,그 이그늄의.…… 원산지라고?,
,人が住んで平気なのか？,Звучит не очень-то безопасно для жизни рядом...,那种地方真的能住人吗？,거기서 살아도 괜찮은 거 맞아?,
train2_1_40,もし、爆発したら……,Если... Если он взорвётся...,万一爆炸了……,만약 폭발하기라도 하면……,
train2_1_41,爆発したら……終わりだ。星ごと。,Точно. Вся планета взлетит на воздух.,爆炸了……就拜拜了。连带整个星球一起。,폭발하면...... 행성이 통째로 날아가겠지.,
train2_1_42,それでも……人域として2000年間、存在し続けている。,Но человечество как-то умудряется выживать там,即便如此……它还是有惊无险，存在了两千年。,"그래도...... 2,000년 동안 계속 존속해 온 곳이야.",
,奇跡のような惑星だ。なんせ……,"уже 2000 лет... Вот уж чудеса, да?",简直是个奇迹。不过嘛……,기적 같은 행성이지. 왜냐면……,
train2_1_43,おれの、憧れの人が見つけた星だからな。,"Всё благодаря герою, который его обнаружил.",毕竟是我崇拜的人找到的星星啊。,내가 동경하던 사람이 발견한 곳이니까.,
train2_1_44,……憧れの人？,...И кто же это?,……崇拜的人？,……동경하던 사람?,
＜憧れの人＞,,,,,
train2_1_45,モーリィ・リース。,Молли Райсс. Она главная шишка,莫莉·莉斯。,몰리 리스.,
,彼女は、惑星モーリアンの現行管理者で……,на планете Моллиан. И первый космический,她既是莫莉安星的现任管理者……,현 모리안 행성 관리자이자......,
,最古の＂宇宙開拓者＂でもある。,первопроходец в истории человечества.,也是资历最老的“太空开拓者”。,"가장 오래된 ""우주 개척자""지.",
train2_1_46,……おれが宇宙で一番、尊敬してる人だ。,"Она была моим примером для подражания, сколько я себя",……是我在整个宇宙里最崇敬的人。,……우주에서 가장 존경하는 사람이야.,
,昔から……憧れだった。,помню... Самый крутой человек во вселенной.,从很久以前……我就崇拜她了。,오래 전부터…… 동경했었어.,
train2_1_47,君の好きな人には興味ないけど……,Ну я рад за тебя. А мне-то что.,你喜欢谁我是不感兴趣……,네가 좋아하는 사람에게는 별 관심 없지만…,
train2_1_48,でも、最古の＂宇宙開拓者＂っていうのは……,Хотя открыть планету — это звучит,但你说她是资历最老的“太空开拓者”，那……,"가장 오래된 ""우주 개척자""라……",
,……すごいね。それって何千年前の話だ？,довольно круто. Когда она её нашла?,……还真厉害。那得是几千年前的事了啊？,……엄청나네. 대체 몇 천 년 전 일이야?,
,,Должно быть... целую вечность назад.,,,
train2_1_49,……さあな。知ってるか？　彼女は――\.\.\.,Кто знает? Но зацени вот что...\.\.\.,……管它的。对了你知道吗？她啊――\.\.\.,……글쎄. 하지만 그거 알아? 몰리는…\.\.\.,
,「地球」出身なんだ。,Молли изначально была с планеты Земля.,是从“地球”出来的人哦。,지구 출신이야.,
train2_1_50,地球って、あの……？,Земля...? Серьёзно?,地球……是说那个……？,지구라면…… 그 지구……?,
train2_1_51,地球生まれ、地球育ち。,Ага. Она Землянка. Родилась и выросла,她地球出生，地球长大。,지구에서 태어나 자랐대.,
,群青色の故郷に生まれ、ゆりかごを飛び出して――,на той маленькой голубой точке... Но она,生在群青色的故乡，后来飞出摇篮——,"고향인 푸른 별에서 태어나, 요람을 박차고 나온 끝에……",
,ついに、人類史上初めての惑星国家を作り上げた……,рванула в космос и основала самую первую,最终建立了人类历史上第一个行星国家……,인류 역사상 최초의 행성국가를 만든……,
,,людскую космическую колонию.,,,
train2_1_52,彼女はまさに、生ける宇宙人類史そのものだ。,Она заложила основы для всей человеческой жизни,她整个人就是一部活生生的宇宙人类史。,몰리는 살아있는 우주 인류사 그 자체지.,
,,в космосе!,,,
train2_1_53,そんな昔の人が、今も……？,"Но погоди... Ты сказал, она всё ещё здесь. Как?",那么久以前的人，现在还活着……？,그렇게 오래 전 사람이 지금까지…?,
,どうやって生きてるんだ？,"Она должна быть бессмертной, чтобы прожить так долго.",怎么做到的？,어떻게 살아있는 거야?,
train2_1_54,さあな。当時の人類に「非死化」の技術はなかったはずだけど……,"Это ещё одна загадка. Насколько я знаю, Земляне",谁知道呢，我也不认为那时的人类,글쎄. 당시 인류에게 노화를 극복할 정도의,
,ともかく彼女は実在する。,в те времена не имели продвинутых технологий,已经有了克服衰老的技术……,기술은 없었던 것 같지만……,
,,"омоложения... Понятия не имею, как ей это удалось,",总之她是真实存在的。,그럼에도 몰리는 아직 살아있어.,
,,но она всё ещё здесь.,,,
train2_1_55,そして、彼女の名を冠した惑星「モーリアン」にも……,"И она не только дала имя Моллиану, она ещё и причина",而且，在以她的名字命名的“莫莉安星”上……,"본인의 이름을 본뜬 ""모리안"" 행성에도……",
,今なお地球の色が残っている。,его глубоко укоренившейся Земной культуры.,现在还留有地球的影子。,지구의 분위기가 아직 남아 있지.,
train2_1_56,そういえば授業でやったかも。,"А. Мы это проходили на занятиях, кажется.",你这么一说，课上好像学过。,"그러고 보니, 수업에서 들었어.",
,昔は独立した「国家」だったんだっけ？,"Раньше ведь были разные «нации», так?",那里以前好像是个独立的“国家”来着？,"예전에는 독립된 ""국가""였다며?",
train2_1_57,そうだ。,"Динь-динь-динь! Точно в яблочко. Очевидно, старая",对呀。,맞아.,
,イグニウム関連で発達した「企業」が遺したらしい,инфраструктура по добыче игниума всё ещё стоит.,据说，曾经有个靠伊格尼姆发迹的“企业”，,"지금은 이그늄 관련 사업으로 성장한 ""기업""의 유산이 남아 있어.",
,巨大な地下都市があるって噂もある。,"Ходят слухи, что там ещё и огромный подземный",在那边地底下留了一座巨大的都市遗迹。,거대한 지하 도시가 있다는 소문도 돌고.,
,,город есть.,,,
train2_1_58,地下都市。潜伏するにはうってつけの場所だよな！,"А это значит, Моллиан — идеальное место,",地底下的城市，那不是最适合藏身了嘛！,지하 도시라. 잠복하기에는 안성맞춤이지!,
,どうだ、行きたくなっただろ？,"чтобы спрятаться. Ну, что думаешь? Убедил?",怎么样，感兴趣了吧？,"어때, 가보고 싶지?",
train2_1_59,惑星モーリアンか……,Планета Моллиан...,莫莉安星啊……,모리안 행성이라......,
＜会話終了後＞,,,,,
train2_1_60,……,...,……,……,
,着いたみたいだな。,"Похоже, мы на месте.",看来到了。,도착한 모양이네.,
train2_1_61,さあ、駅を出ようか。,Ну как? Ты готов?,走，咱们出站吧。,그럼 역을 나서 볼까.,
＜選択肢名＞,,,,,
2ndhoselect0,母について　　　　　　　　　　　　　　　　　　　　　　　,Поговорить о маме                     ,关于母亲　　　　　　　　　　　　　　　　　　　　　　　,어머니에 관해　　　　　　　　　　　　　　　　　　　　　　　,
2ndhoselect1,ゼロデイ　　　　　　　　　　　　　　　　　　　　　　　　,Поговорить о «Нулевом Дне»            ,零日　　　　　　　　　　　　　　　　　　　　　　　　　,Zero Day　　　　　　　　　　　　　　　　　　　　　　　 　,
2ndhoselect2,列車の行き先　　　　　　　　　　　　　　　　　　　　　　,"Спросить, куда вы идёте                ",列车在往哪开　　　　　　　　　　　　　　　　　　　　　,열차 행선지　　　　　　　　　　　　　　　　　　　　　　　　,
train_choice3_c,憧れの人　　　　　　　　　　　　　　　　　　　　　　　　,Всего лишь один из самых удивительных людей.                        ,崇拜的人　　　　　　　　　　　　　　　　　　　　　　　,동경하던 사람　　　　　　　　　　　　　　　　　　　　　　　,
## 2-31　DAY25／銀河鉄道車内,,,,,
train_2-31_day25_1,モーリアン、残してきちゃったけど。,Нормально вот так просто оставить,莫莉安就这样撂在那里了，,모리안을 이대로 두고,
,大丈夫かな？,Моллиан?,不会出问题吗？,떠나도 괜찮을까?,
train_2-31_day25_2,……,...,……,……,
train_2-31_day25_3,もともとはマークが管理してたんだし、,"Марк там за главного, так или иначе.",不过以前就是马克在管，我也给他下令了，,"원래 마크가 관리하던 곳이었지,",
,命令は出してるし、いいか。すぐ戻ってくるし……,Он выполнит наши приказы. Мы всегда можем вернуться позже.,应该没事吧。反正很快就会回来……,명령도 내렸으니 괜찮겠지. 금방 돌아갈 생각이고……,
train_2-31_day25_4,スプロール・ハイヴ……,Ульевы Просторы...,蔓生之巢……,스프롤 하이브……,
train_2-31_day25_5,どうしたの？,Что?,怎么了？,응?,
train_2-31_day25_6,地下のことは……ずっと悩みの種だった。,Не могу выбросить из головы этот подземный город.,地下的事……我心里一直很烦恼。,지하 쪽은…… 계속 고민거리였어.,
train_2-31_day25_7,あまりにも惜しい存在だ。,Какой печальный конец.,那帮人，实在是太可惜了。,정말 아까운 존재였지.,
,それでも、最初の惑星はモーリアンじゃなきゃならなかった……,"И всё же, первой планетой должен был стать Моллиан...",但就算这样，第一站还是必须要来莫莉安……,"그럼에도, 처음 갈 행성은 모리안이어야 했어……",
,どうしても。,Во что бы то ни стало.,我别无选择啊。,그래야만 했어.,
train_2-31_day25_8,何？　最初？,А? Что ты имеешь в виду под «первой»?,什么？什么第一站？,뭐? 처음이라니?,
train_2-31_day25_9,前人未到の道を歩み――,"Отправиться туда, куда не ступала нога человека...",莫莉·莉斯不但开辟了前无古人的道路——,인류가 딛지 못한 길……,
,かつて多くの人が諦めたはずの夢を実現した。,"Следовать за мечтой, от которой многие давно",还实现了多少人曾经放弃的梦想。,많은 사람이 포기했던 꿈을 해낸 자.,
,,отказались.,,,
train_2-31_day25_10,……人類史上もっとも偉大な人物は、,...Чтобы войти в историю как один из великих.,……人类历史上最伟大的人，,……인류 역사상 가장 위대한 인물은,
,間違いなくモーリィ・リースだろう。,Этот титул принадлежит Молли Райсс.,想必就是她无误。,몰리 리스야. 그 사실은 분명해.,
train_2-31_day25_11,Wiは……,Ви...,至于Wi……,그리고 Wi는……,
,現代によみがえったモーリィだ。,Была современной версией Молли Райсс.,她就像是在现代复生的莫莉。,몰리가 되살아난 모습이었어.,
train_2-31_day25_12,そして、彼女は正しくモーリィを超えた。,Но ей действительно удалось превзойти оригинал.,而她正确地超越了莫莉，,"그리고, 확실하게 몰리를 넘었지.",
,「夢」のその先を見せてくれた……,"Она показала мне, куда ведёт эта мечта.",让我见识到在“梦想”之后还有什么……,꿈 너머에 있는 것이 무엇인지 보여줬어……,
train_2-31_day25_13,心から尊敬してる。,И за это я всегда буду её уважать.,我衷心敬佩她。,진심으로 존경할 정도로.,
,この時代においてはもはや存在し得ないはずだった,"Таких, как эти двое, действительно больше нет.",她是在当今时代，几乎已经不可能存在的——,이 시대에는 더 이상 존재하지 않을……,
,――奇跡のような「人間」だ。,Больше нет чудотворцев. Больше нет людей.,奇迹般的“人类”。,"기적 같은 ""인간""이었지.",
train_2-31_day25_14,彼女達の遺志はおれが継ぐ。だから……,Я должен принять их наследие. Вот почему...,她们的遗志将由我来继承。所以……,너희의 유지는 내가 잇겠어. 그러니……,
train_2-31_day25_15,……格別な愛をこめて。,Я делаю это с величайшей любовью.,……我也将对她们致以特殊的爱意。,각별한 애정을 담아……,
train_2-31_day25_16,え？,А?,什么？,뭐?,
train_2-31_day25_17,へ……,Постой...,呃……,어……,
train_2-31_day25_18,……え？　何、今……,"Э-э, что делаешь?",……刚刚是什么……？,"……응? 뭐야, 방금 그건……",
train_2-31_day25_19,あはっ……,Аха...,啊哈……,아하하……,
train_2-31_day25_20,はははっ……くくっ……ふひっ……,Хахаха...хаха...хаха...,哈哈哈……呵呵……嘻嘻嘻……,하하…… 크큭…… 끅끅……,
train_2-31_day25_21,\{\{あーはっはっはっはっはっ,\{\{АХАХАХА!,\{\{啊——哈——哈——哈,"\{\{아하, 아하하하!!",
,はっははっはっ！！！！,ХАХАХАХА!,哈哈哈哈哈！！！,하하하하하하하!!!,
train_2-31_day25_22,\{バーン！\}　どうだ、大成功！,\{БАХ!\} Да! Всё пошло точно по плану!,\{嘭——！\}怎么样啊？圆满成功！,"\{뻥~!!\} 어때, 성공했어!",
,なぁなぁジョバンニ、見たか今の！？,Джованни! Ты это видел?!,乔班尼！你看到了吗？看到了吧？！,"이봐, 조반니, 방금 그거 봤어?!",
train_2-31_day25_23,完璧だ！　ものの見事に木っ端微塵！！,"Это шедевр! Посмотри, как она разлетелась вдребезги!",好完美啊！一点不剩，全都炸个粉碎！！,완벽해! 완벽하게 산산조각 나다니!!,
,やっぱりおれって天才だなぁ！！,"Боже, да я гений?!",我就知道我是天才啊！！！,역시 난 천재야!!!,
train_2-31_day25_24,橋で捕まった時はどうなるかと思ったけど……,"Я уже начал беспокоиться, когда нас поймали...",当初在桥上被抓的时候还以为不行了……,다리에서 붙잡혔을 때는 어쩌나 싶었는데……,
,なんとかうまくいったなぁ！,Но мне как-то удалось это провернуть!,幸好最后都还挺顺利的！,어찌어찌 잘 해결됐네!!,
train_2-31_day25_25,ジョバンニ、全部おまえのおかげだよ！！,"О, Джованни! Без тебя бы я не справился!",乔班尼，亏得有你帮忙！！,"조반니, 다 네 덕이야!!",
,本当にありがとう！！,Прими мою глубочайшую благодарность!,真是要多谢你了！！,정말 고마워!!,
train_2-31_day25_26,おかげで――この計画の、,"Благодаря тебе, я наконец-то запустил",借你的手——我才成功踏出了,덕분에…… 이번 계획의 가장 중요한,
,一番大事な第１歩が踏み出せた！！！,первый и самый важный этап моего плана!,这个计划最重要的第一步！！！,첫걸음을 내디딜 수 있었어!,
train_2-31_day25_27,は……？　計画？,Это всё было частью плана?,啊……？计划？,뭐……? 계획이라니?,
train_2-31_day25_28,そう、計画さ！！　当たり前だろ？,"Ну разумеется, глупенький!",对啊，计划！！不然还有什么？,"그래, 계획!! 뻔하잖아?",
train_2-31_day25_29,これからおれ達は、この文明を,"Я не остановлюсь, пока вся эта цивилизация",咱俩接下来，,이제부터 우리는 이 문명을……,
,ぶっ潰すんだからさぁ！！,не будет полностью уничтожена!,可是要去毁灭整个文明呢！！,완전히 부숴버릴 거니까!!,
train_2-31_day25_30,……！？　な……っ……,Чт... Ты...,……啊……？！,……?! 뭐……?!,
train_2-31_day25_31,なんだそれ、どういうことだよ……,Какого чёрта ты несёшь?,什么……什么毁灭……,"뭔데, 대체 무슨 소리를 하는 거야……",
,……何言ってるんだよ！？,"Серьёзно, ты сейчас шутишь?!",……你到底在说什么啊？！,……그게 대체 무슨 소리냐고?!,
train_2-31_day25_32,……！,...!,……！,……!,
,ま、まさか、いまの爆発って君があの惑星を……,Этот взрыв только что... Это ты его устроил?,难、难道刚刚的爆炸声，是你把那颗星球……,"서, 설마, 지금 그 폭발…… 네가 행성을……?",
train_2-31_day25_33,おれじゃない、おまえさ！,"Нет, не я. Ты!",那可不是我，是你干的！,"내가 아니야, 네가 한 거지!",
train_2-31_day25_34,えっ？,Что?,我？,뭐?,
train_2-31_day25_35,投げ入れただろ？,"Ты же тот, кто её бросил, верно?",就是你啊。朝着那颗星球的“星核”——,직접 던졌잖아?,
,惑星の「核」の巨大なイグニウムに、,"Бомбу, пропитанную этанолом,",巨大的伊格尼姆，丢了一个吸饱,"행성의 ""핵""인 거대한 이그늄 덩어리에",
,エタノールをたっぷり含んだ爆弾をさ。,нацеленную на массивное игниумное ядро планеты.,液态乙醇的炸弹。你亲手丢的。,에탄올을 채운 폭탄을 말이야.,
train_2-31_day25_36,爆弾……って……,Бомбу? О чём ты...,什么炸弹……我……,폭탄…… 이라고……?,
train_2-31_day25_37,まさか、あのぬいぐるみか……！？,Постой... Та плюшевая игрушка!,……难道是那个娃娃……？！,"설마, 그 인형에……?!",
train_2-31_day25_38,……な、なんで……そんなこと……,Зачем ты... заставил меня это сделать...,……你、……你为什么要……,"……어, 어째서…… 그런 짓을……",
train_2-31_day25_39,……なんで？,Что значит «зачем»?,……我为什么？,……어째서냐고?,
train_2-31_day25_40,……決まってるじゃないか。愛だよ。,"Да ладно тебе. Ради любви, очевидно же.",……那还用问吗？当然是为了爱。,"……당연히 ""사랑""이지.",
train_2-31_day25_41,おれは、人類を愛してるんだ。,Я люблю человечество.,当然是因为我爱人类啊。,나는 인류를 사랑해.,
train_2-31_day25_42,はぁ……！？,Что?!,啥……？！,뭐……?!,
train_2-31_day25_43,本当だ。心の底から愛してる。,"Да, это правда. От всего сердца.",是真的。我打从心底里爱他们。,진심이야. 난 인류를 마음속 깊이 사랑해.,
,彼らのためなら、どんなことだってやってやれる！,"Я сделаю для людей практически всё, что угодно!",只要是为了人类，什么事我都愿意干！,저들을 위해서라면 뭐든 할 수 있어!,
,いつまでも元気で幸せにいてほしい……,"Я хочу, чтобы они жили! Чтобы процветали!",我希望人类能永远朝气蓬勃、幸福快乐……,"늘 건강하게, 그리고 행복했으면 좋겠어……",
,,Чтобы благоденствовали!,,,
train_2-31_day25_44,……だからこそ許せないんだ。,Вот почему я больше не могу этого терпеть.,……所以现代人的蠢样，,"……그렇기에, 지금 인류의 모습을",
,人類の現代での有り様が。,"Сегодняшние люди — не кто иные, как лентяи.",我才看不过眼。,난 도저히 용서할 수 없어.,
train_2-31_day25_45,いいか？　人類には危機が訪れている。,Теперь понимаешь? Их ненасытность порождает опасность.,听着，人类早就面临危机了。,인류는 지금 위기를 맞이하고 있어.,
