翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
2ndho50,……おれが宇宙で一番、尊敬してる人だ。,"Она была моим примером для подражания, сколько я себя",……是我在整个宇宙里最崇敬的人。,……우주에서 가장 존경하는 사람이야.,
,昔から……憧れだった。,помню... Самый крутой человек во вселенной.,从很久以前……我就崇拜她了。,오래 전부터…… 동경했었어.,
2ndho51,君の好きな人には興味ないけど……,"Ну я рад за тебя. А мне-то что.",你喜欢谁我是不感兴趣……,네가 좋아하는 사람에게는 별 관심 없지만…,
2ndho52,でも、最古の＂宇宙開拓者＂っていうのは……,Хотя открыть планету — это звучит,但你说她是资历最老的“太空开拓者”，那……,"가장 오래된 ""우주 개척자""라……",
,……すごいね。それって何千年前の話だ？,довольно круто. Когда она её нашла?,……还真厉害。那得是几千年前的事了啊？,……엄청나네. 대체 몇 천 년 전 일이야?,
,,Должно быть... целую вечность назад.,,,
2ndho53,……さあな。知ってるか？　彼女は――\.\.\.,Кто знает? Но зацени вот что...\.\.\.,……管它的。对了你知道吗？她啊――\.\.\.,……글쎄. 하지만 그거 알아? 몰리는…\.\.\.,
,「地球」出身なんだ。,Молли вообще-то родом с планеты Земля.,是从“地球”出来的人哦。,지구 출신이야.,
2ndho54,地球って、あの……？,Земля...? серьёзно?,地球……是说那个……？,지구라면…… 그 지구……?,
2ndho55,地球生まれ、地球育ち。,Ага. Она Землянка. Родилась и выросла,她地球出生，地球长大。,지구에서 태어나 자랐대.,
,群青色の故郷に生まれ、ゆりかごを飛び出して――,на той маленькой голубой точке... Но она,生在群青色的故乡，后来飞出摇篮——,"고향인 푸른 별에서 태어나, 요람을 박차고 나온 끝에……",
,ついに、人類史上初めての惑星国家を作り上げた……,рванула в космос и основала самую первую,最终建立了人类历史上第一个行星国家……,인류 역사상 최초의 행성국가를 만든……,
,,человеческую колонию в космосе.,,,
2ndho56,彼女はまさに、生ける宇宙人類史そのものだ。,Она заложила основы для всей человеческой жизни,她整个人就是一部活生生的宇宙人类史。,몰리는 살아있는 우주 인류사 그 자체지.,
,,в космосе!,,,
2ndho57,そんな昔の人が、今も……？,"Но погоди... Ты сказал, она все ещё жива. Как?",那么久以前的人，现在还活着……？,그렇게 오래 전 사람이 지금까지…?,
,どうやって生きてるんだ？,"Она должна быть бессмертной, чтобы прожить так долго.",怎么做到的？,어떻게 살아있는 거야?,
2ndho58,さあな。当時の人類に老化を乗り越えるほどの技術が,"Это ещё одна загадка. Насколько я знаю, Земляне",谁知道呢，我也不认为那时的人类,글쎄. 당시 인류에게 노화를 극복할 정도의,
,あったとは思えないけど……,в те времена не имели продвинутых технологий,已经有了克服衰老的技术……,기술은 없었던 것 같지만……,
,ともかく彼女は実在する。,"омоложения... Понятия не имею, как ей это удалось,",总之她是真实存在的。,그럼에도 몰리는 아직 살아있어.,
,,но она всё ещё жива.,,,
2ndho59,そして、彼女の名を冠した惑星「モーリアン」にも……,"И она не только дала имя Моллиану, она ещё и причина",而且，在以她的名字命名的“莫莉安星”上……,"본인의 이름을 본뜬 ""모리안"" 행성에도……",
,今なお地球の色が残っている。,глубоко укоренившейся там земной культуры.,现在还留有地球的影子。,지구의 분위기가 아직 남아 있지.,
2ndho60,そういえば授業でやったかも。,"А. Мы это проходили на уроках, кажется.",你这么一说，课上好像学过。,"그러고 보니, 수업에서 들었어.",
,昔は独立した「国家」だったんだっけ？,"Раньше ведь были разные «нации», да?",那里以前好像是个独立的“国家”来着？,"예전에는 독립된 ""국가""였다며?",
2ndho61,そうだ。,"Динь-динь-динь! Точно. По-видимому, старая",对呀。,맞아.,
,イグニウム関連で発達した「企業」が遺したらしい,инфраструктура по добыче игниума все ещё цела.,据说，曾经有个靠伊格尼姆发迹的“企业”，,"지금은 이그늄 관련 사업으로 성장한 ""기업""의 유산이 남아 있어.",
,巨大な地下都市があるって噂もある。,"Ходят слухи, что там ещё и огромный подземный город есть.",在那边地底下留了一座巨大的都市遗迹。,거대한 지하 도시가 있다는 소문도 돌고.,
2ndho62,地下都市。潜伏するにはうってつけの場所だよな！,"Значит, Моллиан – идеальное место, чтобы спрятаться.",地底下的城市，那不是最适合藏身了嘛！,지하 도시라. 잠복하기에는 안성맞춤이지!,
,どうだ、行きたくなっただろ？,"Ну, что думаешь? Я тебя убедил?",怎么样，感兴趣了吧？,"어때, 가보고 싶지?",
2ndho63,惑星モーリアンか……,Планета Моллиан...,莫莉安星啊……,모리안 행성이라......,
2ndho64,……,...,……,……,
,着いたみたいだな。,"Похоже, мы на месте.",看来到了。,도착한 모양이네.,
2ndho65,さあ、駅を出ようか。,Пошли. Ты готов?,走，咱们出站吧。,그럼 역을 나서 볼까.,
▼2-02a　DAY2／銀河鉄道ステーション～地上,,,,,
2ndho66,外は夜だ。,"Небо снаружи тёмное, озарённое",外面是晚上。,바깥 시간은 밤이다.,
,イルミネーションのきらめく光が美しい。,морем мерцающих огней.,彩灯五颜六色的光芒很美。,불빛이 반짝거리며 아름답게 빛난다.,
,入口からは、暖かな風が吹き込んでいる。,Теплый воздух врывается со входа.,从入口处吹来温暖的风。,입구에서 따스한 바람이 느껴진다.,
2ndho67,\C[1]（時差はどのくらいなんだろう……,\C[1](Большая ли разница во времени между,\C[1]（这里有几个小时时差啊……,\C[1](시차는 어느 정도지……,
,日没間隔はギムナジウムと同じに,"Прима Зевс и Моллиан? Помню, кто-то",之前好像听说过，,일몰 간격은 감나지움과 동일하게,
,調整されてるって聞いた気がするけど）,"говорил, что она примерно одинаковая.)",日落时间是跟学校里同步的）,조정한다고 들은 것 같은데),
2ndho68,,,,,
2ndho69,デイヴ……！,"О, это же Дэйв!",戴维……！,데이브잖아……!,
2ndho70,もしかして、モーリアンって……,Погоди-ка...,等等，莫莉安该不会就是……,"설마, 데이브 애니매이션……",
,デイヴ・アニメ発祥の惑星？,Мультики про Дэйва родом с Моллиан?,戴维动画系列的发源地？,모리안에서 만들었어?,
2ndho71,そうだぞ！,Так и есть!,没错！,맞아!,
,あれ、知らなかったか？,Разве ты не догадался?,咦？原来你不知道？,"어라, 몰랐어?",
2ndho72,……知らなかった。,"О, э-э... Похоже, нет.",……我确实不知道。,……몰랐어.,
,そうか……デイヴの。,Я теперь на планете Дэйва... круто!,原来……是戴维的家啊。,"그렇구나, 여기가……",
2ndho73,……へへっ……,Хех...,……嘿嘿……,……헤헤……,
,もうすぐ会えるんだ……,Скоро мы встретимся с НЕЙ...,马上就能见到了……,곧 만날 수 있겠네……,
2ndho74,どうしたんだ？,Что ты там бормочешь?,你怎么了？,무슨 소리야?,
2ndho75,さ、さ、早く外に出ようぜっ！,"А, ничего! Пошли уже!",走吧，走吧，我们快出去吧！,"자, 자, 빨리 바깥으로 나가자!",
,モーリアン、楽しみだろ？,"Тебе что, не терпится",你也很期待莫莉安星吧？,"모리안, 기대되지 않아?",
,,исследовать Моллиан?,,,
2ndho76,……はあ。,Э-э...,……哦。,……하아.,
▼■タクシー乗り場,,,,,
2ndho77,うわ、広――,Какое же оно огромное!,哇，好大——,"와, 엄청나게 넓……",
2ndho78,ああ……！　この気温！,Разве это атмосферное давление,啊啊……！这气温！,이거야……! 이 온기!,
,吸い込まれるような甘い匂い……！,"не идеально? Мм, и этот сладкий",这种要把人吸进去的甜蜜气味……！,빨려들 것 같은 달콤한 향기……!,
,,"аромат, что витает в воздухе...",,,
2ndho79,\{人間の匂いだ……！\},\{Это ЗАПАХ ЧЕЛОВЕЧЕСТВА!\},\{是人类的味道啊……！\},\{사람 냄새야……!\},
,久しぶりのモーリアンだ！！,Как же хорошо вернуться!,好久不见啦，莫莉安！！,"정말 오랜만이야, 모리안!!",
2ndho80,は……,Э-э...,哦……,하……,
2ndho81,なあなあ見ろよあの塔！！　美しいだろ！？,"Смотри, Джо! Видишь ту шикарную башню?",你看你看，那座塔！！是不是很美？！,"이봐, 저 탑 좀 봐!! 아름답지?!",
,地球時代の宇宙エレベーターを再現してるんだ！,Она смоделирована по образу,那是复现的地球时代的宇宙电梯哦！,지구 시절의 우주 엘리베이터를 재현한 건물이야!,
,,земного космического лифта!,,,
2ndho82,あっちの観覧車は、回るたびに,И прикинь! Вон то колесо обозрения,还有旁边那摩天轮，据说每转一圈，,저쪽에 보이는 관람차는 한바퀴 돌때마다,
,人類の歴史が１年進むって言われてる！,совершает полный оборот раз,人类的历史就会前进一年！,인류의 역사가 1년 더 나아간다고 해!,
,,в земной год.,,,
2ndho83,モーリアンはな、「人類史保存区」,Моллиан посвящён сохранению человеческой,莫莉安星也是著名的“人类历史保存区”哦！！,"모리안은 ""인류사 보존 구역""으로도",
,としても有名なんだ！！　惑星全体で、,истории. Древняя цивилизация,它可是用整颗星球，,유명한 곳이거든!! 사라진 인류의,
,失われた人類の全てを記録してるんだよ！,никогда не будет по-настоящему,记录着所有人类的失落文明呢！,모든 것이 행성 전체에 남겨져 있어!,
,,утеряна — у нас тут её летопись!,,,
2ndho84,ああ……,Разве ты не чувствуешь?,啊啊啊……,아……,
,人間の気配がするものばかりだ！,Здесь все такое... человеческое!,到处都是散发着人类味的东西！,인간의 손길이 느껴지는 것들 뿐이야!,
2ndho85a,\{モ\.ー\.ーーリィ\.ー\.ー\.ー\.ーッ！！！\.\.,\{М\.О\.Л\.Л\.И\.!\.!\.!\.,\{莫\.—\.——莉\.—\.—\.—\.—啊！！！\.\.,\{몰\.~\.~~리\.~\.~\.~\.~!!!\.\.,
2ndho85b,いま、\.,ПОДОЖДИ!\.,我现在\.就去找你——\.！,지금…\.,
,会いに行くからなぁーーーーっ！！,Я ИДУ!!!,等我——————！！,만나러 갈게~!!!,
2ndho86,あ、ちょっと！,"Эй, постой!",啊，喂……！,"앗, 잠깐만!",
,勝手に行くなよ！,Ты не можешь просто бросить меня здесь!,别自己跑走啊！,멋대로 행동하지 마!,
2ndho87,「飛行タクシーを呼ぶ」と書かれた,Интерактивный дисплей гласит:,一块操作面板，,비행 택시 호출이라 적힌,
,インターフェースがある。,Желаете вызвать летающее такси?,上面写着“呼叫计程飞篮”。,인터페이스 화면이 보인다.,
2ndho88,呼ぶ,Вызвать,呼叫,택시를 부른다,
2ndho88-2,やめておく,Отказаться,算了,그만둔다,
2ndho89,こ、これ、乗っていいの？,"Эм, а мне точно можно тоже поехать?",这、这东西我能坐吗？,"이, 이거, 타도 돼?",
2ndho90,ああ、スコア制限はないぞ。,Конечно. Эта штука существует ещё,没问题，它不限制评分。,"그래, 스코어 제한도 없어.",
,紀元前からある設備だからな。,"с тех времен, когда никаких «человеческих",毕竟是纪元前就有的老设备了。,기원전부터 존재한 탈것이니까.,
,,баллов» и не было.,,,
2ndho91,このタクシーもモーリィの,Летающее такси – лишь одно из многих,这种飞篮也是莫莉本人的,이 택시도 몰리가 만든,
,革命的な発明品なんだ。,потрясающих изобретений Молли!,划时代发明之一。,혁신적인 발명품이거든.,
2ndho92,2000年前にも使われてたんだってさ。,Эту технологию используют уже 2000,说是两千年前就投入使用了，,"2,000년 전에도 사용했던 거라나 봐.",
,いまだに現役なんてすごいよなぁ、,"лет! Можешь поверить, что она работает",到了现在还在运作，真厉害啊。,아직도 현역이라니 대단한데.,
,さすがモーリィ！,по прошествии всего этого времени?,不愧是莫莉！,역시 몰리는 대단해!,
,,Молли – это нечто...,,,
2ndho93,2000年前……,Целых 2000 лет...?,两千年前……,"2,000년 전……",
2ndho94,「パークガイド」,Гид по парку,“公园导览”,공원 가이드,
2ndho95,モーリアンの全景が描かれた地図だ。,Карта парка с высоты птичьего полета.,画有莫莉安星全景的地图。,모리안 전경이 그려진 지도다.,
,各エリアには、かつての地球の文化と歴史が,Каждая зона была создана для,每个区域似乎都有个特定的主题，,각 구역마다 지구의 옛 문화와 역사를,
,テーマとして再現されているらしい。,воссоздания отдельной эры земной,复现从前地球的文化和历史。,테마 형식으로 재현하였다.,
,,истории.,,,
2ndho96,現在のプロトコルにより、行き先が,"Согласно действующим ограничениям на",根据当前设定的游览规程，,"현재 프로토콜에 따라, 행선지가",
,「リースタウン」エリアに固定されます。,"передвижение, вы можете направиться",本次目的地将固定为“莉斯小镇”。,리스 타운 구역으로 고정됩니다.,
,,только в Райссвилль.,,,
2ndho97,リースタウンへ,Отправиться в Райссвилль,前往莉斯小镇,리스 타운으로 간다,
2ndho98,やめておく,Отказаться,算了,그만둔다,
2ndho99,わくわく……,"Ох, жду не дождусь!",嘿嘿嘿……,두근두근……,
▼2-02b　DAY2／リースタウン中心地,,,,,
2ndho100,誰もいない……？,Здесь... никого нет?,怎么完全没人……？,아무도 없잖아……?,
2ndho101,モーリアンは観光地だからな。,Моллиан раньше была крупным,莫莉安本质上是旅游景点嘛。,모리안은 관광지거든.,
,,туристическим центром.,,,
2ndho102,覚えてるか？,Пока десять лет назад не ударила,你还记得十年前爆发的那个,10년 전에 있었던,
,１０年前のアダプトウイルス騒ぎ。,"пандемия... Как только начались вспышки",“适应病毒”吗？,"어댑트 바이러스 사건, 기억나?",
,,заражения адаптовирусом.,,,
2ndho103,「緊急事態宣言」とか何とかで、,"Кареллен ограничила межпланетные ",当时卡列伦发布什么“紧急事态宣言”，,긴급 사태 선언이니 뭐니 하면서,
,惑星間移動はカレルレンが禁止しただろ。,перелеты и всё это место полностью,禁止人们在各行星间迁移。,카렐렌이 행성 간 이주를 금지했지.,
,,закрыли.,,,
2ndho104,あれ以降、モーリアンは,С тех пор туризм на Моллиан совершенно,从那以后，,그 사건으로 모리안도,
,観光客を失ったのさ。,иссяк...,就没有旅客来莫莉安了。,관광객을 잃고 말았어.,
,まるで廃棄圏だよ。,"Жутковато, а? Словно город-призрак.",搞得这里像废墟一样。,문자 그대로 폐허가 되었지.,
2ndho105,アダプト……,Адаптовирус...,适应病毒……,어댑트……,
,母さんが話してたかも。,"Кажется, я помню, мама об этом говорила.",妈妈好像提过。,엄마에게서 들었던 것 같아.,
2ndho106,お前がギムナジウムに入る前の話だな。,"А-а, это было до того, как ты поступил,",应该是你进学校之前的事了。,네가 감나지움에 오기 전 일이니까.,
,「フィールドワーク」も消えて、授業も,"так что ты даже не представляешь, как всё",“实地考察”活动因此取消，上课内容,현장 학습도 폐지되면서 수업도,
,つまらなくなったし……いろいろあったんだぜ。,было хреново. Нам отменили наши межпла-,也变得很无聊……出了不少事呢。,시시해졌고…… 여러 일이 있었어.,
,,нетные экскурсии. Была скукоти-и-ища.,,,
2ndho107,……そうだったんだ。,Ох...,……这样啊。,……그랬구나.,
2ndho108,ま、人が少ないのは,"Но чем меньше туристов, тем веселее нам!",不过嘛，,"뭐, 사람이 적은 만큼",
,観光するには最高だろ！,"Всё это место в нашем распоряжении,",观光就是要人少才逛得爽！,관광하기에는 최고지!,
,あちこち見て回ろうぜ！,так что давай оторвемся по полной!,咱们到处看看吧！,여기저기 둘러 보자고!,
2ndho109,うん。,Ладно...,嗯。,그래.,
,\C[1]（でも……,"\C[1](Что-то здесь не так... Без клиентов,",\C[1]（可是……都这样了，,\C[1](하지만…… 어떻게,
,どうしてまだ営業してるんだ？）,почему это место до сих пор работает?),这里为什么还在营业啊？）,지금까지 운영 중인 걸까?),
2ndho110,もうちょっとここを,"Не торопись ты так, Джо, живи моментом!",我还没看够呢！,"여기, 조금만 더",
,見てみようぜ！,Здесь ещё столько всего можно,再待一会吧！,구경해 보자!,
,,исследовать!,,,
2ndho110B,さすがモーリアン、,"чёрт, обожаю Моллиан... Он офигенен, даже",不愧是莫莉安！,역시 모리안이야.,
,人がいなくても楽しさは変わらないな！,когда вся планета безлюдна!,就算没人还是一样好玩！,사람이 없어도 재미있는 건 그대로네!,
2ndho110C,違和感はあるけどね……,"Жутко, когда вокруг ни души...",观感挺诡异的就是了……,다소 위화감은 들지만……,
2ndho111,↑モーリィタワー,↑ Башня Молли,↑莫莉通天塔,↑ 몰리 타워,
,←ウエスタンエリア,← Зона Дикого Запада,←西部园区,← 서부 구역,
,→ジェットコースター,→ Американские горки,→云霄飞车,→ 제트코스터,
,↓ゲート,↓ Вход,↓大门,↓ 게이트,
2ndho111-2,表示,Дисплей ВКЛ,显示,표시 ON,
2ndho111-3,表示オフ,Дисплей ВЫКЛ,隐藏,표시 OFF,
2ndho113,観光案内はいかがですか？,Желаете экскурсию по комплексу?,您需要导游服务吗？,관광 안내를 확인하시겠습니까?,
,今なら待ち時間ゼロですよ！,"Подходите, очереди нет!",现在预约无需排队，立即出发！,지금 대기 시간은 0분입니다!,
2ndho114,,,,,
2ndho115,「モーリィ・リース――,Молли Райсс ,【莫莉·莉斯】,몰리 리스.,
,政治家、実業家、芸術家。,"Художница, бизнесвумен, лидер",政治家、企业家、艺术家。,정치가이자 사업가 겸 예술가.,
,惑星モーリアンの開拓者。」,"и основательница планеты Моллиан.""",莫莉安星的开拓者。,"모리안 행성의 개척자.""",
2ndho116,「ベンジャミン・リース――,Бенджамин Райсс,【班杰明·莉斯】,"벤자민 리스, 통칭 벤.",
