翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
2ndho38,おまえが「ハンドラー」だと知れば、なおさらな。,Especially once they find out you're the Handler.,等知道你是“Handler”就更没问题了。,"네가 ""핸들러""라는 걸 알면 더더욱.",
,そうだろ？　最近話題の凄腕ハッカー君！,"You'll fit right in, Mr. Dark Web Vigilante!",对吧？你可是最近引发圈内热议的大神啊！,그렇지 않겠어? 요즘 장안의 화제이신 뛰어난 해커 씨!,
2ndho39,……仲間、ね……,I don't know if it'll be that easy...,……同伙……,……동료라……,
2ndho40,これから向かう惑星って……どこだっけ。,"What kind of planet is Mollian, anyway?",我们接下来……要去哪个星球来着？,곧 도착할 행성이…… 어디랬지?,
2ndho41,惑星モーリアン。イグニウムの原産星で、,Planet Mollian is our primary source of ignium.,莫莉安星。是伊格尼姆的原产地，,"모리안 행성이야. 이그늄의 원산지로,",
,現存する宇宙最古の人域だ。,It also happens to be the oldest inhabited planet.,也是宇宙现存最古老的人域。,오랜 역사를 지닌 인간 거주 행성이지.,
2ndho42,イグニウム……,Ignium...,伊格尼姆……,이그늄……,
2ndho43,原産って……あれの？,They're really mining that on Mollian?,那玩意的……原产地？,그 이그늄의.…… 원산지라고?,
,人が住んで平気なのか？,It doesn't sound safe to live around...,那种地方真的能住人吗？,거기서 살아도 괜찮은 거 맞아?,
2ndho44,もし、爆発したら……,If... If it exploded...,万一爆炸了……,만약 폭발하기라도 하면……,
2ndho45,爆発したら……終わりだ。星ごと。,Right. The whole planet would go up in smoke.,爆炸了……就拜拜了。连带整个星球一起。,폭발하면...... 행성이 통째로 날아가겠지.,
2ndho46,それでも……人域として2000年間、存在し続けている。,But humanity's somehow managed to survive there,即便如此……它还是有惊无险，存在了两千年。,"그래도...... 2,000년 동안 계속 존속해 온 곳이야.",
,奇跡のような惑星だ。なんせ……,"for 2,000 years... Talk about miracles, huh?",简直是个奇迹。不过嘛……,기적 같은 행성이지. 왜냐면……,
2ndho47,おれの、憧れの人が見つけた星だからな。,It's all thanks to the hero who discovered it.,毕竟是我崇拜的人找到的星星啊。,내가 동경하던 사람이 발견한 곳이니까.,
2ndho48,……憧れの人？,...And who's that?,……崇拜的人？,……동경하던 사람?,
2ndho49,モーリィ・リース。,Mollie Reiss.,莫莉·莉斯。,몰리 리스.,
,彼女は、惑星モーリアンの現行管理者で……,She's the head honcho on planet Mollian.,她既是莫莉安星的现任管理者……,현 모리안 행성 관리자이자......,
,最古の＂宇宙開拓者＂でもある。,And the first space pioneer in human history.,也是资历最老的“太空开拓者”。,"가장 오래된 ""우주 개척자""지.",
2ndho50,……おれが宇宙で一番、尊敬してる人だ。,She's been my role model for as long as I can,……是我在整个宇宙里最崇敬的人。,……우주에서 가장 존경하는 사람이야.,
,昔から……憧れだった。,remember... Coolest person in the universe.,从很久以前……我就崇拜她了。,오래 전부터…… 동경했었어.,
2ndho51,君の好きな人には興味ないけど……,That's great for you and all. Not that I care.,你喜欢谁我是不感兴趣……,네가 좋아하는 사람에게는 별 관심 없지만…,
2ndho52,でも、最古の＂宇宙開拓者＂っていうのは……,But discovering a planet sounds pretty cool.,但你说她是资历最老的“太空开拓者”，那……,"가장 오래된 ""우주 개척자""라……",
,……すごいね。それって何千年前の話だ？,When did she find it? Must've been...eons ago.,……还真厉害。那得是几千年前的事了啊？,……엄청나네. 대체 몇 천 년 전 일이야?,
2ndho53,……さあな。知ってるか？　彼女は――\.\.\.,Who knows? But get this...\.\.\.,……管它的。对了你知道吗？她啊――\.\.\.,……글쎄. 하지만 그거 알아? 몰리는…\.\.\.,
,「地球」出身なんだ。,Mollie originally came from planet Earth.,是从“地球”出来的人哦。,지구 출신이야.,
2ndho54,地球って、あの……？,Earth...? Seriously?,地球……是说那个……？,지구라면…… 그 지구……?,
2ndho55,地球生まれ、地球育ち。,Yup. She's an Earthling. Born and raised on that,她地球出生，地球长大。,지구에서 태어나 자랐대.,
,群青色の故郷に生まれ、ゆりかごを飛び出して――,little blue dot... But she blasted off to space,生在群青色的故乡，后来飞出摇篮——,"고향인 푸른 별에서 태어나, 요람을 박차고 나온 끝에……",
,ついに、人類史上初めての惑星国家を作り上げた……,and founded the first-ever human space colony.,最终建立了人类历史上第一个行星国家……,인류 역사상 최초의 행성국가를 만든……,
2ndho56,彼女はまさに、生ける宇宙人類史そのものだ。,She planted the seeds for all human space life!,她整个人就是一部活生生的宇宙人类史。,몰리는 살아있는 우주 인류사 그 자체지.,
2ndho57,そんな昔の人が、今も……？,But wait... You said she's still around. How?,那么久以前的人，现在还活着……？,그렇게 오래 전 사람이 지금까지…?,
,どうやって生きてるんだ？,She'd have to be immortal to live that long.,怎么做到的？,어떻게 살아있는 거야?,
2ndho58,さあな。当時の人類に老化を乗り越えるほどの技術が,"That's another mystery. Far as I know, Earthlings",谁知道呢，我也不认为那时的人类,글쎄. 당시 인류에게 노화를 극복할 정도의,
,あったとは思えないけど……,back then didn't have advanced anti-aging tech...,已经有了克服衰老的技术……,기술은 없었던 것 같지만……,
,ともかく彼女は実在する。,"I dunno know how she did it, but she's still here.",总之她是真实存在的。,그럼에도 몰리는 아직 살아있어.,
2ndho59,そして、彼女の名を冠した惑星「モーリアン」にも……,"And not only is she Mollian's namesake, she's the",而且，在以她的名字命名的“莫莉安星”上……,"본인의 이름을 본뜬 ""모리안"" 행성에도……",
,今なお地球の色が残っている。,reason for its deep-seated Earthling culture.,现在还留有地球的影子。,지구의 분위기가 아직 남아 있지.,
2ndho60,そういえば授業でやったかも。,"Ah. We covered this in class, I think.",你这么一说，课上好像学过。,"그러고 보니, 수업에서 들었어.",
,昔は独立した「国家」だったんだっけ？,"There used to be different ""nations,"" right?",那里以前好像是个独立的“国家”来着？,"예전에는 독립된 ""국가""였다며?",
2ndho61,そうだ。,"Ding ding ding! Exactly right. Apparently, the old",对呀。,맞아.,
,イグニウム関連で発達した「企業」が遺したらしい,ignium mining infrastructure's still standing.,据说，曾经有个靠伊格尼姆发迹的“企业”，,"지금은 이그늄 관련 사업으로 성장한 ""기업""의 유산이 남아 있어.",
,巨大な地下都市があるって噂もある。,"Rumor has it there's a huge underground city, too.",在那边地底下留了一座巨大的都市遗迹。,거대한 지하 도시가 있다는 소문도 돌고.,
2ndho62,地下都市。潜伏するにはうってつけの場所だよな！,That means Mollian is the perfect place to hide.,地底下的城市，那不是最适合藏身了嘛！,지하 도시라. 잠복하기에는 안성맞춤이지!,
,どうだ、行きたくなっただろ？,"So, what do you think? Convinced yet?",怎么样，感兴趣了吧？,"어때, 가보고 싶지?",
2ndho63,惑星モーリアンか……,Planet Mollian...,莫莉安星啊……,모리안 행성이라......,
2ndho64,……,...,……,……,
,着いたみたいだな。,Looks like we're here.,看来到了。,도착한 모양이네.,
2ndho65,さあ、駅を出ようか。,Let's go. You ready for this?,走，咱们出站吧。,그럼 역을 나서 볼까.,
▼2-02a　DAY2／銀河鉄道ステーション～地上,,,,,
2ndho66,外は夜だ。,"The sky outside is dark, illuminated by",外面是晚上。,바깥 시간은 밤이다.,
,イルミネーションのきらめく光が美しい。,a sea of twinkling lights.,彩灯五颜六色的光芒很美。,불빛이 반짝거리며 아름답게 빛난다.,
,入口からは、暖かな風が吹き込んでいる。,Warm air is rushing in from the entrance.,从入口处吹来温暖的风。,입구에서 따스한 바람이 느껴진다.,
2ndho67,\C[1]（時差はどのくらいなんだろう……,\C[1](Was there a big time difference between,\C[1]（这里有几个小时时差啊……,\C[1](시차는 어느 정도지……,
,日没間隔はギムナジウムと同じに,Prima Zeus and Mollian? I remember someone,之前好像听说过，,일몰 간격은 감나지움과 동일하게,
,調整されてるって聞いた気がするけど）,saying that they were about the same.),日落时间是跟学校里同步的）,조정한다고 들은 것 같은데),
2ndho68,,,,,
2ndho69,デイヴ……！,"Oh, it's Dave!",戴维……！,데이브잖아……!,
2ndho70,もしかして、モーリアンって……,Wait a minute...,等等，莫莉安该不会就是……,"설마, 데이브 애니매이션……",
,デイヴ・アニメ発祥の惑星？,Did the Dave cartoons come from Mollian?,戴维动画系列的发源地？,모리안에서 만들었어?,
2ndho71,そうだぞ！,Sure did!,没错！,맞아!,
,あれ、知らなかったか？,Couldn't you tell?,咦？原来你不知道？,"어라, 몰랐어?",
2ndho72,……知らなかった。,"Oh, uh... I guess not.",……我确实不知道。,……몰랐어.,
,そうか……デイヴの。,I'm on Dave's planet now...cool!,原来……是戴维的家啊。,"그렇구나, 여기가……",
2ndho73,……へへっ……,Heh...,……嘿嘿……,……헤헤……,
,もうすぐ会えるんだ……,"Soon, we'll get to meet HER...",马上就能见到了……,곧 만날 수 있겠네……,
2ndho74,どうしたんだ？,What are you mumbling about?,你怎么了？,무슨 소리야?,
2ndho75,さ、さ、早く外に出ようぜっ！,"Ah, nothing! Let's get a move on!",走吧，走吧，我们快出去吧！,"자, 자, 빨리 바깥으로 나가자!",
,モーリアン、楽しみだろ？,Aren't you excited to explore Mollian?,你也很期待莫莉安星吧？,"모리안, 기대되지 않아?",
2ndho76,……はあ。,Uh...,……哦。,……하아.,
▼■タクシー乗り場,,,,,
2ndho77,うわ、広――,This place is huge!,哇，好大——,"와, 엄청나게 넓……",
2ndho78,ああ……！　この気温！,Isn't this atmospheric pressure perfect?,啊啊……！这气温！,이거야……! 이 온기!,
,吸い込まれるような甘い匂い……！,"Mm, and the sweet scent filling the air...",这种要把人吸进去的甜蜜气味……！,빨려들 것 같은 달콤한 향기……!,
2ndho79,\{人間の匂いだ……！\},\{This is the smell of HUMANITY!\},\{是人类的味道啊……！\},\{사람 냄새야……!\},
,久しぶりのモーリアンだ！！,It's good to be back!,好久不见啦，莫莉安！！,"정말 오랜만이야, 모리안!!",
2ndho80,は……,Uh...,哦……,하……,
2ndho81,なあなあ見ろよあの塔！！　美しいだろ！？,"Look there, Gio! See that gorgeous tower?",你看你看，那座塔！！是不是很美？！,"이봐, 저 탑 좀 봐!! 아름답지?!",
,地球時代の宇宙エレベーターを再現してるんだ！,It's modeled after Earth's space elevator!,那是复现的地球时代的宇宙电梯哦！,지구 시절의 우주 엘리베이터를 재현한 건물이야!,
2ndho82,あっちの観覧車は、回るたびに,And get this! That Ferris Wheel makes a,还有旁边那摩天轮，据说每转一圈，,저쪽에 보이는 관람차는 한바퀴 돌때마다,
,人類の歴史が１年進むって言われてる！,full rotation once every Earth year.,人类的历史就会前进一年！,인류의 역사가 1년 더 나아간다고 해!,
2ndho83,モーリアンはな、「人類史保存区」,Mollian is dedicated to preserving human,莫莉安星也是著名的“人类历史保存区”哦！！,"모리안은 ""인류사 보존 구역""으로도",
,としても有名なんだ！！　惑星全体で、,history. Ancient civilization will never,它可是用整颗星球，,유명한 곳이거든!! 사라진 인류의,
,失われた人類の全てを記録してるんだよ！,be truly lost—we have a record right here!,记录着所有人类的失落文明呢！,모든 것이 행성 전체에 남겨져 있어!,
2ndho84,ああ……,Can't you feel it?,啊啊啊……,아……,
,人間の気配がするものばかりだ！,Everything here is just so...human!,到处都是散发着人类味的东西！,인간의 손길이 느껴지는 것들 뿐이야!,
2ndho85a,\{モ\.ー\.ーーリィ\.ー\.ー\.ー\.ーッ！！！\.\.,\{M\.O\.L\.L\.I\.E\.!\.!\.!\.,\{莫\.—\.——莉\.—\.—\.—\.—啊！！！\.\.,\{몰\.~\.~~리\.~\.~\.~\.~!!!\.\.,
2ndho85b,いま、\.,HOLD ON!\.,我现在\.就去找你——\.！,지금…\.,
,会いに行くからなぁーーーーっ！！,I'M COMING!!!,等我——————！！,만나러 갈게~!!!,
2ndho86,あ、ちょっと！,"Hey, wait up!",啊，喂……！,"앗, 잠깐만!",
,勝手に行くなよ！,You can't just leave me here!,别自己跑走啊！,멋대로 행동하지 마!,
2ndho87,「飛行タクシーを呼ぶ」と書かれた,"The interactive display here reads,",一块操作面板，,비행 택시 호출이라 적힌,
,インターフェースがある。,Would you like to call a flying taxi?,上面写着“呼叫计程飞篮”。,인터페이스 화면이 보인다.,
2ndho88,呼ぶ,Call one,呼叫,택시를 부른다,
2ndho88-2,やめておく,Forget it,算了,그만둔다,
2ndho89,こ、これ、乗っていいの？,"Um, is it really okay for me to ride, too?",这、这东西我能坐吗？,"이, 이거, 타도 돼?",
2ndho90,ああ、スコア制限はないぞ。,Of course. This thing has been around,没问题，它不限制评分。,"그래, 스코어 제한도 없어.",
,紀元前からある設備だからな。,since before human scores even existed.,毕竟是纪元前就有的老设备了。,기원전부터 존재한 탈것이니까.,
2ndho91,このタクシーもモーリィの,The flying taxi is just one of Mollie's,这种飞篮也是莫莉本人的,이 택시도 몰리가 만든,
,革命的な発明品なんだ。,many groundbreaking inventions!,划时代发明之一。,혁신적인 발명품이거든.,
2ndho92,2000年前にも使われてたんだってさ。,"They've been using this tech for 2,000",说是两千年前就投入使用了，,"2,000년 전에도 사용했던 거라나 봐.",
,いまだに現役なんてすごいよなぁ、,years! Can you believe it works after all,到了现在还在运作，真厉害啊。,아직도 현역이라니 대단한데.,
,さすがモーリィ！,this time? Mollie's something else...,不愧是莫莉！,역시 몰리는 대단해!,
2ndho93,2000年前……,"For 2,000 years...?",两千年前……,"2,000년 전……",
2ndho94,「パークガイド」,Park Guide,“公园导览”,공원 가이드,
2ndho95,モーリアンの全景が描かれた地図だ。,A map with a bird's-eye view of the park.,画有莫莉安星全景的地图。,모리안 전경이 그려진 지도다.,
,各エリアには、かつての地球の文化と歴史が,Each area was designed to recreate a,每个区域似乎都有个特定的主题，,각 구역마다 지구의 옛 문화와 역사를,
,テーマとして再現されているらしい。,different era of Earth's history.,复现从前地球的文化和历史。,테마 형식으로 재현하였다.,
2ndho96,現在のプロトコルにより、行き先が,"Under current travel restrictions, you may",根据当前设定的游览规程，,"현재 프로토콜에 따라, 행선지가",
,「リースタウン」エリアに固定されます。,only travel to Reissville.,本次目的地将固定为“莉斯小镇”。,리스 타운 구역으로 고정됩니다.,
2ndho97,リースタウンへ,Go to Reissville,前往莉斯小镇,리스 타운으로 간다,
2ndho98,やめておく,Forget it,算了,그만둔다,
2ndho99,わくわく……,"Ooh, I can't wait!",嘿嘿嘿……,두근두근……,
▼2-02b　DAY2／リースタウン中心地,,,,,
2ndho100,誰もいない……？,There's...nobody here?,怎么完全没人……？,아무도 없잖아……?,
2ndho101,モーリアンは観光地だからな。,Mollian used to be a huge tourist spot.,莫莉安本质上是旅游景点嘛。,모리안은 관광지거든.,
2ndho102,覚えてるか？,Until the pandemic hit ten years ago...,你还记得十年前爆发的那个,10년 전에 있었던,
,１０年前のアダプトウイルス騒ぎ。,"Once adaptovirus infections broke out,",“适应病毒”吗？,"어댑트 바이러스 사건, 기억나?",
2ndho103,「緊急事態宣言」とか何とかで、,Karellen restricted interplanetary travel,当时卡列伦发布什么“紧急事态宣言”，,긴급 사태 선언이니 뭐니 하면서,
,惑星間移動はカレルレンが禁止しただろ。,and the whole place went on lockdown.,禁止人们在各行星间迁移。,카렐렌이 행성 간 이주를 금지했지.,
2ndho104,あれ以降、モーリアンは,"Since then, tourism on Mollian completely",从那以后，,그 사건으로 모리안도,
,観光客を失ったのさ。,dried up...,就没有旅客来莫莉安了。,관광객을 잃고 말았어.,
,まるで廃棄圏だよ。,"Kinda spooky, huh? It's like a ghost town.",搞得这里像废墟一样。,문자 그대로 폐허가 되었지.,
2ndho105,アダプト……,The adaptovirus...,适应病毒……,어댑트……,
,母さんが話してたかも。,I think I remember Mom talking about that.,妈妈好像提过。,엄마에게서 들었던 것 같아.,
2ndho106,お前がギムナジウムに入る前の話だな。,"Ahh, that was before you enrolled, so you",应该是你进学校之前的事了。,네가 감나지움에 오기 전 일이니까.,
,「フィールドワーク」も消えて、授業も,never knew how bad it was. They canceled,“实地考察”活动因此取消，上课内容,현장 학습도 폐지되면서 수업도,
,つまらなくなったし……いろいろあったんだぜ。,our off-world excursions. It was boooring.,也变得很无聊……出了不少事呢。,시시해졌고…… 여러 일이 있었어.,
2ndho107,……そうだったんだ。,Oh...,……这样啊。,……그랬구나.,
2ndho108,ま、人が少ないのは,But fewer tourists means more fun for us!,不过嘛，,"뭐, 사람이 적은 만큼",
,観光するには最高だろ！,"We have the whole place to ourselves,",观光就是要人少才逛得爽！,관광하기에는 최고지!,
,あちこち見て回ろうぜ！,so let's make the most of it!,咱们到处看看吧！,여기저기 둘러 보자고!,
2ndho109,うん。,Okay...,嗯。,그래.,
,\C[1]（でも……,"\C[1](Something's off... With no customers,",\C[1]（可是……都这样了，,\C[1](하지만…… 어떻게,
,どうしてまだ営業してるんだ？）,why is this place still up and running?),这里为什么还在营业啊？）,지금까지 운영 중인 걸까?),
2ndho110,もうちょっとここを,"Slow down and live a little, Gio!",我还没看够呢！,"여기, 조금만 더",
,見てみようぜ！,There's still plenty here to explore!,再待一会吧！,구경해 보자!,
2ndho110B,さすがモーリアン、,"Damn, I love Mollian... It's even awesome",不愧是莫莉安！,역시 모리안이야.,
,人がいなくても楽しさは変わらないな！,when the whole planet is deserted!,就算没人还是一样好玩！,사람이 없어도 재미있는 건 그대로네!,
2ndho110C,違和感はあるけどね……,It's creepy with no one else around...,观感挺诡异的就是了……,다소 위화감은 들지만……,
2ndho111,↑モーリィタワー,↑ Mollie Tower,↑莫莉通天塔,↑ 몰리 타워,
,←ウエスタンエリア,← Wild West Area,←西部园区,← 서부 구역,
,→ジェットコースター,→ Roller Coaster,→云霄飞车,→ 제트코스터,
,↓ゲート,↓ Entrance,↓大门,↓ 게이트,
2ndho111-2,表示,Display ON,显示,표시 ON,
2ndho111-3,表示オフ,Display OFF,隐藏,표시 OFF,
2ndho113,観光案内はいかがですか？,Would you like a tour of the facilities?,您需要导游服务吗？,관광 안내를 확인하시겠습니까?,
,今なら待ち時間ゼロですよ！,"Step right up, there's no line!",现在预约无需排队，立即出发！,지금 대기 시간은 0분입니다!,
2ndho114,,,,,
2ndho115,「モーリィ・リース――,Mollie Reiss ,【莫莉·莉斯】,몰리 리스.,
,政治家、実業家、芸術家。,"Artist, businesswoman, leader,",政治家、企业家、艺术家。,정치가이자 사업가 겸 예술가.,
,惑星モーリアンの開拓者。」,"and founder of planet Mollian.""",莫莉安星的开拓者。,"모리안 행성의 개척자.""",
2ndho116,「ベンジャミン・リース――,Benjamin Reiss,【班杰明·莉斯】,"벤자민 리스, 통칭 벤.",
,通称ベン。モーリィ・リースの幼馴染。,Ben was a steadfast supporter of his wife,通称“班恩”。莫莉·莉斯的青梅竹马。,몰리 리스의 우주 개척 사업을,
,夫として彼女の宇宙開拓を生涯にわたり支えた。」,"Mollie's space-pioneering endeavors.""",作为丈夫，一生支持她的宇宙拓荒事业。,"평생 지원한 소꿉친구이자 남편.""",
2ndho117,ボタンを押す,Press the button,按下按钮,버튼을 누른다,
2ndho117-2,「デイヴ・クリームマン――,Dave Creamsen ,【奶油霜戴维】,데이브 크림맨.,
,モーリィの生み出した陽気なクリーム。,Mollie's plucky whipped cream man has,莫莉创造的奶油霜小男孩，活泼可爱。,몰리가 만든 유쾌한 크림.,
,１万作以上のアニメに出演し、現在も活躍中。」,"starred in over 10,000 episodes to date!""",已参演超过万集动画，现今仍活跃在一线。,"1만 개가 넘는 작품에 출현, 지금도 활약 중.""",
2ndho118,「マーク――,Mark,【马克】,마크.,
,モーリィの息子マーク・リースを再現したR。,Mollie's very first creation was an R made,重现了莫莉之子马克·莉斯音容笑貌的R。,"몰리의 아들, 마크 리스를 재현한 R.",
,モーリィ・リースの発明した最初のRである。」,"in the image of her son, Mark.""",也是莫莉·莉斯所发明的第一个R。,"몰리 리스가 발명한 최초의 R이다.""",
2ndho118-2,動かす,Move it,驱动,움직여 본다,
2ndho118-3,やめておく,Forget it,算了,그만둔다,
2ndho118-4,看板の裏にR-codeを見つけた。,There's an R-code behind the stand.,在立牌背后发现了R-code。,간판 뒤쪽에서 R-codes를 찾았다.,
2ndho120,いかがですかあ？,Feeling hungry?,来个冰淇淋吧？,드셔 보시겠어요?,
,ドリーム・アイスクリーム、クリーム味です！,How about some Dave's Dream ice cream?,新鲜现做梦幻甜筒，奶油口味！,크림맛 드림 아이스크림이랍니다!,
,地球時代の味を再現してるんですよ！,A taste of Earth right here on Mollian!,忠实还原了地球时代的味道哦！,지구 시대의 맛을 재현했죠!,
