翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
,おまえ、器用そうだから。,have a trick or two up your sleeve.,你看起来挺有能耐的。,제법 손재주가 있어 보이거든.,
ho519,……, … ,……,……,
,\C[1]（まさか……,\C[1](It can't be… Does he know that I'm,\C[1]（他该不会……,\C[1](설마…… 해킹을 하라고?),
,　ハッキングしろってことか？）,a hacker?),在暗示我黑进它们的系统吧？）,해킹을 하라고?),
ho520,\C[1]（僕の正体が「ハンドラー」だってことは,\C[1](But that's impossible… I haven't,\C[1]（我应该没告诉过任何人,"\C[1](내 정체가 ""핸들러""하는 사실은",
,　誰にも言ってないはずだけど……）,told anyone that I'm the Handler.),我就是Handler……）,누구에게도 말한 적 없는데……),
so0500,おれの「ジャンプ」で,I'm pretty sure I could make that jump,这里用我的“跳跃”，,"내 ""점프"" 기능으로",
,切り抜けてもいいけど……,"alone, but...I don't think my boosters",倒也能冲过去……,넘어가도 될 것 같지만......,
,２人分だとストーンの消費が心配だからな。,have the juice left to handle both of us.,但两个人一起的话，有点费石头。,두 명이면 스톤 소비도 만만치 않겠는걸.,
so0501,寮内じゃ補充もしにくいし……,It won't be easy to top up in the dorm.,宿舍里又很难补充……,기숙사 내에서는 보충도 힘들고......,
so0502,ストーン？　補充？,Boosters? ...Juice?,石头？补充？,스톤이라니? 보충은 또 뭐야?,
so0503,おれの靴。底に凝華酸素の「ストーン」が,My boots've got solid oxygen in them.,我的鞋底嵌了凝华的“固态氧”……,이 신발 바닥은 응화산소로 만든,
,入ってて……それを砕いて出来た酸素を,"Throw these babies on, and WHOOSH! Let the",打碎它可以得到氧气，,스톤이 들었거든...... 이걸 부수면,
,使ってジャンプするって仕組みなのさ。,magic of sublimation do the rest.,用这些氧气就能跳得很高了。,방출하는 산소로 도약하는 구조지.,
so0504,ストーンは、酸素のある野外なら,"As for the ""juice,"" I can fill them up",石头的话，只要在有氧气的野外，,스톤은 산소가 있는 야외라면,
,どこでもその場で「補充」できる。,wherever there's oxygen freely available.,随时随地都能“补充”。,"어디든 즉각 ""보충""할 수 있어.",
so0505,いざとなったら,"And if worse comes to worst, I can even",到了紧要关头，,여차한 상황에서는 호흡에 쓸,
,呼吸用の予備酸素としても使えるんだ。,use the oxygen stores to breathe!,还能当备用氧气，用来呼吸呢。,예비 산소로 활용할 수도 있고.,
,便利だろ？,"Pretty nifty, huh?",是不是很方便？,편리하지?,
so0506,へえー……,Whoa...,哦～……,그렇구나......,
so0507,おれの自慢の改造靴だよ。,"Heh. I modded them myself, y'know.",是我改造的哦。它可是我的得意之作。,내가 자랑하는 개조 신발이야.,
so0508,……デメリットといえば、,The downside is that each boot can only,……唯一的缺点，,단점을 꼽자면......,
,片足平均40kgあるところくらいだな！,lift around 40 kilograms.,大概也就单腿平均重40千克吧！,한 짝의 무게가 40kg 정도려나!,
so0509,…\.…\.へえー…\.…\.,Sounds...\.\.complicated.\.\.,…\.…\.哦～…\.…\.,...\....\.우와...\....\.,
,\C[1]（僕は絶対履きたくないな）,\C[1](You'll never catch me wearing those.),\C[1]（我是绝对不会穿的）,\C[1](난 절대 안 신을 거야),
ho521,ロックされています。,This door is locked.,此门上锁。,잠겨 있습니다.,
ho522,\C[1]（この扉のR-codeは覚えてる。,\C[1](I remember the R-code for this one.,\C[1]（我记得这扇门的R-code。,\C[1](이 문에 썼던 R-codes는,
,「Bath Sesame - B560」だ）,"It's ""Bath Sesame"".)",是“Bath Sesame”。）,분명 Bath Sesame였지),
ho522-1,ロック解除,Unlock door,开锁,잠금 장치를 해제한다,
ho522-2,ロックする,Lock door,上锁,잠근다,
ho522-3,……ロックを解除した。,The door has been unlocked.,……已开锁。,……잠금 장치를 해제했습니다.,
ho523,やるじゃないか！,See? I knew you were clever.,很厉害嘛！,제법인데!,
,そうだよ、その調子だ！,Keep it up!,没错，就是这样！,"맞아, 그렇게 하면 돼!",
ho524,\C[1]（こいつ……やっぱり,\C[1](I have a feeling that this guy,\C[1]（这家伙……,\C[1](이 녀석…… 역시,
,　僕の正体、知ってるのか？）,knows my secret identity somehow…),果然知道我的身份？）,내 정체를 알고 있나?),
ho525,さ、中に入ってみようぜ。,In we go! Who knows what we'll find,来，咱们进去瞧瞧。,"자, 안으로 들어가자고.",
,何か見つかるかも！,in here.,没准能找到什么好东西呢！,뭔가 찾을지도 모르니까!,
ho526,……, … ,……,……,
ho527,\C[1]（トイレだ。,\C[1](Huh. A toilet.,\C[1]（是厕所。,\C[1](화장실이야.,
,　もう用事はないな）,I don't really need to go right now.),暂时不用去了）,더 갈 필요 없어.),
ho528,\C[1]（その前に、あいつに,\C[1](I really need to clear some things up,\C[1]（不行。有些事，,"\C[1](그 전에, 저 녀석에게",
,　聞いておくことがある……）,with this weirdo... Here goes nothing.),得先问问他……）,물어봐야 할 게 있어......),
ho529,あのさ。,"Hey, uh...",那个。,저기.,
ho529a,どうしたんだ？,"Yeah, what's up?",嗯，怎么？,왜 그래?,
,あ、トイレか？,"...Ah, nature calls? Go ahead.",啊，上厕所吗？,"아, 화장실 가게?",
,行ってきていいぞ！,"When you've got to go, you've got to go!",尽管去吧！,어서 다녀와!,
ho530,違うよ。,"No, no! That's not it!",不是啦。,화장실 아니야.,
ho531,……\.\.\.どういうつもりなんだ？,I just mean...\.\.\.what's going on? You're the,……\.\.\.你究竟有什么企图？,......\.\.\.무슨 꿍꿍이야?,
,上級生の君が、どうしてこの寮に？,highest-scoring student in the Academy.,你是高年级学生，为什么来我们宿舍？,상급생인 네가 어째서 이 기숙사에 있지?,
,なんで僕なんか助けた？,Why are you here? And why did you save me?,还有，为什么帮我？,어째서 날 도와준 거야?,
ho531a,……\.\.,...\.\.,……\.\.,......\.\.,
,君の目的は？,"What's your endgame, really?",你做这些到底想要什么？,네 목적은 뭐야?,
ho532,なあおまえ、\|,"Riddle me this, Giovanni.\|",嗳，我说，\|,"이봐, 너.\|",
,こう考えたことはないか？,Have you ever questioned the score system?,你就从来没这样想过吗？,이렇게 생각해본 적 없어?,
ho533,――\|,For example...\| What if Karellen could act,——\|,......\|,
,＂もし、カレルレンに自我があったら？＂,of its own free will?,“如果卡列伦其实有自我意志会怎么样？”,카렐렌에게 자아가 있다면?,
ho534,もし、人間スコアが――\.\.カレルレンの都合で,What if our human scores are just a cruel,如果人类评分，就是个卡列伦说了算的数字——\.\.,"만약, 인간 스코어가......\.\.카렐렌 뜻대로",
,操作される、平等でもなんでもない数値だったら？,way for Karellen to manipulate us all?,根本不存在什么公平公正呢？,"조작하는, 평등과 아무 관계 없는 숫자라면?",
ho535,！,!,！,......!,
ho536,カレルレンは、,The Oversee-R claims to be a tool to lead,卡列伦是为了引导全人类幸福，,카렐렌은...,
,人間を幸福に導くために作られた道具だ。,humanity to happiness and prosperity...\!,被制造出来的工具。,인간을 행복으로 이끌 목적으로 만든 도구지.,
,……けど、道具が持ち主を裏切ったら、どうする？,What if that tool suddenly turned on us?,……但假如这工具背叛了主人呢？,"......하지만 도구가 주인을 배신하면, 어떻게 할래?",
ho537,Ｒに頼りきった人間たちは、,And now that we humans are completely,如今生活中的一切，都彻底依赖R的人类……,"R에게 완벽히 의지한 인간은,",
,……裏切りに気付けるか？,reliant on Rs... Who would even notice?,……能察觉到它的背叛吗？,......배신당했다는 사실을 깨달을 수 있을까?,
ho538,……,...,……,......,
ho539,カレルレンからの告知を見たよ。,"Y'know, I saw the message Karellen sent",我看到卡列伦发的通知了。,카렐렌이 보낸 고지를 봤어.,
,『共生プログラム』,about the Symbiosis Program.,那个什么“共生教育”，,"공생 프로그램이라,",
,受講者っておまえのことだろ。,"You're the one up for ""reeducation"" right?",“实施对象”就是你吧。,수강자는 널 말하는 거겠지.,
ho540,おかしいと思わないか？,Doesn't it feel like a load of bullshit?,但你不觉得奇怪吗？,이상하지 않아?,
,告知には、こんな過激な処置をとるなんて,Like how Karellen's message conveniently,那份通知里，一个字都没提到,고지에는 이런 과격한 조치를 취할 거라는,
,書いてなかったのにさ？,left out the part about exterminating you?,会动用这么暴力的手段吧？,내용은 쓰여 있지 않았잖아?,
ho541,何か知ってるのか？,...Do you know something I don't?,莫非你知道内情？,뭔가 알고 있는 거 맞지?,
ho542,詳しい話は、追いかけっこが終わってからだ。,I'll fill you in after we get the hell,这个就得等玩完鬼抓人再细说了。,자세한 이야기는 추격전이 끝난 뒤에 하자.,
,ここにはカレルレンの「耳」が,outta here. Karellen has ears all over,毕竟，,"여기는 카렐렌의 ""귀""가 되어줄",
,いっぱいあるからな。,"this place, so I'm gonna shut my trap now.",附近一堆卡列伦的“耳朵”听着呢。,녀석들이 가득하거든.,
ho543,ゲームのゴールは、学園船の外！,"Next stop, the Galactic Railroad.",咱们的终点是学园舰外！,결승점은 학교선 바깥!,
,「銀河鉄道」だ。,"Once we're out, we'll be in the clear!",是那里的“银河铁道”。,거기 있는 은하철도야.,
ho544,エントランスにあるムーヴェーターまで,"When we reach the exit, we'll take the",只要能跑进门厅里的移形升降梯，,입구에 있는 공간 엘리베이터에,
,辿り着ければ、,"transporter. Then it's just a hop, skip,",后面就简单了。,"도착만 하면, 은하철도로 가는",
,あとは「駅」までひとっ飛びだよ。,and a jump to the station!,它会带咱们直接飞去“车站”。,역까지 금방이지.,
ho545,銀河鉄道……？,What...? You lost me at Galactic Railroad.,银河铁道……？,은하철도......?,
ho546,今は……,Let's see...,我看看，当前时刻……,지금 시간은......,
,最寄りのモーリアン時刻で21時ちょうど。,"Right now, it's 9:00 p.m. Mollian time.",按照离这里最近的莫莉安时间，大概21时。,가장 가까운 모리안 시간대로 딱 21시군.,
,銀河鉄道は30分後に出発するはずだ。,The next train leaves in 30 minutes.,那么，银河列车大概半小时后发车。,은하철도는 30분 뒤에 출발할 거야.,
ho547,遊んでる時間はないな。,"Which means... Play time's over, pal.",看来没闲心玩了，,노닥거릴 시간이 없겠는걸.,
,さっさと邪魔な奴らを片付けないと。,What do you say we clean up some pesky Rs?,得快速解决掉那些挡路的家伙。,서둘러 귀찮은 녀석들을 정리해야겠어.,
ho548,さーて！　ここには何があるかな？,Let's snoop around a bit. Hopefully we'll,好啦～！这里会有什么呢？,자~! 여기에는 뭐가 있으려나?,
,面白いものが見つかるといいな！,find something to keep things interesting.,希望能找到点好玩的东西吧！,재미있는 게 있으면 좋겠는걸!,
ho549,\C[1]（……掴みどころのないやつだな。,\C[1](This guy doesn't like to let on much.,\C[1]（……摸不透这个家伙。,\C[1](......종잡을 수 없는 녀석이네.,
,　信用していいのか？）,Can I really trust him...?),相信他真的没问题吗？）,믿어도 될까...?),
ho550,\C[1]（いや。どうだっていいか。,\C[1](Guess it doesn't really matter. I'm,\C[1]（不过……其实无所谓。,"\C[1](아니, 세세한 건 신경 쓰지 말자.",
,　今は生きられるならなんでもいい）,alive. I'll take whatever help I can get.),眼下只要能活下去就行）,지금은 살아남는 데 집중해야지.),
ho551,\C[1]（さっきの提案に従ってみよう。,\C[1](I've got no choice but to go along,\C[1]（先照他说的做吧。,\C[1](아까 들은 제안대로 하자.,
,　あいつ、強いし……,"with his plan for now. Besides, I'll need",何况这家伙确实厉害……,"저 녀석, 강하니까......",
,　しばらくは頼りになるはずだ）,that kind of muscle to survive...),暂时应该靠得住）,당분간 도움이 될 거야.),
ho552,よし。通路の掃除Ｒを,"All right, let's do this.",好，那就来想办法，,좋아. 통로에 있는 청소 R을,
,なんとかする方法を探そう。,Time to clean out those Clean-Rs.,解决通道里那些清洁R吧。,처리할 방법을 찾아보자.,
hi0397,……僕の身長で見える範囲には,"Ergh, I wish I were a bit taller...",……以我的身高，,......내 눈높이에서 보면,
,特に何もなさそうだ。,I can't see much of anything from here.,看不到什么值得在意的东西。,특별한 건 없는 것 같아.,
hi0398,……よく見ると、上の方に,"I almost missed it, but there's an R-code",仔细观察……可以发现，,"......자세히 보니, 위쪽에",
,R-codeが書いてある。,written up there.,上方写着R-code。,R-codes가 새겨져 있다.,
hi0399,突入させる,Break in,让它撞进来,돌입한다,
hi0400,ロックされている。,It's locked...,锁着。,잠겨 있다.,
ka001,\C[1]（どうにかしろって言われてもな……,"\C[1](Ugh, what am I supposed to do now?",\C[1]（就算让我想办法……,\C[1](그런 소리를 들어도 말이지......,
,　……とりあえず、他の場所を調べてみるか）,"Look around somewhere else, maybe?)",……总之先看看其他地方好了）,......일단 다른 장소를 조사해 볼까),
ho553,今のうちに……,"Don't worry, it's stunned now.",趁现在……,이틈에……,
,こっちだ。,"C'mon, this way.",来这边。,이쪽이야.,
ho554,さっきの掃除Rくんには、,"By the way, make sure not to use any",我就不拿EMP弹，,"아까 그 청소 R 말인데,",
,ＥＭＰ弾は使わないでおくよ。,EMP rounds on those little Clean-Rs.,打刚刚那台清洁R了。,EMP탄은 쓰지 않을 거야.,
,壊したら勿体なさそうだ。,It'd be a waste to trash those circuits.,打坏了怪可惜的。,망가지면 아까울 것 같거든.,
ho555,……あいつ、,"Besides, I'm betting that we'll need to",……再说那东西，,"……저 녀석,",
,何かに使えそうだしな。,save them for something later.,应该能派上什么用场。,쓸모 있을 것 같기도 하고.,
ho556,何かに、か……,Save them? For what…?,用场……,쓸모라……,
ka004,危なかったな。,"Man, that coulda gotten ugly fast.",刚才好险啊。,큰일날 뻔했네.,
,EMP弾をセットしといてよかった。,Good thing I had a stun round loaded.,幸好我预装了EMP弹。,EMP탄을 미리 장전해 둬서 다행이야.,
ka005,……ありがとう。,...Thanks for saving me.,……谢谢你。,……고마워.,
ho557,ところで、ＥＭ……ってなんだ？,"And, uh…what's an EMP, exactly?",对了，你说的EM……,"그런데, 그 EM…… 그건 뭐야?",
,鳴き声か何か？,"Is that a genre of music, or something?",是什么东西？,울음소리 같은 거야?,
ho558,電磁パルス弾。電磁波でできた、,Electromagnetic pulse. EMP.,就是电磁脉冲弹，是用电磁波制造的，,전뇌 펄스탄이야. 전자파를 담은,
,＂Ｒ専用＂のエネルギー弾だ。,A pulse of energy that can fry most Rs.,专门对付R的能量弹。,R 전용 에너지탄이지.,
ho559,人間には、まったく無害。なのに、,"The rounds have no effect on humans,",对人类完全无害，,"인간에게는 전혀 해를 끼치지 않지만,",
,二進法どもはこれでイチコロ！,but binary bozos don't stand a chance.,但对上二进制铁块，就是一击必杀！,이진법 구조체는 한 방에 보낼 수 있어!,
,……素晴らしいだろ？　大好きなんだ。,"Beautiful, huh? I just love this stuff.",……是不是很棒？我最喜欢这种子弹了。,……엄청나지? 정말 좋아하는 녀석이야.,
ho560,……, … ,……,……,
,僕のＰＣ、壊さないでね。,"Whatever you do, just keep those rounds",那你当心点。,내 PC만 망가뜨리지 마.,
,それで。,"away from my PC, okay?",别用那东西打坏我的电脑。,그거면 충분해.,
ho561,大浴場に来たのはいいけど……,You said we were heading for the exit.,虽然跑到大浴场里来了……,"대형 목욕탕에 온 건 좋은데,",
,ここからエントランスへ逃げられる,So why are we here in the bathroom?,但这里根本没有通向门厅的路啊。,여기서 입구로 가는 도주로는,
,通路なんてないよ。どうしよう？,There's no way out from here.,怎么办？,하나도 없어. 이제 어쩌지?,
ho562,そうだなー……,"Hmm… Okay, how about this?",我想想啊……,그러게……,
,じゃあ、こういうのはどうだ？,"If you want an exit, I'll give you one.",你看这样如何？,"그럼, 이러면 어때?",
ho563,……便利な銃だね。,…Wow. That's one useful gun.,……这枪还真方便。,……편리한 총이네.,
,こんなの、どうして,How did you get permission from Karellen,但这种东西，,"이 총 말인데, 무슨 수로",
,カレルレンが許可したんだ？,to carry a weapon like that?,你是怎么让卡列伦批准的？,카렐렌에게 허가를 받았어?,
ho564,許可してないぞ。,That's easy. I didn't!,它没批准啊。,허가 받은 적 없어.,
ho564_sa,許可されてないぞ。,That's easy. I didn't!,没让它批准啊。,허가 받은 적 없어.,
ho565,え。,Huh?!,哎？,뭐?,
ho566,細かいことは＂機業秘密＂だ！\!,Let's just call it a trade secret.\!,哎呀，剩下就是“器业机密”啦！\!,"자세한 건 ""기업 비밀""이야!\!",
,……さ、そんなことより、,"Anyway, we've got other things to do.",……不说这个了，走，,"…자, 그것보다",
,このあたりを調べてみようぜ。,Let's explore around here a bit!,咱们在这附近四处看看。,이 주변을 조사해 보자고.,
ho567,気になるな……,That's...interesting.,到底是怎么……,신경 쓰이네……,
ho567-2,ドローンを借りる,Borrow drone,借用无人机,드론을 빌린다,
hi0491,ドローンで遊んでいる。,A drone is hovering around.,他在玩无人机。,드론을 가지고 놀고 있다.,
,……じっと眺めていると、ドローンの,You catch a glimpse of an R-code,……我盯着看了一会儿，,"......자세히 바라보자, 드론에 새겨진",
,R-codeがちらりと見えた。,on the drone.,瞄到了无人机的R-code。,R-codes가 살짝 보였다.,
ho568,……あのさ。,"Hey, I've got a favor to ask…",……我说。,……저기.,
,君のドローン、制御権を,Could you grant me temporary access,你的无人机的控制权，,잠시 네 드론 제어권을,
,貸してくれない？,to pilot your drone?,能不能借给我一下？,빌려도 될까?,
ho569,それを使えば、安全に,We can use it to scout ahead safely,借助无人机，,저 드론을 쓰면 저쪽을,
,向こうを調べられそうだ。,without putting our lives on the line.,应该就能安全调查那边的情况了。,안전하게 조사할 수 있을 거야.,
ho570,いいぜ。壊すなよ！,"Sure, pal. Just don't trash it.",好啊。当心别弄坏了！,"좋아, 부수지만 말라고!",
ho571,なんだ、貸してほしいのか？,Need me to lend you my drone?,干嘛，想借无人机吗？,왜? 빌려 달라고?,
,いいぜ！,Sure thing!,拿去吧！,좋아!,
ho571-1,ドローン操作,Pilot drone,操作无人机,드론 조작,
ho571-2,ドローン操作をやめる,Stop piloting drone,停止操作无人机,드론 조작을 그만둔다,
ho572,また使いたくなったら,"If you want to give it another spin,",之后还要用的话，就跟我说一声！,또 드론을 사용하고 싶으면,
,声をかけてくれ。,just say the word.,,언제든 말만 해.,
ho573,わかった。ありがとう。,Got it. Thanks.,好，谢谢你。,"알았어, 고마워.",
hi0454,カムパネルラにドローンを借りる,Borrow Campanella's drone,向康帕聂拉借用无人机,캄파넬라에게 드론을 빌린다,
ka003,これ以上は,It looks like the signal can't reach,再飞远点，,신호는 이 이상,
,信号が届かないな……,beyond this point...,会收不到信号的……,닿지 않는 것 같아……,
hi0583,あたたかい洗用水が満ちている。,"It's full of warm, clear water.",装满了温暖的洗用水。,"따뜻한 ""세면용 물""이 가득 차 있어.",
hi0455,浄水された湯が満ちている。,It's a bath full of clean water.,装满了净化过的热水。,정수가 가득 차 있다.,
,この湯が作る泡のなかにいれば、,"Once you dunk yourself in, the soapy water",只要钻进这锅热水的泡泡里，,이 물로 만든 거품 안에 있으면,
,やがて全身が洗浄される。,will have you squeaky clean in no time.,稍等片刻就能洗净全身。,몸을 깨끗하게 씻을 수 있다.,
hi0456,昔の人はいちいち手で身体を洗っていた,"Apparently, humans had to scrub themselves",听说，过去的人还得自己用手搓洗身体……,옛날 사람은 손으로 직접 몸을,
,らしいけど……現代は便利なものだ。,by hand in the past. Sounds like a pain.,现代科技真是方便啊。,씻었다지…… 정말 편한 시대야.,
hi0457,美しく光っている。,The crystal gleams beautifully.,发着美丽的光。,결정이 예쁘게 빛나고 있다.,
,「イグニウム」という名前の,This is a crystallized form of energy,它好像是一种名叫“伊格尼姆”的能量结晶。,이그늄이라는 이름의,
,エネルギー結晶体らしい。,known as ignium.,,에너지 결정체다.,
hi0458,「注意：,CAUTION: ,“注意：,"""주의:",
,　イグニウムは、純度50%以上の,When ignium comes in contact with alcohol,伊格尼姆一旦接触浓度高于50%的,이그늄은 순도 50% 이상의,
,　アルコール類に触れると,"solutions (>50% concentration), the",酒精类液体，,알코올과 접촉하면 반물질을,
,,,,,
hi0459,　反物質を囲む力場が崩壊し、,surrounding antimatter field will collapse,会导致反物质外侧的力场崩溃，引发,감싸는 역장이 붕괴하며,
,　『大爆発』を起こします。,and trigger an explosive reaction.,‘大爆炸’。,대폭발을 일으킵니다.,
,,,,,
hi0460,　危険なので、大浴場には,This substance is HIGHLY DANGEROUS.,因此，严禁携带任何酒精类药品进入,매우 위험하오니 대형 목욕탕에는,
,　絶対にアルコール類を,"As such, alcohol compounds should never",大浴场。”,절대 알코올 관련 물품을,
,　持ち込まないこと。」,"be brought into the bathing facilities.""",,"가지고 들어오지 마십시오.""",
ka006,エタノール……,Ethanol...,乙醇……,에탄올이라면……,
hi0461,「ロッカーは共用です。,"""These lockers are for shared public use.", “储物柜为公共设施，请大家文明使用，,"""사물함은 공용 자산입니다.",
,　譲り合って使いましょう。」,"Be kind. Clean up after yourself.""",避免私占。”,"서로 양보하며 사용하십시오.""",
hi0462,……よく見ると、隅に,"If I squint, I can make out an R-code",仔细观察……可以发现角落里写着,"……자세히 살펴보니,",
,R-codeが書いてある。,written in the corner.,R-codes。,구석에 R-codes가 보인다.,
hi0463,閉める,Close locker,关闭,닫는다,
hi0464,開ける,Open locker,开启,연다,
hi0465,ロックされているようだ。,It seems to be locked.,好像锁着。,잠긴 것 같다.,
,使用者の名前が表示されている。,Locker reserved by the following user:,上面有使用者的名字。,사용자 이름이 표시되어 있다.,
hi0466,「マルソ」,Marceau,“玛尔索”,마르소,
hi0467,……大量の本、ジュースの缶、,"Inside, there are a bunch of books, a can",……里面堆满了书，还有空的果汁罐，,"……많은 책과 주스 캔,",
,それに怪しい謎のビン。,"of soda, and a weird-looking bottle.",还有不知道装什么的瓶子。,수상한 병이 있다.,
,本は全部、推理小説だ。,The books are all mystery novels.,所有的书都是推理小说。,책은 모두 추리 소설이다.,
ho574,……完全に私物化されてる。,"This is a public facility, but…",……这柜子彻底被他霸占了啊。,……완전 자기 것처럼 사용하네.,
ho575,いいのか？　こんなに堂々と……,"Clearly, Marceau doesn't share well.",没问题吗？这么明目张胆……,이렇게 당당히 써도 되나……?,
,それに、なんだ……？　このビン。,And what the heck is in this bottle?,而且这瓶东西又是什么……？,그리고 이 병은…… 뭐지?,
ho576,これは……,Lemme see…,这是……,이건……,
,消毒用エタノールだな。,It's ethanol disinfecting spray.,乙醇消毒液。,소독용 에탄올이네.,
ho577,エタノール……！？,…Ethanol?!,乙醇……？！,에탄올……?!,
ho578,…\.…\.…\.…\.\.って、,.\..\..\.,…\.…\.…\.…\.\.乙醇……,…\.…\.…\.…\.\.,
,なんだ？,"What is that, again?",是什么？,그게 뭔데?,
ho579,はは。おまえ、世間知らずだな。,"Haha, you're like a babe in the woods.",哈哈，我还以为你见识不少呢！,"하하, 너, 정말 모르는 게 많구나.",
,エタノールはアルコールの一種だよ。,Ethanol is a type of alcohol—but not the,乙醇就是酒精的一种。,에탄올은 알코올 종류 중 하나야.,
