翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,このPCは銀河で唯一、カレルレンの影響を受けない端,"Harness its power, and the galaxy will be yours.",你现在不懂这意味着什么也没关系，总有一天会懂的。,이 PC는 전 은하에서 카렐렌의 영향을 받지 않는 유일한,
,,,末だ。, , ,기기란다.,
,,,今は意味が分からないと思うが、そのうちわかる。,"This is all confusing, I know. But it will make",想必在将来，你会用它操控整个银河。,"지금은 몰라도, 조만간 알게 될 거야.",
,,, ,"sense in time. Keep it secret, keep it safe.",但是一定要当心，别让任何人知道这件事。, ,
,,,いつかお前は、これを使って銀河のすべてを操るだろ, , ,너는 언젠가 이 능력으로 은하의 모든 것을 조종하게 될,
,,,う。,I love you more than anything under the stars.,我爱你胜过银河系的一切。,거야.,
,,,誰にも知られないよう気を付けること。, , ,다른 사람이 눈치채지 않도록 조심하거라.,
,,, ,"Your father, Ihatov",伊哈托夫, ,
,,,お前のことを、銀河で一番愛してる。,,,아빠는 이 은하 누구보다 널 사랑한단다.,
,,, ,,, ,
,,,イエハトブ,,,예하토브,
pc9,TODO,,ザネリはしばらく帰ってこない。,Zanelli won't be back for a while.,札内利暂时不会回来。,자넬리는 당분간 돌아오지 않을 거야.,
,,,今のうちに依頼された案件を完了させて、,Now's my chance to take care of some,趁现在完成委托，,그동안 받은 의뢰를 완료해,
,,,医療費を振り込んでおかないと。,jobs so that I can pay Mom's bills.,用酬劳付医药费吧。,병원비를 보내야지.,
,,,いつもの場所へアクセスしよう。,I just have to access the usual place.,首先要连接到那个“老地方”。,늘 가는 곳으로 접속하자.,
pc10,学生証,,男　高等１年,Male - Freshman,男 高等1年级,남자 고등 1년,
,,,プリマ・ゼウス銀河学園船,Prima Zeus Galactic Academy,至上星主银河学园舰,프리마 제우스 은하학교선,
,,,第５３区　Ｃ寮,District 53 - Dormitory C,53区 C宿舍,제53구 C 기숙사,
pc11,「入学許可証」.txt,,プリマ・ゼウス銀河学園 入学許可証,Prima Zeus Galactic Academy Letter of Acceptance,至上星主银河学园 入学许可证,프리마 제우스 은하학교 입학 허가증,
,,, , , , ,
,,,氏名: ジョバンニ・スタイラス,Name: Giovanni Stylus,姓名：乔班尼·斯泰拉斯,이름: 조반니 스타일러스,
,,,許可クラス: 高等１年,Enrolled Class: High School (1st Year),许可学级: 高一,허가 클래스: 고등 1년,
,,,住所: 惑星ストス　1984居住区（現在、消滅）,"Address: Grakkis Prime, District 1984",住址: 沙拓斯星 1984居住区,"주소: 스토스 행성, 1984 거주구",
,,, , , , ,
,,,この度、カレルレニア共生体の運営するプリマ・ゼウス,Congratulations. You have been accepted for enrollment,很荣幸地通知你，,카렐레니아 공생체에서 운영하는,
,,,銀河学園　高等１年学科への入学許可を正式にお知らせ,as a first-year student in the Karellenian Symbiote's,你已正式获准入读由卡列伦尼亚共生体运营的,프리마 제우스 은하학교 고등 1학년 학과,
,,,いたします。,Prima Zeus Galactic Academy high school program.,至上星主银河学园高等学部一年级。,입학을 정식으로 허가합니다.,
,,, , , , ,
,,,君の特別な状況と潜在能力を考慮し、私、生徒会長エー,"I, Student Council President Emile Herman, personally",考虑到你所处的特殊状况及你的潜能，,"귀하의 특별한 상황과 잠재능력을 고려해,",
,,,ミール・ヘルマンの特別許可の下、学園への転入を認め,approved your enrollment. We embrace your special,本人埃米尔·赫尔曼以学生会长权限，,학생회장 에밀 베르만의 특별 허가 아래,
,,,ます。,circumstances and potential and welcome you warmly.,特批你转入我校就读。,학교 전입을 인정합니다.,
,,, , , , ,
,,,入学日、寮室、制服などの詳細情報は別途通知いたしま,"Details for the first day of the semester, your dorm",有关入学日、宿舍、校服等具体信息将另行通知。,"입학 날짜와, 기숙사, 교복 등 세부 정보는",
,,,す。,"assignment, and uniforms will be sent at a later date.", ,별도로 통보해 드리겠습니다.,
,,, , ,, ,
,,,敬具,"Yours Sincerely,",谨致,보낸 이,
,,, , , , ,
,,,カレルレニア共生体立,The Karellenian Symbiote,卡列伦尼亚共生体立,카렐레니아 공생체 설립,
,,,プリマ・ゼウス銀河学園,"""Gymnasium"" Prima Zeus Galactic Academy",至上星主银河学园,프리마 제우스 은하학교,
,,,生徒会長,"Student Council President,",学生会长,학생회장,
,,,エーミール・ヘルマン,Emile Herman,埃米尔·赫尔曼,에밀 베르만,
pc12,ザネリ,**:**,わかってると思うけど,u better stfu bout what,你应该明白吧,너도 알고 있겠지만,
,,,今日のこと誰かに言うなよ,happened today,今天的事不许告诉任何人,누구에게도 말하지 마,
pc13,ジョバンニ,**:**,君って本当に僕のこと好き,I appreciate the show of,你真的也太喜欢我了吧。,내가 정말 마음에,
,,,だね。気持ちは嬉しいけど,"affection, but violent",心意我姑且领一下，,들었나 보네. 마음은,
,,,暴力は嬉しくないかな,guys aren't my type.,拳头就不必了,기쁘지만 폭력은 별로야,
pc14,ザネリ,**:**,ああ、そう,whatev,哦，是吗,"아, 그러셔?",
pc15,ザネリ,**:**,今から帰るから,im coming back now,我现在就回去,지금 돌아갈 테니,
,,,楽しみにしてて,u better watch out bitch,你等着瞧,기대하고 있으라고,
pc16,ジョバンニ,,……ザネリ。あの頃と変わったな。,…Zanelli's changed so much.,……札内利。相比那时他变了不少。,"……자넬리, 많이 변했구나.",
pc17,エーミール,**:**,やあジョバンニ！！！！！,AYOOOO GIOVANNI!!!!!!!!,哈喽乔班尼！！！！！！！,"여어, 조반니!!!!!",
,,,！,WHAT'S UP,！,!,
pc18,エーミール,**:**,朗報だ！！！,"ANYWAY, GOOD NEWS!!!!!!!",好消息！！！,좋은 소식이다!!!,
,,,君に届けられそうなシャツを,Got you some new shirts,我弄到了几件新衬衫，,네가 입을 만한 셔츠를,
,,,新たに入手したぞ！,w our batch of supplies,这回的尺码你铁定能穿！！,새로 손에 넣었지!!!!!,
,,,早速、君の部屋まで送って,I'll send some to your,这就给你送到宿舍去。,당장 네 방으로,
,,,やるからな。,room ASAP!!,,가져다 주마.,
,,,楽しみに待っているがいい,KEEP YOUR EYES PEELED,你就等着收礼物吧！！！！,즐겁게 기다리고,
,,,！！！！,HOPE YOU LIKE THEM!!!!!!,！！！！,있거라!!!!!,
pc19,ジョバンニ,**:**,ありがとうございます。,"Thank you, Emile.",太谢谢了。,감사합니다.,
,,,先ほど届きました。,They just arrived.,东西刚才收到了。,방금 받았어요.,
pc20,エーミール,**:**,うむ。君は小柄だから、,Nice. Sorry we keep,嗯。真不好意思啊，,그래. 넌 몸집이 작아,
,,,いつもぶかぶかなものばか,sending baggy clothes,你个头比较小，给你送的衬,헐렁한 것만 보내서,
,,,り送ることになってしまっ,"but ngl, you are really",衣老是松垮垮，我一直挺过,늘 미안한 마음,
,,,て申し訳なかったが……,tiny………,意不去……,뿐이었다만……,
,,,, , , ,
,,,今回こそはちょうどいいサ,But I made sure to get,但是这次总算给我找到,이번에 마침 적당한,
,,,イズのものを手に入れたぞ,you the perfect fit this,正好合身的了！！！！！！,사이즈의 셔츠를,
,,,！！！！,time!!!!!,！！！！,손에 넣었지!!!!!,
,,,頑張った生徒会長を褒めて,Say something nice coz,学生会长这么努力你还不多,이 학생회장의 노력을,
,,,くれたまえ！！！！,I worked really hard!!!!,夸夸！！！！,마음껏 찬양하거라!!!,
pc21,ジョバンニ,**:**,いつも助かってます。,You always do so much,真不好意思，让你费心了。,늘 감사합니다.,
,,,僕なんかのために、,for me. Thanks for all,谢谢会长，,일부러 저 같은 사람을,
,,,わざわざすみません。,the help.,各方面总是受你照顾。,도와주셔서요.,
pc22,エーミール,**:**,もう一声！！！！！！！！,More!!!!!!!!!!,再来一句！！！！！！！！,한 마디 더!!!!!!,
,,,！,MOOOOOORE,！,!,
pc23,ジョバンニ,**:**,え……,Um…,呃……,어……,
,,,エーミールさんは頼りにな,You're really good at,埃米尔会长真的是个很可靠,에밀 씨에게는,
,,,ります。,helping people.,的人。,늘 신세를 지네요.,
pc24,エーミール,**:**,\I[6]上出来だ！！！！,"I am, aren't I???!!!",\I[6]说得好！！！！,\I[6]훌륭해!!!!,
,,,そうだろう、そうだろう！,Hahahahahahah!!!!!!,对嘛！！就是嘛！！！！！,"그럼, 당연하지!",
,,,！！！！！！！,Yesssss!!!!!!!!,！！！,!!!!!!!!,
pc25,エーミール,**:**,しかし、これが僕の役目と,It's what I'm here for!,但毕竟我是学生会长，,하지만 이게 내,
,,,いうものだ！！！！！！,That's my job!!!! Just,这些事是我应该做的！！！！,역할이니 말이다!!!!,
,,,遠慮は全く必要ないさ。,holler if you need help!,完全不用跟我客气。,그러니 사양 말거라.,
pc26,エーミール,**:**,いつも大変だとは思うが……,I know things are tough.,你一直都过得很辛苦……,늘 힘들겠지만……,
,,,他の友達と上手くやれるよ,I'll do everything I can,但我会尽可能帮助你跟其他,다른 친구와,
,,,う、僕ができる限りサポー,to help you make some,朋友好好相处的！！所以,잘 지낼 수 있도록,
,,,トするからな！！安心して,"friends, so don't worry!",尽管放一百个心好了！！,최대한 도와주마!!,
,,,くれ！！,I got this!!!!,,마음 푹 놓거라!!,
pc27,エーミール,**:**,ところで、君は学園の食事,"BTW, how are you finding",对了，学校里的饭菜你吃得,"그건 그렇고, 급식은",
,,,に満足しているかな？,the cafeteria meals?,还满意吗？,마음에 드니? 학교선의,
,,,学園船の「お好み調理機能」は,Our Cook-Rs are pretty,咱们学舰的“定制私厨烹调,"뛰어난 ""원하는 요리",
,,,優秀だから、設定次第で様々な,awesome. With their new,功能”特好用，,"조리기능"" 설정에 따라",
,,,料理を食べることができるぞ！,"update, they can make",只要做相应的设置，就能吃,다양한 요리를 먹을 수,
,,,！！,pretty much anything,到任何你想吃的东西！！！,있지!!!,
,,,,with just a few tweaks!, , ,
,,,ごらん！！！！！！, ,看！！！！！！,이걸 봐라!!!!!!,
,,,僕は最近、自分の姿のチョ,I made some chocc buns,我最近还照着自己的样子,최근에 날 닮은,
,,,コパンを焼いてみたんだ！,"a few days ago, and they",烤了巧克力面包哦！,초코빵을 구워 봤지!,
,,,なかなか美味かったぞ！！,looked just like me!,可美味了！！！！！！！！,맛도 제법 있었다!!!,
,,,！！！,They were really tasty!!,！！！,!!!,
,,,振る舞った皆も満足してく,Everyone seemed to,请大家品尝之后也都赞不绝,함께 참여한 모두가,
,,,れたようだ！！！！！！,really enjoy them too!!!,口呢！！！！！！！！！,만족하더군!!!!!!,
pc28,エーミール,**:**,どうだ、可愛らしいだろう,What do you think? Don't,怎么样，是不是很可爱？？,"어떠냐, 귀엽지?",
,,,？,i look so cute as bread?,？,나중에 너도 한 번,
,,,君も試してみるといい！！,You should come try one,你也可以试试看！！！！！,해 보거라!!!!!!,
,,,！！！！！！！,Giovanni!!!!!!!!!!,！！！,!,
pc29,ジョバンニ,**:**,何の写真かと一瞬びっくり,I was wondering what,乍一看还以为是鬼图呢，,순간 무슨 사진인지,
,,,しました……,those were…,吓我一跳……,몰라 깜짝 놀랐어요…,
pc30,ジョバンニ,**:**,そうなんですね……,Thanks for the invite.,这样啊……,그렇군요……,
,,,うーん。,"But sorry, I think I'll",嗯……,음……,
,,,僕は遠慮しておきます。,pass.,我还是免了吧。,저는 사양할게요.,
pc31,エーミール,**:**,\I[8]　相変わらず君はシャイだな,"Man, Giovanni!!!!!!!!!",\I[8]乔班尼！！！！！！！！,\I[8] 넌 여전히,
,,,！！！,You're always so shy!!!!,你还是这么拘谨啊！！！！,부끄럼이 많구나!!!,
,,,ジョバンニ！！,Hahaha!!!!!!!!,！！！,조반니!!,
pc32,エーミール,**:**,謙虚なのは君の美徳だが、,I know you like to stay,谦逊客气固然是你的优点，,"겸손은 네 미덕이지만,",
,,,たまには僕のように正々堂,"humble, but you should",但偶尔也可以试试像我一样,그래도 가끔은 나처럼,
,,,々と己を晒してみるのも良,really put yourself out,堂堂正正地展现自我哦！！,정정당당히 자신을,
,,,いぞ！！！,there! Like meee!!!!!!!!,！,드러내는 것도 좋다!!,
pc33,エーミール,**:**,自信を持てジョバンニ！！,"Believe in yourself,",拿出自信来！！！！！！！,"조반니, 자신감을",
,,,！！！！！！！,Giovanni!!!!!!!!!!,！！！,잃지 말거라!!!!!!,
pc34,エーミール,**:**,君ならできる！！！！！！,I believe in you!!!!!!!!,你一定能做到！！！！！！,너라면 할 수 있다!!,
pc35,ジョバンニ,**:**,えっ……。,Um…,呃…………,어……,
,,,は、はい。がんばります。,"Okay, I'll…try.",好的。我会努力。,"아, 네. 힘낼게요.",
pc35_sa,ジョバンニ,**:**,えっ……。,Huh...?,哎……？,뭐……?,
,,,はい。がんばります。,Okay. I'll try.,好的。我会努力。,네. 힘낼게요.,
pc36,エーミール,**:**,よし、その意気だ！！！！,THAT'S THE SPIRIT!!!!!!!,很好，就是这样！！！！,"그래, 그 기백이다!!",
,,,！！！！！！！！！！！,!!!!!!!!!!!!!!!!!!!,！！！！！！！,!!!!!!!!!!!!,
,,,ではまたな！！！！！！！,SEE YA!!!!!!!!!!!!!!!!!!,那么再聊！！！！！！！,"그럼, 또 보자!!!!",
,,,！！！！！！！,!!!!!!!!!!!!,！！！,!!!!!!!!,
pc37,エーミール,**:**,ジョバンニ！！！,GIOVANNI!!!!!!!!!!!,乔班尼！！！,조반니!!!,
,,,風の噂で聞いたのだが、,A little birdy told me,我近来听到一些传闻，,"풍문으로 들었다만,",
,,,君はルームメイトのザネリ,your roommate has been,说你的同居室友札内利一直,"너, 룸메이트인",
,,,くんからハラスメントを受,bullying you! Is that,对你百般骚扰，这是真的吗,자넬리에게,
,,,けているのか？,really true?!?!,？我很担心你！！！,학대당하고 있나?,
,,,心配だ！！！,I'm so worried!!!!,,걱정되는군!!!,
pc38,ジョバンニ,**:**,どこからそんな噂、,Where did you hear that,都是谁在传这些无聊的闲话,"그 소문, 어디서",
,,,届いたんですか。,from?,啊？,들으셨나요?,
,,,別に大したことありません。,"It's nothing, really.",一点摩擦，没什么大不了的。,별 일 아니예요.,
,,,ザネリとは昔からの,Don't worry. Zanelli and,何况我跟札内利也认识很多,자넬리와는 전부터,
,,,付き合いですし。,I go way back.,年了。,아는 사이니까요.,
pc39,エーミール,**:**,本当か！？,REALLY?????,真的吗？！,정말인가?!,
,,,もし必要なら、僕が介入す,"If you want, I can talk",假如你有需要，我可以出面,필요하다면 내가,
,,,ることもできるが……,to him for you…,……,개입할 수 있다만…,
pc40,ジョバンニ,**:**,これ以上ご迷惑をおかけする,"It's okay, you're busy",我不能再给你添麻烦了。,이 이상 폐를 끼칠,
,,,わけにはいきません。,enough as it is.,,수는 없어요.,
,,,それに、彼と僕の問題です,"Plus, this is between",何况，这是我跟他之间的,거기다 이건 자넬리와,
,,,ので。,me and him.,事。,제 문제니까요.,
pc41,エーミール,**:**,そうか。,I see.,这样啊。,그렇군.,
,,,君がそう言うのであれば仕,"Okay, if you say so",既然你这么说，那好吧！！,네가 그렇게 말하니,
,,,方ない！！！！！,then!!!!!!!!!!!!!!!,！！！,어쩔 수 없지!!!!!,
,,,だが、何か困ったことがあ,But if you ever need any,但如果你真的遇到什么困,하지만 만약 힘든 일이,
,,,ればいつでも僕に相談して,"help with anything, just",难，随时喊我帮忙啊！！！,있다면 언제든 내게,
,,,くれよ！！！！！！！！,give me a shout!!!!!!!!!,！！！！！！！！,말하거라!!!!!!,
,,,, , , ,
,,,待っているからな！！！！,I'll always be on,我等着你！！！！！！！！,기다리마!!!!!!,
,,,！！！！！！！！！！！,standby for you!!!!!!!!!,！！！！！！！,!!!!!!!!!!!!,
pc42,エーミール,**:**,ジョバンニ、聞いてくれ！,HEY GIOVANNI!!!!!!!!!!!!,乔班尼，你来帮我听听！,"조반니, 들어 다오!",
,,,実は、今度の学校説明会の,I've been practicing our,过些日子咱们学校要办一个,실은 이번 학교 설명회에,
,,,ために校歌を練習している,school anthem real hard,展示说明会，因此我正在学,부를 교가를 연습하는,
,,,んだ！,for orientation!!!!,唱校歌！,중이다!,
,,,僕としてはかなり自信があ,I think I sound pretty,我对自己的歌喉还是相当有,제법 자신 있게 불렀다만,
